Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.55            5.09                   1.02 , 1.10          887.81 , 809.00          184.80 , 184.00            1119.77 , 1126.00       10.18
    0.7            5.11                   1.02 , 1.09          887.81 , 809.00          183.12 , 184.00            1118.09 , 1126.00       10.22
   0.97            5.46                   1.01 , 1.12          879.10 , 809.00          188.16 , 184.00            1115.13 , 1126.00       10.93
    0.4            5.54                   1.02 , 1.11          887.81 , 809.00          186.48 , 184.00            1121.45 , 1126.00       11.09
   0.85            5.57                   1.02 , 1.08          887.81 , 809.00          181.44 , 184.00            1116.41 , 1126.00       11.13
   0.25            5.63                   1.03 , 1.10          896.51 , 809.00          184.80 , 184.00            1128.77 , 1126.00       11.25
    0.1            5.65                   1.03 , 1.09          896.51 , 809.00          183.12 , 184.00            1127.09 , 1126.00        11.3
   0.82            5.92                   1.01 , 1.13          879.10 , 809.00          189.84 , 184.00            1116.81 , 1126.00       11.84
   0.26             6.0                   1.02 , 1.12          887.81 , 809.00          188.16 , 184.00            1123.13 , 1126.00        12.0
    0.4            6.08                   1.03 , 1.11          896.51 , 809.00          186.48 , 184.00            1130.45 , 1126.00       12.17
   0.05             6.1                   1.03 , 1.08          896.51 , 809.00          181.44 , 184.00            1125.41 , 1126.00       12.21
    0.9            6.19                   1.04 , 1.09          905.22 , 809.00          183.12 , 184.00            1136.09 , 1126.00       12.37
   0.67            6.38                   1.01 , 1.14          879.10 , 809.00          191.52 , 184.00            1118.49 , 1126.00       12.75
   0.11            6.46                   1.02 , 1.13          887.81 , 809.00          189.84 , 184.00            1124.81 , 1126.00       12.92
   0.54            6.54                   1.03 , 1.12          896.51 , 809.00          188.16 , 184.00            1132.13 , 1126.00       13.08
    0.2            6.56                   1.03 , 1.07          896.51 , 809.00          179.76 , 184.00            1123.73 , 1126.00       13.12
   0.75            6.64                   1.04 , 1.08          905.22 , 809.00          181.44 , 184.00            1134.41 , 1126.00       13.28
   0.52            6.83                   1.01 , 1.15          879.10 , 809.00          193.20 , 184.00            1120.17 , 1126.00       13.67
   0.04            6.91                   1.02 , 1.14          887.81 , 809.00          191.52 , 184.00            1126.49 , 1126.00       13.83
   0.69             7.0                   1.03 , 1.13          896.51 , 809.00          189.84 , 184.00            1133.81 , 1126.00       13.99
   0.35            7.02                   1.03 , 1.06          896.51 , 809.00          178.08 , 184.00            1122.05 , 1126.00       14.03
    0.6             7.1                   1.04 , 1.07          905.22 , 809.00          179.76 , 184.00            1132.73 , 1126.00        14.2
   0.37            7.29                   1.01 , 1.16          879.10 , 809.00          194.88 , 184.00            1121.85 , 1126.00       14.58
   0.19            7.37                   1.02 , 1.15          887.81 , 809.00          193.20 , 184.00            1128.17 , 1126.00       14.74
   0.84            7.45                   1.03 , 1.14          896.51 , 809.00          191.52 , 184.00            1135.49 , 1126.00        14.9
    0.5            7.47                   1.03 , 1.05          896.51 , 809.00          176.40 , 184.00            1120.37 , 1126.00       14.95
   0.45            7.56                   1.04 , 1.06          905.22 , 809.00          178.08 , 184.00            1131.05 , 1126.00       15.11
   0.87            7.66                   1.00 , 1.18          870.40 , 809.00          198.24 , 184.00            1116.21 , 1126.00       15.33
   0.22            7.75                   1.01 , 1.17          879.10 , 809.00          196.56 , 184.00            1123.53 , 1126.00       15.49
   0.34            7.83                   1.02 , 1.16          887.81 , 809.00          194.88 , 184.00            1129.85 , 1126.00       15.65
   0.99            7.91                   1.03 , 1.15          896.51 , 809.00          193.20 , 184.00            1137.17 , 1126.00       15.82
   0.65            7.93                   1.03 , 1.04          896.51 , 809.00          174.72 , 184.00            1118.69 , 1126.00       15.86
    0.3            8.01                   1.04 , 1.05          905.22 , 809.00          176.40 , 184.00            1129.37 , 1126.00       16.02
   0.72            8.12                   1.00 , 1.19          870.40 , 809.00          199.92 , 184.00            1117.89 , 1126.00       16.24
   0.07             8.2                   1.01 , 1.18          879.10 , 809.00          198.24 , 184.00            1125.21 , 1126.00        16.4
   0.49            8.28                   1.02 , 1.17          887.81 , 809.00          196.56 , 184.00            1131.53 , 1126.00       16.57
    0.8            8.39                   1.03 , 1.03          896.51 , 809.00          173.04 , 184.00            1117.01 , 1126.00       16.77
   0.15            8.47                   1.04 , 1.04          905.22 , 809.00          174.72 , 184.00            1127.69 , 1126.00       16.94
   0.08            8.66                   1.01 , 1.19          879.10 , 809.00          199.92 , 184.00            1126.89 , 1126.00       17.32
   0.64            8.74                   1.02 , 1.18          887.81 , 809.00          198.24 , 184.00            1133.21 , 1126.00       17.48
   0.95            8.84                   1.03 , 1.02          896.51 , 809.00          171.36 , 184.00            1115.33 , 1126.00       17.69
    0.0            8.92                   1.04 , 1.03          905.22 , 809.00          173.04 , 184.00            1126.01 , 1126.00       17.85
   0.86            9.01                   1.05 , 1.04          913.92 , 809.00          174.72 , 184.00            1135.69 , 1126.00       18.01
   0.79             9.2                   1.02 , 1.19          887.81 , 809.00          199.92 , 184.00            1134.89 , 1126.00       18.39
   0.15            9.38                   1.04 , 1.02          905.22 , 809.00          171.36 , 184.00            1124.33 , 1126.00       18.76
   0.71            9.46                   1.05 , 1.03          913.92 , 809.00          173.04 , 184.00            1134.01 , 1126.00       18.93
    0.3            9.84                   1.04 , 1.01          905.22 , 809.00          169.68 , 184.00            1122.65 , 1126.00       19.68
   0.56            9.92                   1.05 , 1.02          913.92 , 809.00          171.36 , 184.00            1132.33 , 1126.00       19.84
   0.45           10.29                   1.04 , 1.00          905.22 , 809.00          168.00 , 184.00            1120.97 , 1126.00       20.59
   0.41           10.38                   1.05 , 1.01          913.92 , 809.00          169.68 , 184.00            1130.65 , 1126.00       20.75
    0.6           10.75                   1.04 , 0.99          905.22 , 809.00          166.32 , 184.00            1119.29 , 1126.00        21.5
   0.26           10.83                   1.05 , 1.00          913.92 , 809.00          168.00 , 184.00            1128.97 , 1126.00       21.66
   0.75           11.21                   1.04 , 0.98          905.22 , 809.00          164.64 , 184.00            1117.61 , 1126.00       22.41
   0.11           11.29                   1.05 , 0.99          913.92 , 809.00          166.32 , 184.00            1127.29 , 1126.00       22.58
   0.89           11.66                   1.04 , 0.97          905.22 , 809.00          162.96 , 184.00            1115.93 , 1126.00       23.33
   0.03           11.75                   1.05 , 0.98          913.92 , 809.00          164.64 , 184.00            1125.61 , 1126.00       23.49
   0.91           11.83                   1.06 , 0.99          922.62 , 809.00          166.32 , 184.00            1136.29 , 1126.00       23.65
   0.18            12.2                   1.05 , 0.97          913.92 , 809.00          162.96 , 184.00            1123.93 , 1126.00        24.4
   0.76           12.28                   1.06 , 0.98          922.62 , 809.00          164.64 , 184.00            1134.61 , 1126.00       24.57
   0.33           12.66                   1.05 , 0.96          913.92 , 809.00          161.28 , 184.00            1122.25 , 1126.00       25.32
   0.62           12.74                   1.06 , 0.97          922.62 , 809.00          162.96 , 184.00            1132.93 , 1126.00       25.48
   0.48           13.11                   1.05 , 0.95          913.92 , 809.00          159.60 , 184.00            1120.57 , 1126.00       26.23
   0.47            13.2                   1.06 , 0.96          922.62 , 809.00          161.28 , 184.00            1131.25 , 1126.00       26.39
   0.63           13.57                   1.05 , 0.94          913.92 , 809.00          157.92 , 184.00            1118.89 , 1126.00       27.14
   0.32           13.65                   1.06 , 0.95          922.62 , 809.00          159.60 , 184.00            1129.57 , 1126.00       27.31
   0.78           14.03                   1.05 , 0.93          913.92 , 809.00          156.24 , 184.00            1117.21 , 1126.00       28.06
   0.17           14.11                   1.06 , 0.94          922.62 , 809.00          157.92 , 184.00            1127.89 , 1126.00       28.22
   0.93           14.48                   1.05 , 0.92          913.92 , 809.00          154.56 , 184.00            1115.53 , 1126.00       28.97
   0.02           14.57                   1.06 , 0.93          922.62 , 809.00          156.24 , 184.00            1126.21 , 1126.00       29.13
   0.97           14.65                   1.07 , 0.94          931.33 , 809.00          157.92 , 184.00            1136.89 , 1126.00       29.29
   0.13           15.02                   1.06 , 0.92          922.62 , 809.00          154.56 , 184.00            1124.53 , 1126.00       30.04
   0.82            15.1                   1.07 , 0.93          931.33 , 809.00          156.24 , 184.00            1135.21 , 1126.00       30.21
   0.28           15.48                   1.06 , 0.91          922.62 , 809.00          152.88 , 184.00            1122.85 , 1126.00       30.96
   0.67           15.56                   1.07 , 0.92          931.33 , 809.00          154.56 , 184.00            1133.53 , 1126.00       31.12
   0.43           15.94                   1.06 , 0.90          922.62 , 809.00          151.20 , 184.00            1121.17 , 1126.00       31.87
   0.52           16.02                   1.07 , 0.91          931.33 , 809.00          152.88 , 184.00            1131.85 , 1126.00       32.03
   0.58           16.39                   1.06 , 0.89          922.62 , 809.00          149.52 , 184.00            1119.49 , 1126.00       32.78
   0.37           16.47                   1.07 , 0.90          931.33 , 809.00          151.20 , 184.00            1130.17 , 1126.00       32.95
   0.73           16.85                   1.06 , 0.88          922.62 , 809.00          147.84 , 184.00            1117.81 , 1126.00        33.7
   0.22           16.93                   1.07 , 0.89          931.33 , 809.00          149.52 , 184.00            1128.49 , 1126.00       33.86
   0.88           17.31                   1.06 , 0.87          922.62 , 809.00          146.16 , 184.00            1116.13 , 1126.00       34.61
   0.07           17.39                   1.07 , 0.88          931.33 , 809.00          147.84 , 184.00            1126.81 , 1126.00       34.77
   0.93           17.47                   1.08 , 0.89          940.03 , 809.00          149.52 , 184.00            1136.49 , 1126.00       34.94
   0.08           17.84                   1.07 , 0.87          931.33 , 809.00          146.16 , 184.00            1125.13 , 1126.00       35.69
