Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.5            0.83                   0.94 , 1.01        1636.35 , 1616.00          339.36 , 338.00            2020.83 , 2031.00        1.66
   0.67            0.93                   0.94 , 1.00        1636.35 , 1616.00          336.00 , 338.00            2017.47 , 2031.00        1.85
   0.34            1.33                   0.94 , 1.02        1636.35 , 1616.00          342.72 , 338.00            2024.19 , 2031.00        2.66
   0.34            1.37                   0.95 , 1.01        1653.76 , 1616.00          339.36 , 338.00            2037.83 , 2031.00        2.74
   0.83            1.42                   0.94 , 0.99        1636.35 , 1616.00          332.64 , 338.00            2014.11 , 2031.00        2.85
   0.17            1.46                   0.95 , 1.00        1653.76 , 1616.00          336.00 , 338.00            2034.47 , 2031.00        2.93
   0.89            1.78                   0.93 , 1.04        1618.94 , 1616.00          349.44 , 338.00            2012.91 , 2031.00        3.57
   0.17            1.82                   0.94 , 1.03        1636.35 , 1616.00          346.08 , 338.00            2027.55 , 2031.00        3.65
    0.5            1.87                   0.95 , 1.02        1653.76 , 1616.00          342.72 , 338.00            2041.19 , 2031.00        3.73
   0.01            1.96                   0.95 , 0.99        1653.76 , 1616.00          332.64 , 338.00            2031.11 , 2031.00        3.92
   0.73            2.28                   0.93 , 1.05        1618.94 , 1616.00          352.80 , 338.00            2016.27 , 2031.00        4.56
    0.0            2.32                   0.94 , 1.04        1636.35 , 1616.00          349.44 , 338.00            2030.91 , 2031.00        4.64
   0.67            2.36                   0.95 , 1.03        1653.76 , 1616.00          346.08 , 338.00            2044.55 , 2031.00        4.73
   0.16            2.46                   0.95 , 0.98        1653.76 , 1616.00          329.28 , 338.00            2027.75 , 2031.00        4.92
   0.89             2.5                   0.96 , 0.99        1671.17 , 1616.00          332.64 , 338.00            2049.11 , 2031.00         5.0
   0.56            2.78                   0.93 , 1.06        1618.94 , 1616.00          356.16 , 338.00            2019.63 , 2031.00        5.55
   0.16            2.82                   0.94 , 1.05        1636.35 , 1616.00          352.80 , 338.00            2034.27 , 2031.00        5.64
   0.83            2.86                   0.95 , 1.04        1653.76 , 1616.00          349.44 , 338.00            2047.91 , 2031.00        5.72
   0.33            2.96                   0.95 , 0.97        1653.76 , 1616.00          325.92 , 338.00            2024.39 , 2031.00        5.91
   0.73             3.0                   0.96 , 0.98        1671.17 , 1616.00          329.28 , 338.00            2045.75 , 2031.00        5.99
   0.39            3.27                   0.93 , 1.07        1618.94 , 1616.00          359.52 , 338.00            2022.99 , 2031.00        6.55
   0.33            3.32                   0.94 , 1.06        1636.35 , 1616.00          356.16 , 338.00            2037.63 , 2031.00        6.63
   0.49            3.45                   0.95 , 0.96        1653.76 , 1616.00          322.56 , 338.00            2021.03 , 2031.00         6.9
   0.56            3.49                   0.96 , 0.97        1671.17 , 1616.00          325.92 , 338.00            2042.39 , 2031.00        6.99
   0.23            3.77                   0.93 , 1.08        1618.94 , 1616.00          362.88 , 338.00            2026.35 , 2031.00        7.54
   0.49            3.81                   0.94 , 1.07        1636.35 , 1616.00          359.52 , 338.00            2040.99 , 2031.00        7.63
   0.66            3.95                   0.95 , 0.95        1653.76 , 1616.00          319.20 , 338.00            2017.67 , 2031.00         7.9
    0.4            3.99                   0.96 , 0.96        1671.17 , 1616.00          322.56 , 338.00            2039.03 , 2031.00        7.98
   0.06            4.27                   0.93 , 1.09        1618.94 , 1616.00          366.24 , 338.00            2029.71 , 2031.00        8.54
   0.66            4.31                   0.94 , 1.08        1636.35 , 1616.00          362.88 , 338.00            2044.35 , 2031.00        8.62
   0.82            4.45                   0.95 , 0.94        1653.76 , 1616.00          315.84 , 338.00            2014.31 , 2031.00        8.89
   0.23            4.49                   0.96 , 0.95        1671.17 , 1616.00          319.20 , 338.00            2035.67 , 2031.00        8.98
    0.9            4.63                   0.92 , 1.09        1601.54 , 1616.00          366.24 , 338.00            2012.71 , 2031.00        9.25
    0.1            4.77                   0.93 , 1.10        1618.94 , 1616.00          369.60 , 338.00            2033.07 , 2031.00        9.53
   0.82            4.81                   0.94 , 1.09        1636.35 , 1616.00          366.24 , 338.00            2047.71 , 2031.00        9.61
   0.99            4.94                   0.95 , 0.93        1653.76 , 1616.00          312.48 , 338.00            2010.95 , 2031.00        9.89
   0.06            4.99                   0.96 , 0.94        1671.17 , 1616.00          315.84 , 338.00            2032.31 , 2031.00        9.97
   0.74            5.12                   0.92 , 1.10        1601.54 , 1616.00          369.60 , 338.00            2016.07 , 2031.00       10.24
   0.27            5.26                   0.93 , 1.11        1618.94 , 1616.00          372.96 , 338.00            2036.43 , 2031.00       10.53
   0.99             5.3                   0.94 , 1.10        1636.35 , 1616.00          369.60 , 338.00            2051.07 , 2031.00       10.61
    0.1            5.48                   0.96 , 0.93        1671.17 , 1616.00          312.48 , 338.00            2028.95 , 2031.00       10.96
    0.9            5.52                   0.97 , 0.94        1688.58 , 1616.00          315.84 , 338.00            2049.31 , 2031.00       11.05
   0.57            5.62                   0.92 , 1.11        1601.54 , 1616.00          372.96 , 338.00            2019.43 , 2031.00       11.24
   0.43            5.76                   0.93 , 1.12        1618.94 , 1616.00          376.32 , 338.00            2039.79 , 2031.00       11.52
   0.27            5.98                   0.96 , 0.92        1671.17 , 1616.00          309.12 , 338.00            2025.59 , 2031.00       11.96
   0.74            6.02                   0.97 , 0.93        1688.58 , 1616.00          312.48 , 338.00            2045.95 , 2031.00       12.04
    0.4            6.12                   0.92 , 1.12        1601.54 , 1616.00          376.32 , 338.00            2022.79 , 2031.00       12.23
    0.6            6.26                   0.93 , 1.13        1618.94 , 1616.00          379.68 , 338.00            2043.15 , 2031.00       12.51
   0.43            6.48                   0.96 , 0.91        1671.17 , 1616.00          305.76 , 338.00            2022.23 , 2031.00       12.95
   0.57            6.52                   0.97 , 0.92        1688.58 , 1616.00          309.12 , 338.00            2042.59 , 2031.00       13.04
   0.24            6.61                   0.92 , 1.13        1601.54 , 1616.00          379.68 , 338.00            2026.15 , 2031.00       13.23
   0.76            6.75                   0.93 , 1.14        1618.94 , 1616.00          383.04 , 338.00            2046.51 , 2031.00       13.51
    0.6            6.97                   0.96 , 0.90        1671.17 , 1616.00          302.40 , 338.00            2018.87 , 2031.00       13.95
   0.41            7.01                   0.97 , 0.91        1688.58 , 1616.00          305.76 , 338.00            2039.23 , 2031.00       14.03
   0.07            7.11                   0.92 , 1.14        1601.54 , 1616.00          383.04 , 338.00            2029.51 , 2031.00       14.22
   0.93            7.25                   0.93 , 1.15        1618.94 , 1616.00          386.40 , 338.00            2049.87 , 2031.00        14.5
   0.76            7.47                   0.96 , 0.89        1671.17 , 1616.00          299.04 , 338.00            2015.51 , 2031.00       14.94
   0.24            7.51                   0.97 , 0.90        1688.58 , 1616.00          302.40 , 338.00            2035.87 , 2031.00       15.02
   0.09            7.61                   0.92 , 1.15        1601.54 , 1616.00          386.40 , 338.00            2032.87 , 2031.00       15.21
   0.91            7.65                   0.91 , 1.14        1584.13 , 1616.00          383.04 , 338.00            2012.51 , 2031.00        15.3
   0.93            7.97                   0.96 , 0.88        1671.17 , 1616.00          295.68 , 338.00            2012.15 , 2031.00       15.93
   0.07            8.01                   0.97 , 0.89        1688.58 , 1616.00          299.04 , 338.00            2032.51 , 2031.00       16.02
   0.26             8.1                   0.92 , 1.16        1601.54 , 1616.00          389.76 , 338.00            2036.23 , 2031.00       16.21
   0.75            8.15                   0.91 , 1.15        1584.13 , 1616.00          386.40 , 338.00            2015.87 , 2031.00       16.29
   0.09            8.51                   0.97 , 0.88        1688.58 , 1616.00          295.68 , 338.00            2029.15 , 2031.00       17.01
   0.91            8.55                   0.98 , 0.89        1705.98 , 1616.00          299.04 , 338.00            2049.51 , 2031.00       17.09
   0.42             8.6                   0.92 , 1.17        1601.54 , 1616.00          393.12 , 338.00            2039.59 , 2031.00        17.2
   0.58            8.64                   0.91 , 1.16        1584.13 , 1616.00          389.76 , 338.00            2019.23 , 2031.00       17.29
   0.26             9.0                   0.97 , 0.87        1688.58 , 1616.00          292.32 , 338.00            2025.79 , 2031.00       18.01
   0.75            9.04                   0.98 , 0.88        1705.98 , 1616.00          295.68 , 338.00            2046.15 , 2031.00       18.09
   0.59             9.1                   0.92 , 1.18        1601.54 , 1616.00          396.48 , 338.00            2042.95 , 2031.00        18.2
   0.41            9.14                   0.91 , 1.17        1584.13 , 1616.00          393.12 , 338.00            2022.59 , 2031.00       18.28
   0.42             9.5                   0.97 , 0.86        1688.58 , 1616.00          288.96 , 338.00            2022.43 , 2031.00        19.0
   0.58            9.54                   0.98 , 0.87        1705.98 , 1616.00          292.32 , 338.00            2042.79 , 2031.00       19.08
   0.75             9.6                   0.92 , 1.19        1601.54 , 1616.00          399.84 , 338.00            2046.31 , 2031.00       19.19
   0.25            9.64                   0.91 , 1.18        1584.13 , 1616.00          396.48 , 338.00            2025.95 , 2031.00       19.27
   0.59            10.0                   0.97 , 0.85        1688.58 , 1616.00          285.60 , 338.00            2019.07 , 2031.00       19.99
   0.42           10.04                   0.98 , 0.86        1705.98 , 1616.00          288.96 , 338.00            2039.43 , 2031.00       20.08
   0.08           10.13                   0.91 , 1.19        1584.13 , 1616.00          399.84 , 338.00            2029.31 , 2031.00       20.27
   0.75           10.49                   0.97 , 0.84        1688.58 , 1616.00          282.24 , 338.00            2015.71 , 2031.00       20.99
   0.25           10.54                   0.98 , 0.85        1705.98 , 1616.00          285.60 , 338.00            2036.07 , 2031.00       21.07
   0.97           10.67                   0.90 , 1.19        1566.72 , 1616.00          399.84 , 338.00            2011.31 , 2031.00       21.35
   0.92           10.99                   0.97 , 0.83        1688.58 , 1616.00          278.88 , 338.00            2012.35 , 2031.00       21.98
   0.08           11.03                   0.98 , 0.84        1705.98 , 1616.00          282.24 , 338.00            2032.71 , 2031.00       22.07
   0.08           11.53                   0.98 , 0.83        1705.98 , 1616.00          278.88 , 338.00            2029.35 , 2031.00       23.06
   0.97           11.57                   0.99 , 0.84        1723.39 , 1616.00          282.24 , 338.00            2050.71 , 2031.00       23.14
   0.25           12.03                   0.98 , 0.82        1705.98 , 1616.00          275.52 , 338.00            2025.99 , 2031.00       24.05
    0.8           12.07                   0.99 , 0.83        1723.39 , 1616.00          278.88 , 338.00            2047.35 , 2031.00       24.14
   0.41           12.52                   0.98 , 0.81        1705.98 , 1616.00          272.16 , 338.00            2022.63 , 2031.00       25.05
   0.64           12.57                   0.99 , 0.82        1723.39 , 1616.00          275.52 , 338.00            2043.99 , 2031.00       25.13
   0.58           13.02                   0.98 , 0.80        1705.98 , 1616.00          268.80 , 338.00            2019.27 , 2031.00       26.04
   0.47           13.06                   0.99 , 0.81        1723.39 , 1616.00          272.16 , 338.00            2040.63 , 2031.00       26.12
   0.31           13.56                   0.99 , 0.80        1723.39 , 1616.00          268.80 , 338.00            2037.27 , 2031.00       27.12
