Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.75            3.34                   0.89 , 0.98        1549.31 , 1638.00          658.56 , 667.00            2253.81 , 2237.00        6.68
   0.25            3.37                   0.88 , 0.99        1531.90 , 1638.00          665.28 , 667.00            2242.53 , 2237.00        6.74
   0.55            3.61                   0.88 , 1.00        1531.90 , 1638.00          672.00 , 667.00            2249.25 , 2237.00        7.23
   0.91            3.82                   0.90 , 0.96        1566.72 , 1638.00          645.12 , 667.00            2257.37 , 2237.00        7.63
   0.45            3.84                   0.89 , 0.97        1549.31 , 1638.00          651.84 , 667.00            2247.09 , 2237.00        7.69
   0.05            3.87                   0.88 , 0.98        1531.90 , 1638.00          658.56 , 667.00            2235.81 , 2237.00        7.74
   0.51             3.9                   0.87 , 0.99        1514.50 , 1638.00          665.28 , 667.00            2225.53 , 2237.00         7.8
   0.85            4.12                   0.88 , 1.01        1531.90 , 1638.00          678.72 , 667.00            2255.97 , 2237.00        8.23
   0.21            4.14                   0.87 , 1.00        1514.50 , 1638.00          672.00 , 667.00            2232.25 , 2237.00        8.29
   0.61            4.32                   0.90 , 0.95        1566.72 , 1638.00          638.40 , 667.00            2250.65 , 2237.00        8.64
   0.15            4.35                   0.89 , 0.96        1549.31 , 1638.00          645.12 , 667.00            2240.37 , 2237.00        8.69
   0.35            4.38                   0.88 , 0.97        1531.90 , 1638.00          651.84 , 667.00            2229.09 , 2237.00        8.75
   0.81             4.4                   0.87 , 0.98        1514.50 , 1638.00          658.56 , 667.00            2218.81 , 2237.00        8.81
   0.09            4.65                   0.87 , 1.01        1514.50 , 1638.00          678.72 , 667.00            2238.97 , 2237.00         9.3
   0.97            4.68                   0.86 , 1.00        1497.09 , 1638.00          672.00 , 667.00            2215.25 , 2237.00        9.35
   0.81             4.8                   0.91 , 0.93        1584.13 , 1638.00          624.96 , 667.00            2255.21 , 2237.00        9.59
   0.31            4.82                   0.90 , 0.94        1566.72 , 1638.00          631.68 , 667.00            2243.93 , 2237.00        9.65
   0.15            4.85                   0.89 , 0.95        1549.31 , 1638.00          638.40 , 667.00            2233.65 , 2237.00         9.7
   0.65            4.88                   0.88 , 0.96        1531.90 , 1638.00          645.12 , 667.00            2222.37 , 2237.00        9.76
   0.39            5.15                   0.87 , 1.02        1514.50 , 1638.00          685.44 , 667.00            2245.69 , 2237.00        10.3
   0.67            5.18                   0.86 , 1.01        1497.09 , 1638.00          678.72 , 667.00            2221.97 , 2237.00       10.36
   0.97            5.27                   0.92 , 0.91        1601.54 , 1638.00          611.52 , 667.00            2258.77 , 2237.00       10.54
   0.51             5.3                   0.91 , 0.92        1584.13 , 1638.00          618.24 , 667.00            2248.49 , 2237.00        10.6
   0.01            5.33                   0.90 , 0.93        1566.72 , 1638.00          624.96 , 667.00            2237.21 , 2237.00       10.65
   0.45            5.35                   0.89 , 0.94        1549.31 , 1638.00          631.68 , 667.00            2226.93 , 2237.00       10.71
   0.95            5.38                   0.88 , 0.95        1531.90 , 1638.00          638.40 , 667.00            2215.65 , 2237.00       10.77
   0.69            5.66                   0.87 , 1.03        1514.50 , 1638.00          692.16 , 667.00            2252.41 , 2237.00       11.31
   0.37            5.68                   0.86 , 1.02        1497.09 , 1638.00          685.44 , 667.00            2228.69 , 2237.00       11.37
   0.67            5.78                   0.92 , 0.90        1601.54 , 1638.00          604.80 , 667.00            2252.05 , 2237.00       11.55
   0.21             5.8                   0.91 , 0.91        1584.13 , 1638.00          611.52 , 667.00            2241.77 , 2237.00       11.61
   0.29            5.83                   0.90 , 0.92        1566.72 , 1638.00          618.24 , 667.00            2230.49 , 2237.00       11.66
   0.75            5.86                   0.89 , 0.93        1549.31 , 1638.00          624.96 , 667.00            2220.21 , 2237.00       11.72
   0.99            6.16                   0.87 , 1.04        1514.50 , 1638.00          698.88 , 667.00            2259.13 , 2237.00       12.32
   0.07            6.19                   0.86 , 1.03        1497.09 , 1638.00          692.16 , 667.00            2235.41 , 2237.00       12.37
   0.83            6.25                   0.93 , 0.88        1618.94 , 1638.00          591.36 , 667.00            2255.61 , 2237.00        12.5
   0.37            6.28                   0.92 , 0.89        1601.54 , 1638.00          598.08 , 667.00            2245.33 , 2237.00       12.56
   0.09            6.31                   0.91 , 0.90        1584.13 , 1638.00          604.80 , 667.00            2235.05 , 2237.00       12.61
   0.59            6.33                   0.90 , 0.91        1566.72 , 1638.00          611.52 , 667.00            2223.77 , 2237.00       12.67
   0.23            6.69                   0.86 , 1.04        1497.09 , 1638.00          698.88 , 667.00            2242.13 , 2237.00       13.38
   0.88            6.72                   0.85 , 1.03        1479.68 , 1638.00          692.16 , 667.00            2217.41 , 2237.00       13.44
   0.53            6.76                   0.93 , 0.87        1618.94 , 1638.00          584.64 , 667.00            2248.89 , 2237.00       13.51
   0.07            6.78                   0.92 , 0.88        1601.54 , 1638.00          591.36 , 667.00            2238.61 , 2237.00       13.57
   0.39            6.81                   0.91 , 0.89        1584.13 , 1638.00          598.08 , 667.00            2228.33 , 2237.00       13.62
   0.89            6.84                   0.90 , 0.90        1566.72 , 1638.00          604.80 , 667.00            2217.05 , 2237.00       13.68
   0.53            7.19                   0.86 , 1.05        1497.09 , 1638.00          705.60 , 667.00            2248.85 , 2237.00       14.39
   0.58            7.22                   0.85 , 1.04        1479.68 , 1638.00          698.88 , 667.00            2224.13 , 2237.00       14.45
   0.74            7.23                   0.94 , 0.85        1636.35 , 1638.00          571.20 , 667.00            2253.45 , 2237.00       14.46
   0.23            7.26                   0.93 , 0.86        1618.94 , 1638.00          577.92 , 667.00            2242.17 , 2237.00       14.52
   0.23            7.29                   0.92 , 0.87        1601.54 , 1638.00          584.64 , 667.00            2231.89 , 2237.00       14.57
   0.69            7.31                   0.91 , 0.88        1584.13 , 1638.00          591.36 , 667.00            2221.61 , 2237.00       14.63
   0.83             7.7                   0.86 , 1.06        1497.09 , 1638.00          712.32 , 667.00            2255.57 , 2237.00        15.4
   0.27            7.73                   0.85 , 1.05        1479.68 , 1638.00          705.60 , 667.00            2230.85 , 2237.00       15.45
   0.44            7.74                   0.94 , 0.84        1636.35 , 1638.00          564.48 , 667.00            2246.73 , 2237.00       15.47
   0.07            7.76                   0.93 , 0.85        1618.94 , 1638.00          571.20 , 667.00            2235.45 , 2237.00       15.53
   0.53            7.79                   0.92 , 0.86        1601.54 , 1638.00          577.92 , 667.00            2225.17 , 2237.00       15.58
   0.99            7.82                   0.91 , 0.87        1584.13 , 1638.00          584.64 , 667.00            2214.89 , 2237.00       15.64
   0.03            8.23                   0.85 , 1.06        1479.68 , 1638.00          712.32 , 667.00            2237.57 , 2237.00       16.46
   0.13            8.24                   0.94 , 0.83        1636.35 , 1638.00          557.76 , 667.00            2240.01 , 2237.00       16.48
   0.37            8.27                   0.93 , 0.84        1618.94 , 1638.00          564.48 , 667.00            2228.73 , 2237.00       16.53
