Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.84            0.25                   0.96 , 0.99          835.58 , 833.00          665.28 , 664.00            1548.87 , 1562.00         0.5
   0.41            0.76                   0.96 , 1.00          835.58 , 833.00          672.00 , 664.00            1555.59 , 1562.00        1.52
   0.26            0.77                   0.97 , 0.99          844.29 , 833.00          665.28 , 664.00            1557.87 , 1562.00        1.55
   0.99            0.97                   0.95 , 1.00          826.88 , 833.00          672.00 , 664.00            1546.59 , 1562.00        1.94
   0.69            1.09                   0.97 , 0.98          844.29 , 833.00          658.56 , 664.00            1551.15 , 1562.00        2.17
   0.02            1.26                   0.96 , 1.01          835.58 , 833.00          678.72 , 664.00            1562.31 , 1562.00        2.53
   0.17            1.28                   0.97 , 1.00          844.29 , 833.00          672.00 , 664.00            1564.59 , 1562.00        2.56
   0.25             1.3                   0.98 , 0.99          852.99 , 833.00          665.28 , 664.00            1565.87 , 1562.00        2.59
   0.56            1.48                   0.95 , 1.01          826.88 , 833.00          678.72 , 664.00            1553.31 , 1562.00        2.95
   0.18            1.61                   0.98 , 0.98          852.99 , 833.00          658.56 , 664.00            1559.15 , 1562.00        3.22
   0.45            1.77                   0.96 , 1.02          835.58 , 833.00          685.44 , 664.00            1569.03 , 1562.00        3.54
    0.6            1.79                   0.97 , 1.01          844.29 , 833.00          678.72 , 664.00            1571.31 , 1562.00        3.57
   0.68             1.8                   0.98 , 1.00          852.99 , 833.00          672.00 , 664.00            1572.59 , 1562.00         3.6
   0.82            1.82                   0.99 , 0.99          861.70 , 833.00          665.28 , 664.00            1574.87 , 1562.00        3.64
   0.13            1.98                   0.95 , 1.02          826.88 , 833.00          685.44 , 664.00            1560.03 , 1562.00        3.96
   0.61            2.12                   0.98 , 0.97          852.99 , 833.00          651.84 , 664.00            1552.43 , 1562.00        4.23
   0.39            2.13                   0.99 , 0.98          861.70 , 833.00          658.56 , 664.00            1568.15 , 1562.00        4.26
   0.88            2.28                   0.96 , 1.03          835.58 , 833.00          692.16 , 664.00            1575.75 , 1562.00        4.55
    0.3            2.49                   0.95 , 1.03          826.88 , 833.00          692.16 , 664.00            1566.75 , 1562.00        4.98
   0.64             2.5                   0.94 , 1.02          818.18 , 833.00          685.44 , 664.00            1552.03 , 1562.00        5.01
   0.04            2.64                   0.99 , 0.97          861.70 , 833.00          651.84 , 664.00            1561.43 , 1562.00        5.28
   0.97            2.65                   1.00 , 0.98          870.40 , 833.00          658.56 , 664.00            1577.15 , 1562.00        5.31
   0.73            2.99                   0.95 , 1.04          826.88 , 833.00          698.88 , 664.00            1573.47 , 1562.00        5.99
   0.21            3.01                   0.94 , 1.03          818.18 , 833.00          692.16 , 664.00            1558.75 , 1562.00        6.02
   0.47            3.14                   0.99 , 0.96          861.70 , 833.00          645.12 , 664.00            1554.71 , 1562.00        6.29
   0.54            3.16                   1.00 , 0.97          870.40 , 833.00          651.84 , 664.00            1570.43 , 1562.00        6.32
   0.22            3.52                   0.94 , 1.04          818.18 , 833.00          698.88 , 664.00            1565.47 , 1562.00        7.03
   0.78            3.53                   0.93 , 1.03          809.47 , 833.00          692.16 , 664.00            1549.75 , 1562.00        7.07
    0.9            3.65                   0.99 , 0.95          861.70 , 833.00          638.40 , 664.00            1547.99 , 1562.00         7.3
   0.11            3.67                   1.00 , 0.96          870.40 , 833.00          645.12 , 664.00            1563.71 , 1562.00        7.33
   0.65            4.02                   0.94 , 1.05          818.18 , 833.00          705.60 , 664.00            1572.19 , 1562.00        8.04
   0.35            4.04                   0.93 , 1.04          809.47 , 833.00          698.88 , 664.00            1556.47 , 1562.00        8.08
   0.32            4.17                   1.00 , 0.95          870.40 , 833.00          638.40 , 664.00            1556.99 , 1562.00        8.35
   0.69            4.19                   1.01 , 0.96          879.10 , 833.00          645.12 , 664.00            1572.71 , 1562.00        8.38
   0.08            4.54                   0.93 , 1.05          809.47 , 833.00          705.60 , 664.00            1563.19 , 1562.00        9.09
   0.93            4.56                   0.92 , 1.04          800.77 , 833.00          698.88 , 664.00            1547.47 , 1562.00        9.12
   0.75            4.68                   1.00 , 0.94          870.40 , 833.00          631.68 , 664.00            1550.27 , 1562.00        9.36
   0.26             4.7                   1.01 , 0.95          879.10 , 833.00          638.40 , 664.00            1565.99 , 1562.00        9.39
   0.51            5.05                   0.93 , 1.06          809.47 , 833.00          712.32 , 664.00            1569.91 , 1562.00        10.1
    0.5            5.07                   0.92 , 1.05          800.77 , 833.00          705.60 , 664.00            1554.19 , 1562.00       10.13
   0.17             5.2                   1.01 , 0.94          879.10 , 833.00          631.68 , 664.00            1559.27 , 1562.00        10.4
   0.77            5.22                   1.02 , 0.95          887.81 , 833.00          638.40 , 664.00            1573.99 , 1562.00       10.44
   0.94            5.56                   0.93 , 1.07          809.47 , 833.00          719.04 , 664.00            1576.63 , 1562.00       11.11
   0.07            5.57                   0.92 , 1.06          800.77 , 833.00          712.32 , 664.00            1560.91 , 1562.00       11.15
    0.6            5.71                   1.01 , 0.93          879.10 , 833.00          624.96 , 664.00            1552.55 , 1562.00       11.41
   0.34            5.72                   1.02 , 0.94          887.81 , 833.00          631.68 , 664.00            1567.27 , 1562.00       11.45
   0.36            6.08                   0.92 , 1.07          800.77 , 833.00          719.04 , 664.00            1567.63 , 1562.00       12.16
   0.58             6.1                   0.91 , 1.06          792.06 , 833.00          712.32 , 664.00            1552.91 , 1562.00       12.19
   0.09            6.23                   1.02 , 0.93          887.81 , 833.00          624.96 , 664.00            1560.55 , 1562.00       12.46
   0.91            6.25                   1.03 , 0.94          896.51 , 833.00          631.68 , 664.00            1576.27 , 1562.00       12.49
   0.79            6.59                   0.92 , 1.08          800.77 , 833.00          725.76 , 664.00            1574.35 , 1562.00       13.17
   0.15             6.6                   0.91 , 1.07          792.06 , 833.00          719.04 , 664.00            1559.63 , 1562.00        13.2
   0.52            6.74                   1.02 , 0.92          887.81 , 833.00          618.24 , 664.00            1553.83 , 1562.00       13.47
   0.48            6.75                   1.03 , 0.93          896.51 , 833.00          624.96 , 664.00            1569.55 , 1562.00        13.5
   0.28            7.11                   0.91 , 1.08          792.06 , 833.00          725.76 , 664.00            1566.35 , 1562.00       14.22
   0.73            7.12                   0.90 , 1.07          783.36 , 833.00          719.04 , 664.00            1550.63 , 1562.00       14.25
   0.95            7.24                   1.02 , 0.91          887.81 , 833.00          611.52 , 664.00            1547.11 , 1562.00       14.48
   0.05            7.26                   1.03 , 0.92          896.51 , 833.00          618.24 , 664.00            1562.83 , 1562.00       14.52
   0.71            7.61                   0.91 , 1.09          792.06 , 833.00          732.48 , 664.00            1573.07 , 1562.00       15.23
    0.3            7.63                   0.90 , 1.08          783.36 , 833.00          725.76 , 664.00            1557.35 , 1562.00       15.26
   0.38            7.76                   1.03 , 0.91          896.51 , 833.00          611.52 , 664.00            1556.11 , 1562.00       15.53
   0.63            7.78                   1.04 , 0.92          905.22 , 833.00          618.24 , 664.00            1571.83 , 1562.00       15.56
   0.13            8.14                   0.90 , 1.09          783.36 , 833.00          732.48 , 664.00            1564.07 , 1562.00       16.27
   0.87            8.15                   0.89 , 1.08          774.66 , 833.00          725.76 , 664.00            1548.35 , 1562.00       16.31
   0.81            8.27                   1.03 , 0.90          896.51 , 833.00          604.80 , 664.00            1549.39 , 1562.00       16.54
    0.2            8.29                   1.04 , 0.91          905.22 , 833.00          611.52 , 664.00            1565.11 , 1562.00       16.57
   0.56            8.64                   0.90 , 1.10          783.36 , 833.00          739.20 , 664.00            1570.79 , 1562.00       17.28
   0.44            8.66                   0.89 , 1.09          774.66 , 833.00          732.48 , 664.00            1555.07 , 1562.00       17.32
   0.23            8.79                   1.04 , 0.90          905.22 , 833.00          604.80 , 664.00            1558.39 , 1562.00       17.59
   0.71            8.81                   1.05 , 0.91          913.92 , 833.00          611.52 , 664.00            1573.11 , 1562.00       17.62
   0.99            9.15                   0.90 , 1.11          783.36 , 833.00          745.92 , 664.00            1577.51 , 1562.00        18.3
   0.01            9.16                   0.89 , 1.10          774.66 , 833.00          739.20 , 664.00            1561.79 , 1562.00       18.33
   0.66             9.3                   1.04 , 0.89          905.22 , 833.00          598.08 , 664.00            1551.67 , 1562.00        18.6
   0.28            9.31                   1.05 , 0.90          913.92 , 833.00          604.80 , 664.00            1566.39 , 1562.00       18.63
