Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.24           31.14                   0.93 , 1.09         1618.94 , 998.00          183.12 , 183.00            1846.59 , 1851.00       62.28
   0.98           31.19                   0.92 , 1.11         1601.54 , 998.00          186.48 , 183.00            1832.95 , 1851.00       62.38
   0.33           31.54                   0.93 , 1.08         1618.94 , 998.00          181.44 , 183.00            1844.91 , 1851.00       63.07
   0.15            31.6                   0.93 , 1.10         1618.94 , 998.00          184.80 , 183.00            1848.27 , 1851.00        63.2
   0.88           31.65                   0.92 , 1.12         1601.54 , 998.00          188.16 , 183.00            1834.63 , 1851.00       63.29
   0.42           31.99                   0.93 , 1.07         1618.94 , 998.00          179.76 , 183.00            1843.23 , 1851.00       63.99
   0.73           32.01                   0.94 , 1.09         1636.35 , 998.00          183.12 , 183.00            1864.59 , 1851.00       64.03
   0.06           32.06                   0.93 , 1.11         1618.94 , 998.00          186.48 , 183.00            1849.95 , 1851.00       64.12
   0.79           32.11                   0.92 , 1.13         1601.54 , 998.00          189.84 , 183.00            1836.31 , 1851.00       64.21
   0.64           32.41                   0.94 , 1.08         1636.35 , 998.00          181.44 , 183.00            1862.91 , 1851.00       64.82
   0.51           32.45                   0.93 , 1.06         1618.94 , 998.00          178.08 , 183.00            1841.55 , 1851.00       64.91
   0.82           32.47                   0.94 , 1.10         1636.35 , 998.00          184.80 , 183.00            1866.27 , 1851.00       64.95
   0.03           32.52                   0.93 , 1.12         1618.94 , 998.00          188.16 , 183.00            1851.63 , 1851.00       65.04
    0.7           32.57                   0.92 , 1.14         1601.54 , 998.00          191.52 , 183.00            1837.99 , 1851.00       65.13
   0.55           32.87                   0.94 , 1.07         1636.35 , 998.00          179.76 , 183.00            1861.23 , 1851.00       65.73
    0.6           32.91                   0.93 , 1.05         1618.94 , 998.00          176.40 , 183.00            1839.87 , 1851.00       65.83
   0.92           32.93                   0.94 , 1.11         1636.35 , 998.00          186.48 , 183.00            1867.95 , 1851.00       65.86
   0.12           32.98                   0.93 , 1.13         1618.94 , 998.00          189.84 , 183.00            1853.31 , 1851.00       65.96
   0.61           33.02                   0.92 , 1.15         1601.54 , 998.00          193.20 , 183.00            1839.67 , 1851.00       66.05
   0.46           33.33                   0.94 , 1.06         1636.35 , 998.00          178.08 , 183.00            1859.55 , 1851.00       66.65
