Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.82            0.57                   1.00 , 1.01          435.20 , 432.00          339.36 , 338.00              826.14 , 833.00        1.14
   0.42            1.07                   1.00 , 1.02          435.20 , 432.00          342.72 , 338.00              829.50 , 833.00        2.14
   0.34            1.08                   1.01 , 1.01          439.55 , 432.00          339.36 , 338.00              830.14 , 833.00        2.15
   0.75            1.17                   1.01 , 1.00          439.55 , 432.00          336.00 , 338.00              826.78 , 833.00        2.34
   0.62            1.33                   0.99 , 1.03          430.85 , 432.00          346.08 , 338.00              827.86 , 833.00        2.66
   0.02            1.57                   1.00 , 1.03          435.20 , 432.00          346.08 , 338.00              832.86 , 833.00        3.13
   0.06            1.57                   1.01 , 1.02          439.55 , 432.00          342.72 , 338.00              833.50 , 833.00        3.14
   0.14            1.58                   1.02 , 1.01          443.90 , 432.00          339.36 , 338.00              834.14 , 833.00        3.16
   0.27            1.67                   1.02 , 1.00          443.90 , 432.00          336.00 , 338.00              830.78 , 833.00        3.35
   0.21            1.83                   0.99 , 1.04          430.85 , 432.00          349.44 , 338.00              831.22 , 833.00        3.65
   0.39            2.06                   1.00 , 1.04          435.20 , 432.00          349.44 , 338.00              836.22 , 833.00        4.13
   0.46            2.07                   1.01 , 1.03          439.55 , 432.00          346.08 , 338.00              836.86 , 833.00        4.14
   0.54            2.08                   1.02 , 1.02          443.90 , 432.00          342.72 , 338.00              837.50 , 833.00        4.15
   0.74            2.08                   1.03 , 1.01          448.26 , 432.00          339.36 , 338.00              839.14 , 833.00        4.17
   0.67            2.17                   1.02 , 0.99          443.90 , 432.00          332.64 , 338.00              827.42 , 833.00        4.34
   0.33            2.18                   1.03 , 1.00          448.26 , 432.00          336.00 , 338.00              835.78 , 833.00        4.35
   0.19            2.32                   0.99 , 1.05          430.85 , 432.00          352.80 , 338.00              834.58 , 833.00        4.65
   0.69            2.33                   0.98 , 1.04          426.50 , 432.00          349.44 , 338.00              827.22 , 833.00        4.66
   0.79            2.56                   1.00 , 1.05          435.20 , 432.00          352.80 , 338.00              839.58 , 833.00        5.12
   0.87            2.57                   1.01 , 1.04          439.55 , 432.00          349.44 , 338.00              840.22 , 833.00        5.13
   0.94            2.57                   1.02 , 1.03          443.90 , 432.00          346.08 , 338.00              840.86 , 833.00        5.15
   0.07            2.67                   1.03 , 0.99          448.26 , 432.00          332.64 , 338.00              832.42 , 833.00        5.35
   0.81            2.68                   1.04 , 1.00          452.61 , 432.00          336.00 , 338.00              839.78 , 833.00        5.36
   0.59            2.82                   0.99 , 1.06          430.85 , 432.00          356.16 , 338.00              837.94 , 833.00        5.64
   0.29            2.83                   0.98 , 1.05          426.50 , 432.00          352.80 , 338.00              830.58 , 833.00        5.65
   0.47            3.17                   1.03 , 0.98          448.26 , 432.00          329.28 , 338.00              829.06 , 833.00        6.34
   0.41            3.18                   1.04 , 0.99          452.61 , 432.00          332.64 , 338.00              836.42 , 833.00        6.36
   0.11            3.32                   0.98 , 1.06          426.50 , 432.00          356.16 , 338.00              833.94 , 833.00        6.65
   0.77            3.33                   0.97 , 1.05          422.14 , 432.00          352.80 , 338.00              826.58 , 833.00        6.66
   0.88            3.67                   1.03 , 0.97          448.26 , 432.00          325.92 , 338.00              825.70 , 833.00        7.34
   0.01            3.68                   1.04 , 0.98          452.61 , 432.00          329.28 , 338.00              833.06 , 833.00        7.35
   0.89            3.68                   1.05 , 0.99          456.96 , 432.00          332.64 , 338.00              840.42 , 833.00        7.36
   0.52            3.82                   0.98 , 1.07          426.50 , 432.00          359.52 , 338.00              837.30 , 833.00        7.64
   0.37            3.83                   0.97 , 1.06          422.14 , 432.00          356.16 , 338.00              829.94 , 833.00        7.65
    0.4            4.17                   1.04 , 0.97          452.61 , 432.00          325.92 , 338.00              829.70 , 833.00        8.34
   0.49            4.18                   1.05 , 0.98          456.96 , 432.00          329.28 , 338.00              837.06 , 833.00        8.36
   0.04            4.32                   0.97 , 1.07          422.14 , 432.00          359.52 , 338.00              833.30 , 833.00        8.65
   0.92            4.32                   0.98 , 1.08          426.50 , 432.00          362.88 , 338.00              840.66 , 833.00        8.64
   0.97            4.33                   0.96 , 1.06          417.79 , 432.00          356.16 , 338.00              824.94 , 833.00        8.66
    0.8            4.67                   1.04 , 0.96          452.61 , 432.00          322.56 , 338.00              826.34 , 833.00        9.34
   0.08            4.68                   1.05 , 0.97          456.96 , 432.00          325.92 , 338.00              833.70 , 833.00        9.35
