Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.74            0.18                   1.01 , 1.00          439.55 , 438.00          672.00 , 672.00            1163.30 , 1172.00        0.35
    0.4            0.67                   1.02 , 1.00          443.90 , 438.00          672.00 , 672.00            1167.30 , 1172.00        1.35
   0.17            0.68                   1.01 , 1.01          439.55 , 438.00          678.72 , 672.00            1170.02 , 1172.00        1.35
   0.51            0.82                   1.00 , 1.01          435.20 , 438.00          678.72 , 672.00            1166.02 , 1172.00        1.64
   0.97            1.17                   1.02 , 0.99          443.90 , 438.00          665.28 , 672.00            1160.58 , 1172.00        2.35
   0.17            1.17                   1.02 , 1.01          443.90 , 438.00          678.72 , 672.00            1174.02 , 1172.00        2.35
   0.03            1.17                   1.03 , 1.00          448.26 , 438.00          672.00 , 672.00            1172.30 , 1172.00        2.34
    0.4            1.18                   1.01 , 1.02          439.55 , 438.00          685.44 , 672.00            1176.74 , 1172.00        2.35
   0.94            1.32                   0.99 , 1.01          430.85 , 438.00          678.72 , 672.00            1161.02 , 1172.00        2.63
   0.06            1.32                   1.00 , 1.02          435.20 , 438.00          685.44 , 672.00            1172.74 , 1172.00        2.64
   0.75            1.67                   1.02 , 1.02          443.90 , 438.00          685.44 , 672.00            1180.74 , 1172.00        3.35
   0.55            1.67                   1.03 , 0.99          448.26 , 438.00          665.28 , 672.00            1165.58 , 1172.00        3.34
    0.6            1.67                   1.03 , 1.01          448.26 , 438.00          678.72 , 672.00            1179.02 , 1172.00        3.34
   0.37            1.67                   1.04 , 1.00          452.61 , 438.00          672.00 , 672.00            1176.30 , 1172.00        3.34
   0.98            1.68                   1.01 , 1.03          439.55 , 438.00          692.16 , 672.00            1183.46 , 1172.00        3.35
   0.36            1.82                   0.99 , 1.02          430.85 , 438.00          685.44 , 672.00            1167.74 , 1172.00        3.63
   0.64            1.82                   1.00 , 1.03          435.20 , 438.00          692.16 , 672.00            1179.46 , 1172.00        3.64
   0.71            2.16                   1.05 , 1.00          456.96 , 438.00          672.00 , 672.00            1180.30 , 1172.00        4.33
   0.21            2.17                   1.04 , 0.99          452.61 , 438.00          665.28 , 672.00            1169.58 , 1172.00        4.34
   0.94            2.17                   1.04 , 1.01          452.61 , 438.00          678.72 , 672.00            1183.02 , 1172.00        4.34
    0.7            2.31                   0.98 , 1.02          426.50 , 438.00          685.44 , 672.00            1163.74 , 1172.00        4.63
