Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.72            1.85                   1.01 , 1.11          439.55 , 425.00          186.48 , 187.00              677.11 , 682.00         3.7
   0.81            1.96                   1.00 , 1.13          435.20 , 425.00          189.84 , 187.00              676.47 , 682.00        3.92
   0.47            2.02                   1.01 , 1.12          439.55 , 425.00          188.16 , 187.00              678.79 , 682.00        4.04
   0.96             2.3                   1.01 , 1.10          439.55 , 425.00          184.80 , 187.00              675.43 , 682.00         4.6
   0.13            2.36                   1.02 , 1.11          443.90 , 425.00          186.48 , 187.00              681.11 , 682.00        4.73
   0.56            2.41                   1.00 , 1.14          435.20 , 425.00          191.52 , 187.00              678.15 , 682.00        4.82
   0.22            2.47                   1.01 , 1.13          439.55 , 425.00          189.84 , 187.00              680.47 , 682.00        4.94
   0.12            2.53                   1.02 , 1.12          443.90 , 425.00          188.16 , 187.00              682.79 , 682.00        5.07
    0.8            2.79                   0.99 , 1.16          430.85 , 425.00          194.88 , 187.00              676.51 , 682.00        5.59
   0.38            2.81                   1.02 , 1.10          443.90 , 425.00          184.80 , 187.00              679.43 , 682.00        5.62
   0.32            2.86                   1.00 , 1.15          435.20 , 425.00          193.20 , 187.00              679.83 , 682.00        5.72
    0.6            2.88                   1.03 , 1.11          448.26 , 425.00          186.48 , 187.00              686.11 , 682.00        5.75
   0.02            2.92                   1.01 , 1.14          439.55 , 425.00          191.52 , 187.00              682.15 , 682.00        5.84
   0.36            2.98                   1.02 , 1.13          443.90 , 425.00          189.84 , 187.00              684.47 , 682.00        5.97
   0.85            3.05                   1.03 , 1.12          448.26 , 425.00          188.16 , 187.00              687.79 , 682.00        6.09
    0.9            3.18                   0.98 , 1.18          426.50 , 425.00          198.24 , 187.00              675.87 , 682.00        6.36
   0.56            3.24                   0.99 , 1.17          430.85 , 425.00          196.56 , 187.00              678.19 , 682.00        6.49
   0.62            3.26                   1.02 , 1.09          443.90 , 425.00          183.12 , 187.00              677.75 , 682.00        6.52
   0.07            3.31                   1.00 , 1.16          435.20 , 425.00          194.88 , 187.00              681.51 , 682.00        6.61
   0.36            3.32                   1.03 , 1.10          448.26 , 425.00          184.80 , 187.00              684.43 , 682.00        6.65
   0.27            3.37                   1.01 , 1.15          439.55 , 425.00          193.20 , 187.00              683.83 , 682.00        6.74
   0.61            3.43                   1.02 , 1.14          443.90 , 425.00          191.52 , 187.00              686.15 , 682.00        6.87
   0.65            3.63                   0.98 , 1.19          426.50 , 425.00          199.92 , 187.00              677.55 , 682.00        7.26
   0.31            3.69                   0.99 , 1.18          430.85 , 425.00          198.24 , 187.00              679.87 , 682.00        7.39
   0.87            3.71                   1.02 , 1.08          443.90 , 425.00          181.44 , 187.00              676.07 , 682.00        7.42
   0.18            3.76                   1.00 , 1.17          435.20 , 425.00          196.56 , 187.00              683.19 , 682.00        7.51
   0.11            3.77                   1.03 , 1.09          448.26 , 425.00          183.12 , 187.00              682.75 , 682.00        7.55
   0.52            3.82                   1.01 , 1.16          439.55 , 425.00          194.88 , 187.00              685.51 , 682.00        7.64
   0.94            3.84                   1.04 , 1.10          452.61 , 425.00          184.80 , 187.00              688.43 , 682.00        7.67
   0.86            3.88                   1.02 , 1.15          443.90 , 425.00          193.20 , 187.00              687.83 , 682.00        7.76
   0.07            4.14                   0.99 , 1.19          430.85 , 425.00          199.92 , 187.00              681.55 , 682.00        8.29
   0.42            4.21                   1.00 , 1.18          435.20 , 425.00          198.24 , 187.00              684.87 , 682.00        8.41
   0.14            4.22                   1.03 , 1.08          448.26 , 425.00          181.44 , 187.00              681.07 , 682.00        8.45
   0.76            4.27                   1.01 , 1.17          439.55 , 425.00          196.56 , 187.00              687.19 , 682.00        8.54
    0.7            4.29                   1.04 , 1.09          452.61 , 425.00          183.12 , 187.00              686.75 , 682.00        8.57
   0.67            4.65                   1.00 , 1.19          435.20 , 425.00          199.92 , 187.00              686.55 , 682.00        9.31
   0.38            4.67                   1.03 , 1.07          448.26 , 425.00          179.76 , 187.00              679.39 , 682.00        9.34
   0.45            4.73                   1.04 , 1.08          452.61 , 425.00          181.44 , 187.00              685.07 , 682.00        9.47
   0.63            5.12                   1.03 , 1.06          448.26 , 425.00          178.08 , 187.00              677.71 , 682.00       10.24
    0.2            5.18                   1.04 , 1.07          452.61 , 425.00          179.76 , 187.00              683.39 , 682.00       10.37
   0.87            5.57                   1.03 , 1.05          448.26 , 425.00          176.40 , 187.00              676.03 , 682.00       11.14
   0.04            5.63                   1.04 , 1.06          452.61 , 425.00          178.08 , 187.00              681.71 , 682.00       11.27
   0.79             5.7                   1.05 , 1.07          456.96 , 425.00          179.76 , 187.00              687.39 , 682.00       11.39
   0.29            6.08                   1.04 , 1.05          452.61 , 425.00          176.40 , 187.00              680.03 , 682.00       12.16
   0.54            6.15                   1.05 , 1.06          456.96 , 425.00          178.08 , 187.00              685.71 , 682.00       12.29
   0.53            6.53                   1.04 , 1.04          452.61 , 425.00          174.72 , 187.00              678.35 , 682.00       13.06
    0.3            6.59                   1.05 , 1.05          456.96 , 425.00          176.40 , 187.00              684.03 , 682.00       13.19
   0.78            6.98                   1.04 , 1.03          452.61 , 425.00          173.04 , 187.00              676.67 , 682.00       13.96
   0.05            7.04                   1.05 , 1.04          456.96 , 425.00          174.72 , 187.00              682.35 , 682.00       14.09
   0.19            7.49                   1.05 , 1.03          456.96 , 425.00          173.04 , 187.00              680.67 , 682.00       14.99
   0.78            7.56                   1.06 , 1.04          461.31 , 425.00          174.72 , 187.00              687.35 , 682.00       15.11
   0.44            7.94                   1.05 , 1.02          456.96 , 425.00          171.36 , 187.00              678.99 , 682.00       15.88
   0.54             8.0                   1.06 , 1.03          461.31 , 425.00          173.04 , 187.00              685.67 , 682.00       16.01
   0.69            8.39                   1.05 , 1.01          456.96 , 425.00          169.68 , 187.00              677.31 , 682.00       16.78
   0.29            8.45                   1.06 , 1.02          461.31 , 425.00          171.36 , 187.00              683.99 , 682.00       16.91
   0.93            8.84                   1.05 , 1.00          456.96 , 425.00          168.00 , 187.00              675.63 , 682.00       17.68
   0.05             8.9                   1.06 , 1.01          461.31 , 425.00          169.68 , 187.00              682.31 , 682.00       17.81
   0.88            8.97                   1.07 , 1.02          465.66 , 425.00          171.36 , 187.00              687.99 , 682.00       17.93
    0.2            9.35                   1.06 , 1.00          461.31 , 425.00          168.00 , 187.00              680.63 , 682.00        18.7
   0.63            9.42                   1.07 , 1.01          465.66 , 425.00          169.68 , 187.00              686.31 , 682.00       18.83
   0.45             9.8                   1.06 , 0.99          461.31 , 425.00          166.32 , 187.00              678.95 , 682.00        19.6
   0.39            9.86                   1.07 , 1.00          465.66 , 425.00          168.00 , 187.00              684.63 , 682.00       19.73
   0.69           10.25                   1.06 , 0.98          461.31 , 425.00          164.64 , 187.00              677.27 , 682.00        20.5
   0.14           10.31                   1.07 , 0.99          465.66 , 425.00          166.32 , 187.00              682.95 , 682.00       20.63
   0.97           10.38                   1.08 , 1.00          470.02 , 425.00          168.00 , 187.00              688.63 , 682.00       20.75
   0.94            10.7                   1.06 , 0.97          461.31 , 425.00          162.96 , 187.00              675.59 , 682.00        21.4
   0.11           10.76                   1.07 , 0.98          465.66 , 425.00          164.64 , 187.00              681.27 , 682.00       21.53
   0.73           10.83                   1.08 , 0.99          470.02 , 425.00          166.32 , 187.00              686.95 , 682.00       21.65
   0.35           11.21                   1.07 , 0.97          465.66 , 425.00          162.96 , 187.00              679.59 , 682.00       22.42
   0.48           11.27                   1.08 , 0.98          470.02 , 425.00          164.64 , 187.00              685.27 , 682.00       22.55
    0.6           11.66                   1.07 , 0.96          465.66 , 425.00          161.28 , 187.00              677.91 , 682.00       23.32
   0.23           11.72                   1.08 , 0.97          470.02 , 425.00          162.96 , 187.00              683.59 , 682.00       23.45
   0.85           12.11                   1.07 , 0.95          465.66 , 425.00          159.60 , 187.00              676.23 , 682.00       24.22
   0.01           12.17                   1.08 , 0.96          470.02 , 425.00          161.28 , 187.00              681.91 , 682.00       24.35
   0.97           12.24                   1.09 , 0.97          474.37 , 425.00          162.96 , 187.00              688.59 , 682.00       24.47
   0.26           12.62                   1.08 , 0.95          470.02 , 425.00          159.60 , 187.00              680.23 , 682.00       25.24
   0.72           12.69                   1.09 , 0.96          474.37 , 425.00          161.28 , 187.00              686.91 , 682.00       25.37
   0.51           13.07                   1.08 , 0.94          470.02 , 425.00          157.92 , 187.00              678.55 , 682.00       26.14
   0.47           13.13                   1.09 , 0.95          474.37 , 425.00          159.60 , 187.00              685.23 , 682.00       26.27
   0.75           13.52                   1.08 , 0.93          470.02 , 425.00          156.24 , 187.00              676.87 , 682.00       27.04
   0.23           13.58                   1.09 , 0.94          474.37 , 425.00          157.92 , 187.00              683.55 , 682.00       27.17
   0.02           14.03                   1.09 , 0.93          474.37 , 425.00          156.24 , 187.00              681.87 , 682.00       28.07
   0.81            14.1                   1.10 , 0.94          478.72 , 425.00          157.92 , 187.00              687.55 , 682.00       28.19
   0.26           14.48                   1.09 , 0.92          474.37 , 425.00          154.56 , 187.00              680.19 , 682.00       28.96
   0.57           14.54                   1.10 , 0.93          478.72 , 425.00          156.24 , 187.00              685.87 , 682.00       29.09
   0.51           14.93                   1.09 , 0.91          474.37 , 425.00          152.88 , 187.00              678.51 , 682.00       29.86
   0.32           14.99                   1.10 , 0.92          478.72 , 425.00          154.56 , 187.00              684.19 , 682.00       29.99
   0.76           15.38                   1.09 , 0.90          474.37 , 425.00          151.20 , 187.00              676.83 , 682.00       30.76
   0.08           15.44                   1.10 , 0.91          478.72 , 425.00          152.88 , 187.00              682.51 , 682.00       30.89
   0.17           15.89                   1.10 , 0.90          478.72 , 425.00          151.20 , 187.00              680.83 , 682.00       31.78
   0.81           15.95                   1.11 , 0.91          483.07 , 425.00          152.88 , 187.00              687.51 , 682.00       31.91
   0.42           16.34                   1.10 , 0.89          478.72 , 425.00          149.52 , 187.00              679.15 , 682.00       32.68
   0.56            16.4                   1.11 , 0.90          483.07 , 425.00          151.20 , 187.00              685.83 , 682.00       32.81
   0.66           16.79                   1.10 , 0.88          478.72 , 425.00          147.84 , 187.00              677.47 , 682.00       33.58
   0.32           16.85                   1.11 , 0.89          483.07 , 425.00          149.52 , 187.00              684.15 , 682.00       33.71
   0.91           17.24                   1.10 , 0.87          478.72 , 425.00          146.16 , 187.00              675.79 , 682.00       34.48
   0.07            17.3                   1.11 , 0.88          483.07 , 425.00          147.84 , 187.00              682.47 , 682.00       34.61
    0.9           17.37                   1.12 , 0.89          487.42 , 425.00          149.52 , 187.00              688.15 , 682.00       34.73
   0.18           17.75                   1.11 , 0.87          483.07 , 425.00          146.16 , 187.00              680.79 , 682.00        35.5
   0.66           17.81                   1.12 , 0.88          487.42 , 425.00          147.84 , 187.00              686.47 , 682.00       35.63
   0.42            18.2                   1.11 , 0.86          483.07 , 425.00          144.48 , 187.00              679.11 , 682.00        36.4
   0.41           18.26                   1.12 , 0.87          487.42 , 425.00          146.16 , 187.00              684.79 , 682.00       36.53
   0.67           18.65                   1.11 , 0.85          483.07 , 425.00          142.80 , 187.00              677.43 , 682.00        37.3
   0.16           18.71                   1.12 , 0.86          487.42 , 425.00          144.48 , 187.00              683.11 , 682.00       37.43
   0.92            19.1                   1.11 , 0.84          483.07 , 425.00          141.12 , 187.00              675.75 , 682.00        38.2
   0.08           19.16                   1.12 , 0.85          487.42 , 425.00          142.80 , 187.00              681.43 , 682.00       38.32
   0.75           19.22                   1.13 , 0.86          491.78 , 425.00          144.48 , 187.00              687.11 , 682.00       38.45
