hduser@node0:~ $ hadoop jar /opt/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.2.jar wordcount -Dmapreduce.job.reduces=16 /input /output
16/09/13 09:59:33 INFO client.RMProxy: Connecting to ResourceManager at node0/192.168.1.109:8032
16/09/13 09:59:37 INFO input.FileInputFormat: Total input paths to process : 1
16/09/13 09:59:38 INFO mapreduce.JobSubmitter: number of splits:4
16/09/13 09:59:38 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1473666418160_0006
16/09/13 09:59:40 INFO impl.YarnClientImpl: Submitted application application_1473666418160_0006
16/09/13 09:59:40 INFO mapreduce.Job: The url to track the job: http://node0:8088/proxy/application_1473666418160_0006/
16/09/13 09:59:40 INFO mapreduce.Job: Running job: job_1473666418160_0006
16/09/13 10:00:10 INFO mapreduce.Job: Job job_1473666418160_0006 running in uber mode : false
16/09/13 10:12:49 INFO mapreduce.Job:  map 93% reduce 0%
16/09/13 10:12:55 INFO mapreduce.Job:  map 94% reduce 0%
16/09/13 10:13:01 INFO mapreduce.Job:  map 95% reduce 0%
16/09/13 10:13:07 INFO mapreduce.Job:  map 96% reduce 0%
16/09/13 10:13:13 INFO mapreduce.Job:  map 97% reduce 0%
16/09/13 10:13:19 INFO mapreduce.Job:  map 98% reduce 0%
16/09/13 10:13:25 INFO mapreduce.Job:  map 99% reduce 0%
16/09/13 10:13:32 INFO mapreduce.Job:  map 100% reduce 0%
16/09/13 10:14:04 INFO mapreduce.Job:  map 100% reduce 2%
16/09/13 10:14:05 INFO mapreduce.Job:  map 100% reduce 6%
16/09/13 10:14:07 INFO mapreduce.Job:  map 100% reduce 7%
16/09/13 10:14:08 INFO mapreduce.Job:  map 100% reduce 9%
16/09/13 10:14:09 INFO mapreduce.Job:  map 100% reduce 13%
16/09/13 10:14:10 INFO mapreduce.Job:  map 100% reduce 17%
16/09/13 10:14:11 INFO mapreduce.Job:  map 100% reduce 18%
16/09/13 10:14:12 INFO mapreduce.Job:  map 100% reduce 20%
16/09/13 10:14:13 INFO mapreduce.Job:  map 100% reduce 25%
16/09/13 10:14:14 INFO mapreduce.Job:  map 100% reduce 27%
16/09/13 10:14:15 INFO mapreduce.Job:  map 100% reduce 28%
16/09/13 10:14:16 INFO mapreduce.Job:  map 100% reduce 31%
16/09/13 10:14:17 INFO mapreduce.Job:  map 100% reduce 32%
16/09/13 10:14:18 INFO mapreduce.Job:  map 100% reduce 33%
16/09/13 10:14:19 INFO mapreduce.Job:  map 100% reduce 36%
16/09/13 10:14:20 INFO mapreduce.Job:  map 100% reduce 38%
16/09/13 10:14:21 INFO mapreduce.Job:  map 100% reduce 39%
16/09/13 10:14:22 INFO mapreduce.Job:  map 100% reduce 41%
16/09/13 10:14:23 INFO mapreduce.Job:  map 100% reduce 42%
16/09/13 10:14:24 INFO mapreduce.Job:  map 100% reduce 43%
16/09/13 10:14:25 INFO mapreduce.Job:  map 100% reduce 44%
16/09/13 10:14:26 INFO mapreduce.Job:  map 100% reduce 46%
16/09/13 10:14:27 INFO mapreduce.Job:  map 100% reduce 47%
16/09/13 10:14:28 INFO mapreduce.Job:  map 100% reduce 48%
16/09/13 10:14:29 INFO mapreduce.Job:  map 100% reduce 50%
16/09/13 10:14:30 INFO mapreduce.Job:  map 100% reduce 51%
16/09/13 10:14:32 INFO mapreduce.Job:  map 100% reduce 54%
16/09/13 10:14:34 INFO mapreduce.Job:  map 100% reduce 55%
16/09/13 10:14:35 INFO mapreduce.Job:  map 100% reduce 58%
16/09/13 10:14:37 INFO mapreduce.Job:  map 100% reduce 59%
16/09/13 10:14:38 INFO mapreduce.Job:  map 100% reduce 61%
16/09/13 10:14:40 INFO mapreduce.Job:  map 100% reduce 62%
16/09/13 10:14:41 INFO mapreduce.Job:  map 100% reduce 64%
16/09/13 10:14:43 INFO mapreduce.Job:  map 100% reduce 65%
16/09/13 10:14:44 INFO mapreduce.Job:  map 100% reduce 67%
16/09/13 10:14:46 INFO mapreduce.Job:  map 100% reduce 68%
16/09/13 10:14:48 INFO mapreduce.Job:  map 100% reduce 69%
16/09/13 10:14:50 INFO mapreduce.Job:  map 100% reduce 70%
16/09/13 10:14:53 INFO mapreduce.Job:  map 100% reduce 71%
16/09/13 10:14:54 INFO mapreduce.Job:  map 100% reduce 72%
16/09/13 10:14:56 INFO mapreduce.Job:  map 100% reduce 73%
16/09/13 10:14:57 INFO mapreduce.Job:  map 100% reduce 74%
16/09/13 10:15:00 INFO mapreduce.Job:  map 100% reduce 75%
16/09/13 10:15:01 INFO mapreduce.Job:  map 100% reduce 76%
16/09/13 10:15:03 INFO mapreduce.Job:  map 100% reduce 77%
16/09/13 10:15:05 INFO mapreduce.Job:  map 100% reduce 78%
16/09/13 10:15:07 INFO mapreduce.Job:  map 100% reduce 79%
16/09/13 10:15:09 INFO mapreduce.Job:  map 100% reduce 80%
16/09/13 10:15:11 INFO mapreduce.Job:  map 100% reduce 81%
16/09/13 10:15:13 INFO mapreduce.Job:  map 100% reduce 82%
16/09/13 10:15:15 INFO mapreduce.Job:  map 100% reduce 83%
16/09/13 10:15:17 INFO mapreduce.Job:  map 100% reduce 84%
16/09/13 10:15:18 INFO mapreduce.Job:  map 100% reduce 85%
16/09/13 10:15:20 INFO mapreduce.Job:  map 100% reduce 86%
16/09/13 10:15:22 INFO mapreduce.Job:  map 100% reduce 87%
16/09/13 10:15:24 INFO mapreduce.Job:  map 100% reduce 88%
16/09/13 10:15:25 INFO mapreduce.Job:  map 100% reduce 89%
16/09/13 10:15:27 INFO mapreduce.Job:  map 100% reduce 90%
16/09/13 10:15:29 INFO mapreduce.Job:  map 100% reduce 91%
16/09/13 10:15:31 INFO mapreduce.Job:  map 100% reduce 92%
16/09/13 10:15:32 INFO mapreduce.Job:  map 100% reduce 93%
16/09/13 10:15:35 INFO mapreduce.Job:  map 100% reduce 94%
16/09/13 10:15:36 INFO mapreduce.Job:  map 100% reduce 95%
16/09/13 10:15:38 INFO mapreduce.Job:  map 100% reduce 96%
16/09/13 10:15:40 INFO mapreduce.Job:  map 100% reduce 97%
16/09/13 10:15:41 INFO mapreduce.Job:  map 100% reduce 98%
16/09/13 10:15:44 INFO mapreduce.Job:  map 100% reduce 99%
16/09/13 10:15:46 INFO mapreduce.Job:  map 100% reduce 100%
16/09/13 10:15:51 INFO mapreduce.Job: Job job_1473666418160_0006 completed successfully
16/09/13 10:15:52 INFO mapreduce.Job: Counters: 50
       	File System Counters
       		FILE: Number of bytes read=990466051
       		FILE: Number of bytes written=1487315865
       		FILE: Number of read operations=0
       		FILE: Number of large read operations=0
       		FILE: Number of write operations=0
       		HDFS: Number of bytes read=268448100
       		HDFS: Number of bytes written=342683562
       		HDFS: Number of read operations=60
       		HDFS: Number of large read operations=0
       		HDFS: Number of write operations=32
       	Job Counters
       		Launched map tasks=4
       		Launched reduce tasks=16
       		Data-local map tasks=3
       		Rack-local map tasks=1
       		Total time spent by all maps in occupied slots (ms)=3197227
       		Total time spent by all reduces in occupied slots (ms)=1944392
       		Total time spent by all map tasks (ms)=3197227
       		Total time spent by all reduce tasks (ms)=1944392
       		Total vcore-milliseconds taken by all map tasks=3197227
       		Total vcore-milliseconds taken by all reduce tasks=1944392
       		Total megabyte-milliseconds taken by all map tasks=3273960448
       		Total megabyte-milliseconds taken by all reduce tasks=1991057408
       	Map-Reduce Framework
       		Map input records=1903798
       		Map output records=38075951
       		Map output bytes=418835464
       		Map output materialized bytes=494987750
       		Input split bytes=356
       		Combine input records=76151902
       		Combine output records=76151902
       		Reduce input groups=38075951
       		Reduce shuffle bytes=494987750
       		Reduce input records=38075951
       		Reduce output records=38075951
       		Spilled Records=114227853
       		Shuffled Maps =64
       		Failed Shuffles=0
       		Merged Map outputs=64
       		GC time elapsed (ms)=33326
       		CPU time spent (ms)=4698310
       		Physical memory (bytes) snapshot=2379243520
       		Virtual memory (bytes) snapshot=6388039680
       		Total committed heap usage (bytes)=1625960448
       	Shuffle Errors
       		BAD_ID=0
       		CONNECTION=0
       		IO_ERROR=0
       		WRONG_LENGTH=0
       		WRONG_MAP=0
       		WRONG_REDUCE=0
       	File Input Format Counters
       		Bytes Read=268447744
       	File Output Format Counters
       		Bytes Written=342683562
hduser@node0:~ $
