Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.01            35.2                  0.94% , 1.01         1636.35 , 998.00          169.68 , 183.00            1851.15 , 1851.00      651.67
   0.01            39.0                  0.96% , 0.80         1671.17 , 998.00          134.40 , 183.00            1850.87 , 1851.00      721.77
   0.02           37.05                  0.95% , 0.91         1653.76 , 998.00          152.88 , 183.00            1851.35 , 1851.00      685.88
   0.03           33.81                  0.93% , 1.12         1618.94 , 998.00          188.16 , 183.00            1851.63 , 1851.00       626.1
   0.06           33.75                  0.93% , 1.11         1618.94 , 998.00          186.48 , 183.00            1849.95 , 1851.00      624.42
   0.07           37.17                  0.95% , 0.90         1653.76 , 998.00          151.20 , 183.00            1849.67 , 1851.00      687.56
   0.08           35.33                  0.94% , 1.00         1636.35 , 998.00          168.00 , 183.00            1849.47 , 1851.00      653.35
   0.08           38.87                  0.96% , 0.81         1671.17 , 998.00          136.08 , 183.00            1852.55 , 1851.00      720.09
    0.1           35.08                  0.94% , 1.02         1636.35 , 998.00          171.36 , 183.00            1852.83 , 1851.00      649.99
   0.11           36.92                  0.95% , 0.92         1653.76 , 998.00          154.56 , 183.00            1853.03 , 1851.00       684.2
   0.12           33.87                  0.93% , 1.13         1618.94 , 998.00          189.84 , 183.00            1853.31 , 1851.00      627.78
   0.15           33.69                  0.93% , 1.10         1618.94 , 998.00          184.80 , 183.00            1848.27 , 1851.00      622.74
   0.16            37.3                  0.95% , 0.89         1653.76 , 998.00          149.52 , 183.00            1847.99 , 1851.00      689.24
   0.17           35.45                  0.94% , 0.99         1636.35 , 998.00          166.32 , 183.00            1847.79 , 1851.00      655.03
   0.17           38.74                  0.96% , 0.82         1671.17 , 998.00          137.76 , 183.00            1854.23 , 1851.00      718.41
   0.19           34.96                  0.94% , 1.03         1636.35 , 998.00          173.04 , 183.00            1854.51 , 1851.00      648.31
    0.2            36.8                  0.95% , 0.93         1653.76 , 998.00          156.24 , 183.00            1854.71 , 1851.00      682.52
   0.22           33.93                  0.93% , 1.14         1618.94 , 998.00          191.52 , 183.00            1854.99 , 1851.00      629.46
   0.24           33.63                  0.93% , 1.09         1618.94 , 998.00          183.12 , 183.00            1846.59 , 1851.00      621.06
   0.25            33.6                  0.92% , 1.19         1601.54 , 998.00          199.92 , 183.00            1846.39 , 1851.00      620.46
   0.25           37.42                  0.95% , 0.88         1653.76 , 998.00          147.84 , 183.00            1846.31 , 1851.00      690.92
   0.26           35.57                  0.94% , 0.98         1636.35 , 998.00          164.64 , 183.00            1846.11 , 1851.00      656.71
   0.27           38.62                  0.96% , 0.83         1671.17 , 998.00          139.44 , 183.00            1855.91 , 1851.00      716.73
   0.28           34.84                  0.94% , 1.04         1636.35 , 998.00          174.72 , 183.00            1856.19 , 1851.00      646.63
   0.29           36.68                  0.95% , 0.94         1653.76 , 998.00          157.92 , 183.00            1856.39 , 1851.00      680.84
   0.31           33.99                  0.93% , 1.15         1618.94 , 998.00          193.20 , 183.00            1856.67 , 1851.00      631.14
   0.33           33.74                  0.93% , 1.08         1618.94 , 998.00          181.44 , 183.00            1844.91 , 1851.00       622.5
   0.34           33.54                  0.92% , 1.18         1601.54 , 998.00          198.24 , 183.00            1844.71 , 1851.00      618.78
   0.34           37.55                  0.95% , 0.87         1653.76 , 998.00          146.16 , 183.00            1844.63 , 1851.00       692.6
   0.36            35.7                  0.94% , 0.97         1636.35 , 998.00          162.96 , 183.00            1844.43 , 1851.00      658.39
   0.36           38.49                  0.96% , 0.84         1671.17 , 998.00          141.12 , 183.00            1857.59 , 1851.00      715.05
   0.37           34.71                  0.94% , 1.05         1636.35 , 998.00          176.40 , 183.00            1857.87 , 1851.00      644.95
   0.38           36.55                  0.95% , 0.95         1653.76 , 998.00          159.60 , 183.00            1858.07 , 1851.00      679.16
    0.4           34.05                  0.93% , 1.16         1618.94 , 998.00          194.88 , 183.00            1858.35 , 1851.00      632.82
   0.42           33.86                  0.93% , 1.07         1618.94 , 998.00          179.76 , 183.00            1843.23 , 1851.00      624.18
   0.43           33.48                  0.92% , 1.17         1601.54 , 998.00          196.56 , 183.00            1843.03 , 1851.00       617.1
   0.43           37.67                  0.95% , 0.86         1653.76 , 998.00          144.48 , 183.00            1842.95 , 1851.00      694.28
   0.45           35.82                  0.94% , 0.96         1636.35 , 998.00          161.28 , 183.00            1842.75 , 1851.00      660.07
   0.45           38.37                  0.96% , 0.85         1671.17 , 998.00          142.80 , 183.00            1859.27 , 1851.00      713.37
   0.46           34.59                  0.94% , 1.06         1636.35 , 998.00          178.08 , 183.00            1859.55 , 1851.00      643.27
   0.47           36.43                  0.95% , 0.96         1653.76 , 998.00          161.28 , 183.00            1859.75 , 1851.00      677.48
   0.49           34.11                  0.93% , 1.17         1618.94 , 998.00          196.56 , 183.00            1860.03 , 1851.00       634.5
   0.51           33.99                  0.93% , 1.06         1618.94 , 998.00          178.08 , 183.00            1841.55 , 1851.00      625.86
   0.52           33.42                  0.92% , 1.16         1601.54 , 998.00          194.88 , 183.00            1841.35 , 1851.00      615.42
   0.53            37.8                  0.95% , 0.85         1653.76 , 998.00          142.80 , 183.00            1841.27 , 1851.00      695.96
   0.54           35.94                  0.94% , 0.95         1636.35 , 998.00          159.60 , 183.00            1841.07 , 1851.00      661.75
   0.54           38.24                  0.96% , 0.86         1671.17 , 998.00          144.48 , 183.00            1860.95 , 1851.00      711.69
   0.55           34.47                  0.94% , 1.07         1636.35 , 998.00          179.76 , 183.00            1861.23 , 1851.00      641.59
   0.56           36.31                  0.95% , 0.97         1653.76 , 998.00          162.96 , 183.00            1861.43 , 1851.00       675.8
   0.58           34.17                  0.93% , 1.18         1618.94 , 998.00          198.24 , 183.00            1861.71 , 1851.00      636.18
    0.6           34.11                  0.93% , 1.05         1618.94 , 998.00          176.40 , 183.00            1839.87 , 1851.00      627.54
   0.61           33.36                  0.92% , 1.15         1601.54 , 998.00          193.20 , 183.00            1839.67 , 1851.00      613.74
   0.62           37.92                  0.95% , 0.84         1653.76 , 998.00          141.12 , 183.00            1839.59 , 1851.00      697.64
   0.63           36.07                  0.94% , 0.94         1636.35 , 998.00          157.92 , 183.00            1839.39 , 1851.00      663.43
   0.63           38.12                  0.96% , 0.87         1671.17 , 998.00          146.16 , 183.00            1862.63 , 1851.00      710.01
   0.64           34.35                  0.94% , 1.08         1636.35 , 998.00          181.44 , 183.00            1862.91 , 1851.00      639.91
   0.65           36.18                  0.95% , 0.98         1653.76 , 998.00          164.64 , 183.00            1863.11 , 1851.00      674.12
   0.67           34.23                  0.93% , 1.19         1618.94 , 998.00          199.92 , 183.00            1863.39 , 1851.00      637.86
   0.69           34.23                  0.93% , 1.04         1618.94 , 998.00          174.72 , 183.00            1838.19 , 1851.00      629.22
    0.7            33.3                  0.92% , 1.14         1601.54 , 998.00          191.52 , 183.00            1837.99 , 1851.00      612.06
   0.71           38.05                  0.95% , 0.83         1653.76 , 998.00          139.44 , 183.00            1837.91 , 1851.00      699.32
   0.72           36.19                  0.94% , 0.93         1636.35 , 998.00          156.24 , 183.00            1837.71 , 1851.00      665.11
   0.72           37.99                  0.96% , 0.88         1671.17 , 998.00          147.84 , 183.00            1864.31 , 1851.00      708.33
   0.73           34.24                  0.94% , 1.09         1636.35 , 998.00          183.12 , 183.00            1864.59 , 1851.00      638.47
   0.74           36.06                  0.95% , 0.99         1653.76 , 998.00          166.32 , 183.00            1864.79 , 1851.00      672.44
   0.78           34.35                  0.93% , 1.03         1618.94 , 998.00          173.04 , 183.00            1836.51 , 1851.00       630.9
   0.79           33.24                  0.92% , 1.13         1601.54 , 998.00          189.84 , 183.00            1836.31 , 1851.00      610.38
    0.8           38.18                  0.95% , 0.82         1653.76 , 998.00          137.76 , 183.00            1836.23 , 1851.00       701.0
   0.81           36.32                  0.94% , 0.92         1636.35 , 998.00          154.56 , 183.00            1836.03 , 1851.00      666.79
   0.81           37.87                  0.96% , 0.89         1671.17 , 998.00          149.52 , 183.00            1865.99 , 1851.00      706.65
   0.82            34.3                  0.94% , 1.10         1636.35 , 998.00          184.80 , 183.00            1866.27 , 1851.00      640.15
   0.84           35.94                  0.95% , 1.00         1653.76 , 998.00          168.00 , 183.00            1866.47 , 1851.00      670.76
   0.87           34.48                  0.93% , 1.02         1618.94 , 998.00          171.36 , 183.00            1834.83 , 1851.00      632.58
   0.88           33.18                  0.92% , 1.12         1601.54 , 998.00          188.16 , 183.00            1834.63 , 1851.00       608.7
   0.89            38.3                  0.95% , 0.81         1653.76 , 998.00          136.08 , 183.00            1834.55 , 1851.00      702.68
    0.9           36.44                  0.94% , 0.91         1636.35 , 998.00          152.88 , 183.00            1834.35 , 1851.00      668.47
    0.9           37.75                  0.96% , 0.90         1671.17 , 998.00          151.20 , 183.00            1867.67 , 1851.00      704.97
   0.91           39.57                  0.97% , 0.80         1688.58 , 998.00          134.40 , 183.00            1867.87 , 1851.00      739.18
   0.92           34.36                  0.94% , 1.11         1636.35 , 998.00          186.48 , 183.00            1867.95 , 1851.00      641.83
   0.93           35.82                  0.95% , 1.01         1653.76 , 998.00          169.68 , 183.00            1868.15 , 1851.00      669.08
   0.96            34.6                  0.93% , 1.01         1618.94 , 998.00          169.68 , 183.00            1833.15 , 1851.00      634.26
   0.98           33.12                  0.92% , 1.11         1601.54 , 998.00          186.48 , 183.00            1832.95 , 1851.00      607.02
   0.98           38.43                  0.95% , 0.80         1653.76 , 998.00          134.40 , 183.00            1832.87 , 1851.00      704.36
   0.99           36.57                  0.94% , 0.90         1636.35 , 998.00          151.20 , 183.00            1832.67 , 1851.00      670.15
   0.99           37.62                  0.96% , 0.91         1671.17 , 998.00          152.88 , 183.00            1869.35 , 1851.00      703.29
    1.0           39.45                  0.97% , 0.81         1688.58 , 998.00          136.08 , 183.00            1869.55 , 1851.00       737.5
   1.01           34.42                  0.94% , 1.12         1636.35 , 998.00          188.16 , 183.00            1869.63 , 1851.00      643.51
   1.02           35.69                  0.95% , 1.02         1653.76 , 998.00          171.36 , 183.00            1869.83 , 1851.00       667.4
   1.06           34.72                  0.93% , 1.00         1618.94 , 998.00          168.00 , 183.00            1831.47 , 1851.00      635.94
   1.07           33.06                  0.92% , 1.10         1601.54 , 998.00          184.80 , 183.00            1831.27 , 1851.00      605.34
   1.08           36.69                  0.94% , 0.89         1636.35 , 998.00          149.52 , 183.00            1830.99 , 1851.00      671.83
   1.08            37.5                  0.96% , 0.92         1671.17 , 998.00          154.56 , 183.00            1871.03 , 1851.00      701.61
   1.09           39.32                  0.97% , 0.82         1688.58 , 998.00          137.76 , 183.00            1871.23 , 1851.00      735.82
    1.1           34.48                  0.94% , 1.13         1636.35 , 998.00          189.84 , 183.00            1871.31 , 1851.00      645.19
   1.11           35.57                  0.95% , 1.03         1653.76 , 998.00          173.04 , 183.00            1871.51 , 1851.00      665.72
   1.15           34.85                  0.93% , 0.99         1618.94 , 998.00          166.32 , 183.00            1829.79 , 1851.00      637.62
   1.16           32.99                  0.92% , 1.09         1601.54 , 998.00          183.12 , 183.00            1829.59 , 1851.00      603.66
   1.17           32.96                  0.91% , 1.19         1584.13 , 998.00          199.92 , 183.00            1829.39 , 1851.00      603.05
   1.17           36.82                  0.94% , 0.88         1636.35 , 998.00          147.84 , 183.00            1829.31 , 1851.00      673.51
   1.17           37.38                  0.96% , 0.93         1671.17 , 998.00          156.24 , 183.00            1872.71 , 1851.00      699.93
   1.18            39.2                  0.97% , 0.83         1688.58 , 998.00          139.44 , 183.00            1872.91 , 1851.00      734.14
   1.19           34.54                  0.94% , 1.14         1636.35 , 998.00          191.52 , 183.00            1872.99 , 1851.00      646.87
    1.2           35.45                  0.95% , 1.04         1653.76 , 998.00          174.72 , 183.00            1873.19 , 1851.00      664.04
   1.24           34.97                  0.93% , 0.98         1618.94 , 998.00          164.64 , 183.00            1828.11 , 1851.00       639.3
   1.25            33.1                  0.92% , 1.08         1601.54 , 998.00          181.44 , 183.00            1827.91 , 1851.00       605.1
   1.26            32.9                  0.91% , 1.18         1584.13 , 998.00          198.24 , 183.00            1827.71 , 1851.00      601.37
   1.26           36.94                  0.94% , 0.87         1636.35 , 998.00          146.16 , 183.00            1827.63 , 1851.00      675.19
   1.26           37.25                  0.96% , 0.94         1671.17 , 998.00          157.92 , 183.00            1874.39 , 1851.00      698.25
   1.27           39.07                  0.97% , 0.84         1688.58 , 998.00          141.12 , 183.00            1874.59 , 1851.00      732.46
   1.28            34.6                  0.94% , 1.15         1636.35 , 998.00          193.20 , 183.00            1874.67 , 1851.00      648.55
   1.29           35.33                  0.95% , 1.05         1653.76 , 998.00          176.40 , 183.00            1874.87 , 1851.00      662.36
   1.33           35.09                  0.93% , 0.97         1618.94 , 998.00          162.96 , 183.00            1826.43 , 1851.00      640.98
   1.34           33.23                  0.92% , 1.07         1601.54 , 998.00          179.76 , 183.00            1826.23 , 1851.00      606.78
   1.35           32.84                  0.91% , 1.17         1584.13 , 998.00          196.56 , 183.00            1826.03 , 1851.00      599.69
   1.35           37.07                  0.94% , 0.86         1636.35 , 998.00          144.48 , 183.00            1825.95 , 1851.00      676.87
   1.35           37.13                  0.96% , 0.95         1671.17 , 998.00          159.60 , 183.00            1876.07 , 1851.00      696.57
   1.37           34.65                  0.94% , 1.16         1636.35 , 998.00          194.88 , 183.00            1876.35 , 1851.00      650.23
   1.37           38.95                  0.97% , 0.85         1688.58 , 998.00          142.80 , 183.00            1876.27 , 1851.00      730.78
   1.38           35.21                  0.95% , 1.06         1653.76 , 998.00          178.08 , 183.00            1876.55 , 1851.00      660.68
   1.42           35.22                  0.93% , 0.96         1618.94 , 998.00          161.28 , 183.00            1824.75 , 1851.00      642.66
   1.43           33.35                  0.92% , 1.06         1601.54 , 998.00          178.08 , 183.00            1824.55 , 1851.00      608.46
   1.44           32.78                  0.91% , 1.16         1584.13 , 998.00          194.88 , 183.00            1824.35 , 1851.00      598.01
   1.44            37.2                  0.94% , 0.85         1636.35 , 998.00          142.80 , 183.00            1824.27 , 1851.00      678.55
   1.45           37.01                  0.96% , 0.96         1671.17 , 998.00          161.28 , 183.00            1877.75 , 1851.00      694.89
   1.46           34.71                  0.94% , 1.17         1636.35 , 998.00          196.56 , 183.00            1878.03 , 1851.00      651.91
   1.46           38.82                  0.97% , 0.86         1688.58 , 998.00          144.48 , 183.00            1877.95 , 1851.00       729.1
   1.47           35.09                  0.95% , 1.07         1653.76 , 998.00          179.76 , 183.00            1878.23 , 1851.00       659.0
   1.51           35.34                  0.93% , 0.95         1618.94 , 998.00          159.60 , 183.00            1823.07 , 1851.00      644.34
   1.52           33.47                  0.92% , 1.05         1601.54 , 998.00          176.40 , 183.00            1822.87 , 1851.00      610.14
   1.53           32.72                  0.91% , 1.15         1584.13 , 998.00          193.20 , 183.00            1822.67 , 1851.00      596.33
   1.53           37.32                  0.94% , 0.84         1636.35 , 998.00          141.12 , 183.00            1822.59 , 1851.00      680.23
   1.54           36.88                  0.96% , 0.97         1671.17 , 998.00          162.96 , 183.00            1879.43 , 1851.00      693.21
   1.55           34.77                  0.94% , 1.18         1636.35 , 998.00          198.24 , 183.00            1879.71 , 1851.00      653.59
   1.55            38.7                  0.97% , 0.87         1688.58 , 998.00          146.16 , 183.00            1879.63 , 1851.00      727.42
   1.56           34.97                  0.95% , 1.08         1653.76 , 998.00          181.44 , 183.00            1879.91 , 1851.00      657.32
    1.6           35.47                  0.93% , 0.94         1618.94 , 998.00          157.92 , 183.00            1821.39 , 1851.00      646.02
   1.61           33.59                  0.92% , 1.04         1601.54 , 998.00          174.72 , 183.00            1821.19 , 1851.00      611.82
   1.62           32.66                  0.91% , 1.14         1584.13 , 998.00          191.52 , 183.00            1820.99 , 1851.00      594.65
   1.63           37.45                  0.94% , 0.83         1636.35 , 998.00          139.44 , 183.00            1820.91 , 1851.00      681.91
   1.63           36.76                  0.96% , 0.98         1671.17 , 998.00          164.64 , 183.00            1881.11 , 1851.00      691.53
   1.64           34.83                  0.94% , 1.19         1636.35 , 998.00          199.92 , 183.00            1881.39 , 1851.00      655.27
   1.64           38.58                  0.97% , 0.88         1688.58 , 998.00          147.84 , 183.00            1881.31 , 1851.00      725.74
   1.65           34.86                  0.95% , 1.09         1653.76 , 998.00          183.12 , 183.00            1881.59 , 1851.00      655.88
   1.69           35.59                  0.93% , 0.93         1618.94 , 998.00          156.24 , 183.00            1819.71 , 1851.00       647.7
    1.7           33.72                  0.92% , 1.03         1601.54 , 998.00          173.04 , 183.00            1819.51 , 1851.00       613.5
   1.71           32.59                  0.91% , 1.13         1584.13 , 998.00          189.84 , 183.00            1819.31 , 1851.00      592.97
   1.72           37.58                  0.94% , 0.82         1636.35 , 998.00          137.76 , 183.00            1819.23 , 1851.00      683.59
   1.72           36.64                  0.96% , 0.99         1671.17 , 998.00          166.32 , 183.00            1882.79 , 1851.00      689.85
   1.73           38.45                  0.97% , 0.89         1688.58 , 998.00          149.52 , 183.00            1882.99 , 1851.00      724.06
   1.74           34.92                  0.95% , 1.10         1653.76 , 998.00          184.80 , 183.00            1883.27 , 1851.00      657.56
   1.78           35.72                  0.93% , 0.92         1618.94 , 998.00          154.56 , 183.00            1818.03 , 1851.00      649.38
   1.79           33.84                  0.92% , 1.02         1601.54 , 998.00          171.36 , 183.00            1817.83 , 1851.00      615.18
    1.8           32.53                  0.91% , 1.12         1584.13 , 998.00          188.16 , 183.00            1817.63 , 1851.00      591.29
   1.81            37.7                  0.94% , 0.81         1636.35 , 998.00          136.08 , 183.00            1817.55 , 1851.00      685.27
   1.81           36.52                  0.96% , 1.00         1671.17 , 998.00          168.00 , 183.00            1884.47 , 1851.00      688.17
   1.82           38.33                  0.97% , 0.90         1688.58 , 998.00          151.20 , 183.00            1884.67 , 1851.00      722.38
   1.83           34.97                  0.95% , 1.11         1653.76 , 998.00          186.48 , 183.00            1884.95 , 1851.00      659.24
   1.83           40.14                  0.98% , 0.80         1705.98 , 998.00          134.40 , 183.00            1884.87 , 1851.00      756.58
   1.87           35.84                  0.93% , 0.91         1618.94 , 998.00          152.88 , 183.00            1816.35 , 1851.00      651.06
   1.88           33.97                  0.92% , 1.01         1601.54 , 998.00          169.68 , 183.00            1816.15 , 1851.00      616.86
   1.89           32.47                  0.91% , 1.11         1584.13 , 998.00          186.48 , 183.00            1815.95 , 1851.00      589.61
    1.9           37.83                  0.94% , 0.80         1636.35 , 998.00          134.40 , 183.00            1815.87 , 1851.00      686.95
    1.9            36.4                  0.96% , 1.01         1671.17 , 998.00          169.68 , 183.00            1886.15 , 1851.00      686.49
   1.91           38.21                  0.97% , 0.91         1688.58 , 998.00          152.88 , 183.00            1886.35 , 1851.00       720.7
   1.92           35.03                  0.95% , 1.12         1653.76 , 998.00          188.16 , 183.00            1886.63 , 1851.00      660.92
   1.92           40.02                  0.98% , 0.81         1705.98 , 998.00          136.08 , 183.00            1886.55 , 1851.00       754.9
   1.96           35.97                  0.93% , 0.90         1618.94 , 998.00          151.20 , 183.00            1814.67 , 1851.00      652.74
   1.97           34.09                  0.92% , 1.00         1601.54 , 998.00          168.00 , 183.00            1814.47 , 1851.00      618.54
   1.98           32.41                  0.91% , 1.10         1584.13 , 998.00          184.80 , 183.00            1814.27 , 1851.00      587.93
   1.99           36.27                  0.96% , 1.02         1671.17 , 998.00          171.36 , 183.00            1887.83 , 1851.00      684.81
    2.0           38.08                  0.97% , 0.92         1688.58 , 998.00          154.56 , 183.00            1888.03 , 1851.00      719.02
   2.01           39.89                  0.98% , 0.82         1705.98 , 998.00          137.76 , 183.00            1888.23 , 1851.00      753.22
   2.02           35.09                  0.95% , 1.13         1653.76 , 998.00          189.84 , 183.00            1888.31 , 1851.00       662.6
   2.05            36.1                  0.93% , 0.89         1618.94 , 998.00          149.52 , 183.00            1812.99 , 1851.00      654.42
   2.06           34.21                  0.92% , 0.99         1601.54 , 998.00          166.32 , 183.00            1812.79 , 1851.00      620.22
   2.08           32.34                  0.91% , 1.09         1584.13 , 998.00          183.12 , 183.00            1812.59 , 1851.00      586.25
   2.08           36.15                  0.96% , 1.03         1671.17 , 998.00          173.04 , 183.00            1889.51 , 1851.00      683.13
   2.09           37.96                  0.97% , 0.93         1688.58 , 998.00          156.24 , 183.00            1889.71 , 1851.00      717.34
    2.1           39.77                  0.98% , 0.83         1705.98 , 998.00          139.44 , 183.00            1889.91 , 1851.00      751.54
   2.11           35.15                  0.95% , 1.14         1653.76 , 998.00          191.52 , 183.00            1889.99 , 1851.00      664.28
   2.14           32.33                  0.90% , 1.19         1566.72 , 998.00          199.92 , 183.00            1811.39 , 1851.00      585.64
