Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.01            3.14                  1.06% , 0.98          461.31 , 438.00          658.56 , 672.00            1171.86 , 1172.00       36.75
   0.02           11.74                  0.86% , 1.11          374.27 , 438.00          745.92 , 672.00            1172.22 , 1172.00      137.65
   0.02            9.49                  0.89% , 1.09          387.33 , 438.00          732.48 , 672.00            1171.78 , 1172.00      111.15
   0.03            0.87                  1.03% , 1.00          448.26 , 438.00          672.00 , 672.00            1172.30 , 1172.00       10.26
   0.05             5.4                  1.09% , 0.96          474.37 , 438.00          645.12 , 672.00            1171.42 , 1172.00       63.25
   0.06            14.0                  0.83% , 1.13          361.22 , 438.00          759.36 , 672.00            1172.66 , 1172.00      164.14
   0.06            7.23                  0.92% , 1.07          400.38 , 438.00          719.04 , 672.00            1171.34 , 1172.00       84.66
   0.06            1.38                  1.00% , 1.02          435.20 , 438.00          685.44 , 672.00            1172.74 , 1172.00       16.24
   0.07           11.23                  1.17% , 0.91          509.18 , 438.00          611.52 , 672.00            1172.82 , 1172.00      131.66
   0.09           16.25                  0.80% , 1.15          348.16 , 438.00          772.80 , 672.00            1173.10 , 1172.00      190.64
   0.09            8.16                  0.91% , 1.08          396.03 , 438.00          725.76 , 672.00            1173.06 , 1172.00       95.73
   0.09            4.97                  0.95% , 1.05          413.44 , 438.00          705.60 , 672.00            1170.90 , 1172.00       58.16
   0.09            7.66                  1.12% , 0.94          487.42 , 438.00          631.68 , 672.00            1170.98 , 1172.00       89.74
    0.1            3.64                  0.97% , 1.04          422.14 , 438.00          698.88 , 672.00            1173.18 , 1172.00       42.74
    0.1            4.45                  1.08% , 0.97          470.02 , 438.00          651.84 , 672.00            1173.14 , 1172.00       52.18
   0.11            8.96                  1.14% , 0.93          496.13 , 438.00          624.96 , 672.00            1173.26 , 1172.00      105.17
   0.12            9.93                  1.15% , 0.92          500.48 , 438.00          618.24 , 672.00            1170.54 , 1172.00      116.24
   0.13           10.42                  0.88% , 1.10          382.98 , 438.00          739.20 , 672.00            1173.50 , 1172.00      122.22
   0.13            2.71                  0.98% , 1.03          426.50 , 438.00          692.16 , 672.00            1170.46 , 1172.00       31.66
   0.13            2.19                  1.05% , 0.99          456.96 , 438.00          665.28 , 672.00            1173.58 , 1172.00       25.68
   0.14           15.34                  0.81% , 1.14          352.51 , 438.00          766.08 , 672.00            1170.38 , 1172.00      179.57
   0.14             5.9                  0.94% , 1.06          409.09 , 438.00          712.32 , 672.00            1173.62 , 1172.00       69.23
   0.15             6.7                  1.11% , 0.95          483.07 , 438.00          638.40 , 672.00            1173.70 , 1172.00       78.67
   0.16            12.2                  1.18% , 0.90          513.54 , 438.00          604.80 , 672.00            1170.10 , 1172.00      142.74
   0.17           12.67                  0.85% , 1.12          369.92 , 438.00          752.64 , 672.00            1173.94 , 1172.00      148.72
   0.17            0.71                  1.01% , 1.01          439.55 , 438.00          678.72 , 672.00            1170.02 , 1172.00        8.27
   0.17            1.08                  1.02% , 1.01          443.90 , 438.00          678.72 , 672.00            1174.02 , 1172.00       12.62
   0.18           13.08                  0.84% , 1.12          365.57 , 438.00          752.64 , 672.00            1169.94 , 1172.00      153.07
   0.18           12.53                  1.19% , 0.90          517.89 , 438.00          604.80 , 672.00            1174.10 , 1172.00      147.09
    0.2           14.92                  0.82% , 1.14          356.86 , 438.00          766.08 , 672.00            1174.38 , 1172.00      175.22
   0.21           10.82                  0.87% , 1.10          378.62 , 438.00          739.20 , 672.00            1169.50 , 1172.00      126.58
   0.21            2.33                  0.99% , 1.03          430.85 , 438.00          692.16 , 672.00            1174.46 , 1172.00       27.31
   0.21            1.82                  1.04% , 0.99          452.61 , 438.00          665.28 , 672.00            1169.58 , 1172.00       21.33
   0.22           10.27                  1.16% , 0.92          504.83 , 438.00          618.24 , 672.00            1174.54 , 1172.00      120.59
   0.24            4.09                  1.07% , 0.97          465.66 , 438.00          651.84 , 672.00            1169.14 , 1172.00       47.82
   0.25            8.56                  0.90% , 1.08          391.68 , 438.00          725.76 , 672.00            1169.06 , 1172.00      100.08
   0.25            4.58                  0.96% , 1.05          417.79 , 438.00          705.60 , 672.00            1174.90 , 1172.00       53.81
   0.25            8.01                  1.13% , 0.94          491.78 , 438.00          631.68 , 672.00            1174.98 , 1172.00        94.1
   0.28            6.36                  1.10% , 0.95          478.72 , 438.00          638.40 , 672.00            1168.70 , 1172.00       74.32
   0.29             6.3                  0.93% , 1.06          404.74 , 438.00          712.32 , 672.00            1168.62 , 1172.00       73.58
   0.29            6.83                  0.93% , 1.07          404.74 , 438.00          719.04 , 672.00            1175.34 , 1172.00        80.3
   0.29            5.75                  1.10% , 0.96          478.72 , 438.00          645.12 , 672.00            1175.42 , 1172.00        67.6
   0.32            9.08                  0.90% , 1.09          391.68 , 438.00          732.48 , 672.00            1175.78 , 1172.00       106.8
   0.32            8.63                  1.13% , 0.93          491.78 , 438.00          624.96 , 672.00            1168.26 , 1172.00      100.82
   0.33            4.03                  0.96% , 1.04          417.79 , 438.00          698.88 , 672.00            1168.18 , 1172.00       47.09
   0.33             3.5                  1.07% , 0.98          465.66 , 438.00          658.56 , 672.00            1175.86 , 1172.00        41.1
   0.36           11.33                  0.87% , 1.11          378.62 , 438.00          745.92 , 672.00            1176.22 , 1172.00       133.3
   0.36            1.76                  0.99% , 1.02          430.85 , 438.00          685.44 , 672.00            1167.74 , 1172.00       20.59
   0.36            10.9                  1.16% , 0.91          504.83 , 438.00          611.52 , 672.00            1167.82 , 1172.00      127.31
   0.37           14.43                  0.82% , 1.13          356.86 , 438.00          759.36 , 672.00            1167.66 , 1172.00       168.5
   0.37            1.24                  1.04% , 1.00          452.61 , 438.00          672.00 , 672.00            1176.30 , 1172.00       14.61
   0.39           13.18                  1.19% , 0.89          517.89 , 438.00          598.08 , 672.00            1167.38 , 1172.00      153.81
    0.4           13.58                  0.84% , 1.13          365.57 , 438.00          759.36 , 672.00            1176.66 , 1172.00      159.79
    0.4            1.27                  1.01% , 1.02          439.55 , 438.00          685.44 , 672.00            1176.74 , 1172.00       14.99
    0.4            0.51                  1.02% , 1.00          443.90 , 438.00          672.00 , 672.00            1167.30 , 1172.00         5.9
   0.41           12.17                  0.85% , 1.11          369.92 , 438.00          745.92 , 672.00            1167.22 , 1172.00       142.0
   0.41           11.56                  1.18% , 0.91          513.54 , 438.00          611.52 , 672.00            1176.82 , 1172.00      136.02
   0.43            7.32                  1.11% , 0.94          483.07 , 438.00          631.68 , 672.00            1166.98 , 1172.00       85.39
   0.44           15.83                  0.81% , 1.15          352.51 , 438.00          772.80 , 672.00            1177.10 , 1172.00      186.29
   0.44            5.36                  0.94% , 1.05          409.09 , 438.00          705.60 , 672.00            1166.90 , 1172.00       62.51
   0.44            3.26                  0.98% , 1.04          426.50 , 438.00          698.88 , 672.00            1177.18 , 1172.00       38.38
   0.44            2.78                  1.05% , 0.98          456.96 , 438.00          658.56 , 672.00            1166.86 , 1172.00        32.4
   0.45             9.9                  0.88% , 1.09          382.98 , 438.00          732.48 , 672.00            1166.78 , 1172.00       115.5
   0.45             9.3                  1.15% , 0.93          500.48 , 438.00          624.96 , 672.00            1177.26 , 1172.00      109.52
   0.47            3.09                  0.97% , 1.03          422.14 , 438.00          692.16 , 672.00            1166.46 , 1172.00       36.02
   0.47            9.59                  1.14% , 0.92          496.13 , 438.00          618.24 , 672.00            1166.54 , 1172.00      111.89
   0.48           15.77                  0.80% , 1.14          348.16 , 438.00          766.08 , 672.00            1166.38 , 1172.00      183.92
   0.48            7.63                  0.91% , 1.07          396.03 , 438.00          719.04 , 672.00            1166.34 , 1172.00       89.01
   0.48            5.51                  0.95% , 1.06          413.44 , 438.00          712.32 , 672.00            1177.62 , 1172.00       64.88
   0.48            5.05                  1.08% , 0.96          470.02 , 438.00          645.12 , 672.00            1166.42 , 1172.00        58.9
   0.49            7.05                  1.12% , 0.95          487.42 , 438.00          638.40 , 672.00            1177.70 , 1172.00       83.02
    0.5           11.87                  1.17% , 0.90          509.18 , 438.00          604.80 , 672.00            1166.10 , 1172.00      138.38
   0.51            0.82                  1.00% , 1.01          435.20 , 438.00          678.72 , 672.00            1166.02 , 1172.00        9.52
   0.52            13.5                  0.83% , 1.12          361.22 , 438.00          752.64 , 672.00            1165.94 , 1172.00      157.42
   0.52            7.76                  0.92% , 1.08          400.38 , 438.00          725.76 , 672.00            1178.06 , 1172.00       91.38
   0.52             4.8                  1.09% , 0.97          474.37 , 438.00          651.84 , 672.00            1178.14 , 1172.00       56.53
   0.55           11.23                  0.86% , 1.10          374.27 , 438.00          739.20 , 672.00            1165.50 , 1172.00      130.93
   0.55            10.0                  0.89% , 1.10          387.33 , 438.00          739.20 , 672.00            1178.50 , 1172.00      117.87
   0.55            1.46                  1.03% , 0.99          448.26 , 438.00          665.28 , 672.00            1165.58 , 1172.00       16.98
   0.56            2.55                  1.06% , 0.99          461.31 , 438.00          665.28 , 672.00            1178.58 , 1172.00       30.03
   0.59           12.25                  0.86% , 1.12          374.27 , 438.00          752.64 , 672.00            1178.94 , 1172.00      144.37
   0.59            8.96                  0.89% , 1.08          387.33 , 438.00          725.76 , 672.00            1165.06 , 1172.00      104.43
   0.59            3.73                  1.06% , 0.97          461.31 , 438.00          651.84 , 672.00            1165.14 , 1172.00       43.47
    0.6            1.44                  1.03% , 1.01          448.26 , 438.00          678.72 , 672.00            1179.02 , 1172.00       16.98
   0.62            6.01                  1.09% , 0.95          474.37 , 438.00          638.40 , 672.00            1164.70 , 1172.00       69.97
   0.63           14.49                  0.83% , 1.14          361.22 , 438.00          766.08 , 672.00            1179.38 , 1172.00      170.86
   0.63            6.69                  0.92% , 1.06          400.38 , 438.00          712.32 , 672.00            1164.62 , 1172.00       77.94
   0.64            1.95                  1.00% , 1.03          435.20 , 438.00          692.16 , 672.00            1179.46 , 1172.00       22.96
   0.64           10.59                  1.17% , 0.92          509.18 , 438.00          618.24 , 672.00            1179.54 , 1172.00      124.94
   0.66            8.68                  0.91% , 1.09          396.03 , 438.00          732.48 , 672.00            1179.78 , 1172.00      102.45
   0.66            8.29                  1.12% , 0.93          487.42 , 438.00          624.96 , 672.00            1164.26 , 1172.00       96.46
   0.67           16.73                  0.80% , 1.16          348.16 , 438.00          779.52 , 672.00            1179.82 , 1172.00      197.36
   0.67            4.42                  0.95% , 1.04          413.44 , 438.00          698.88 , 672.00            1164.18 , 1172.00       51.44
   0.67            4.19                  0.97% , 1.05          422.14 , 438.00          705.60 , 672.00            1179.90 , 1172.00       49.46
   0.67            3.85                  1.08% , 0.98          470.02 , 438.00          658.56 , 672.00            1179.86 , 1172.00       45.46
   0.68            8.34                  1.14% , 0.94          496.13 , 438.00          631.68 , 672.00            1179.98 , 1172.00       98.45
    0.7           10.93                  0.88% , 1.11          382.98 , 438.00          745.92 , 672.00            1180.22 , 1172.00      128.94
    0.7            2.14                  0.98% , 1.02          426.50 , 438.00          685.44 , 672.00            1163.74 , 1172.00       24.94
    0.7           10.57                  1.15% , 0.91          500.48 , 438.00          611.52 , 672.00            1163.82 , 1172.00      122.96
   0.71           14.85                  0.81% , 1.13          352.51 , 438.00          759.36 , 672.00            1163.66 , 1172.00      172.85
   0.71            6.43                  0.94% , 1.07          409.09 , 438.00          719.04 , 672.00            1180.34 , 1172.00       75.95
   0.71            1.61                  1.05% , 1.00          456.96 , 438.00          672.00 , 672.00            1180.30 , 1172.00       18.96
   0.72             6.1                  1.11% , 0.96          483.07 , 438.00          645.12 , 672.00            1180.42 , 1172.00       71.95
   0.74           13.17                  0.85% , 1.13          369.92 , 438.00          759.36 , 672.00            1180.66 , 1172.00      155.44
   0.74            0.13                  1.01% , 1.00          439.55 , 438.00          672.00 , 672.00            1163.30 , 1172.00        1.55
   0.74           12.85                  1.18% , 0.89          513.54 , 438.00          598.08 , 672.00            1163.38 , 1172.00      149.46
   0.75           12.58                  0.84% , 1.11          365.57 , 438.00          745.92 , 672.00            1163.22 , 1172.00      146.35
   0.75            1.64                  1.02% , 1.02          443.90 , 438.00          685.44 , 672.00            1180.74 , 1172.00       19.34
   0.75           11.89                  1.19% , 0.91          517.89 , 438.00          611.52 , 672.00            1180.82 , 1172.00      140.37
   0.78            15.4                  0.82% , 1.15          356.86 , 438.00          772.80 , 672.00            1181.10 , 1172.00      181.94
   0.78            2.88                  0.99% , 1.04          430.85 , 438.00          698.88 , 672.00            1181.18 , 1172.00       34.03
   0.78            2.41                  1.04% , 0.98          452.61 , 438.00          658.56 , 672.00            1162.86 , 1172.00       28.05
   0.79           10.31                  0.87% , 1.09          378.62 , 438.00          732.48 , 672.00            1162.78 , 1172.00      119.86
   0.79            9.64                  1.16% , 0.93          504.83 , 438.00          624.96 , 672.00            1181.26 , 1172.00      113.87
   0.82            8.03                  0.90% , 1.07          391.68 , 438.00          719.04 , 672.00            1162.34 , 1172.00       93.36
   0.82            5.12                  0.96% , 1.06          417.79 , 438.00          712.32 , 672.00            1181.62 , 1172.00       60.53
   0.82            4.69                  1.07% , 0.96          465.66 , 438.00          645.12 , 672.00            1162.42 , 1172.00       54.54
   0.83            7.39                  1.13% , 0.95          491.78 , 438.00          638.40 , 672.00            1181.70 , 1172.00       87.38
   0.85            6.97                  1.10% , 0.94          478.72 , 438.00          631.68 , 672.00            1161.98 , 1172.00       81.04
   0.86            5.75                  0.93% , 1.05          404.74 , 438.00          705.60 , 672.00            1161.90 , 1172.00       66.86
   0.86            7.36                  0.93% , 1.08          404.74 , 438.00          725.76 , 672.00            1182.06 , 1172.00       87.02
   0.87            5.15                  1.10% , 0.97          478.72 , 438.00          651.84 , 672.00            1182.14 , 1172.00       60.88
   0.89            9.26                  1.13% , 0.92          491.78 , 438.00          618.24 , 672.00            1161.54 , 1172.00      107.54
    0.9             9.6                  0.90% , 1.10          391.68 , 438.00          739.20 , 672.00            1182.50 , 1172.00      113.52
    0.9            3.48                  0.96% , 1.03          417.79 , 438.00          692.16 , 672.00            1161.46 , 1172.00       40.37
    0.9            2.91                  1.07% , 0.99          465.66 , 438.00          665.28 , 672.00            1182.58 , 1172.00       34.38
