Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.01            5.07                  0.90% , 0.93        1566.72 , 1638.00          624.96 , 667.00            2237.21 , 2237.00      113.32
   0.01            6.49                  0.95% , 0.80        1653.76 , 1638.00          537.60 , 667.00            2236.85 , 2237.00      145.16
   0.03             9.1                  0.85% , 1.06        1479.68 , 1638.00          712.32 , 667.00            2237.57 , 2237.00      203.64
   0.04           16.89                  0.80% , 1.19        1392.64 , 1638.00          799.68 , 667.00            2237.93 , 2237.00      378.04
   0.04           12.17                  0.83% , 1.11        1444.86 , 1638.00          745.92 , 667.00            2236.17 , 2237.00      272.06
   0.05            5.12                  0.88% , 0.98        1531.90 , 1638.00          658.56 , 667.00            2235.81 , 2237.00      114.54
   0.07            7.43                  0.86% , 1.03        1497.09 , 1638.00          692.16 , 667.00            2235.41 , 2237.00      166.07
   0.07            5.01                  0.92% , 0.88        1601.54 , 1638.00          591.36 , 667.00            2238.61 , 2237.00       112.1
   0.07            5.14                  0.93% , 0.85        1618.94 , 1638.00          571.20 , 667.00            2235.45 , 2237.00      114.86
   0.09            6.04                  0.87% , 1.01        1514.50 , 1638.00          678.72 , 667.00            2238.97 , 2237.00      135.22
   0.09            5.19                  0.91% , 0.90        1584.13 , 1638.00          604.80 , 667.00            2235.05 , 2237.00      116.07
    0.1           15.24                  0.81% , 1.16        1410.05 , 1638.00          779.52 , 667.00            2234.77 , 2237.00      340.47
    0.1           13.83                  0.82% , 1.14        1427.46 , 1638.00          766.08 , 667.00            2239.33 , 2237.00      309.62
   0.13            10.5                  0.84% , 1.08        1462.27 , 1638.00          725.76 , 667.00            2234.01 , 2237.00      234.49
   0.13            4.95                  0.94% , 0.83        1636.35 , 1638.00          557.76 , 667.00            2240.01 , 2237.00      110.89
   0.15            4.94                  0.89% , 0.96        1549.31 , 1638.00          645.12 , 667.00            2240.37 , 2237.00      110.57
   0.15            5.25                  0.89% , 0.95        1549.31 , 1638.00          638.40 , 667.00            2233.65 , 2237.00      117.29
   0.17           10.76                  0.84% , 1.09        1462.27 , 1638.00          732.48 , 667.00            2240.73 , 2237.00      241.21
   0.17            5.27                  0.94% , 0.82        1636.35 , 1638.00          551.04 , 667.00            2233.29 , 2237.00      117.61
    0.2           15.49                  0.81% , 1.17        1410.05 , 1638.00          786.24 , 667.00            2241.49 , 2237.00      347.19
    0.2           13.57                  0.82% , 1.13        1427.46 , 1638.00          759.36 , 667.00            2232.61 , 2237.00       302.9
   0.21            5.76                  0.87% , 1.00        1514.50 , 1638.00          672.00 , 667.00            2232.25 , 2237.00       128.5
   0.21            4.88                  0.91% , 0.91        1584.13 , 1638.00          611.52 , 667.00            2241.77 , 2237.00      109.35
   0.23            7.71                  0.86% , 1.04        1497.09 , 1638.00          698.88 , 667.00            2242.13 , 2237.00      172.79
   0.23            5.32                  0.92% , 0.87        1601.54 , 1638.00          584.64 , 667.00            2231.89 , 2237.00      118.82
