Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.0            9.52                  1.04% , 1.03          905.22 , 809.00          173.04 , 184.00            1126.01 , 1126.00      107.18
   0.02           12.55                  1.06% , 0.93          922.62 , 809.00          156.24 , 184.00            1126.21 , 1126.00      141.38
   0.03           11.04                  1.05% , 0.98          913.92 , 809.00          164.64 , 184.00            1125.61 , 1126.00      124.28
   0.04            7.66                  1.02% , 1.14          887.81 , 809.00          191.52 , 184.00            1126.49 , 1126.00       86.33
   0.04           15.59                  1.08% , 0.83          940.03 , 809.00          139.44 , 184.00            1126.41 , 1126.00      175.59
   0.05             8.0                  1.03% , 1.08          896.51 , 809.00          181.44 , 184.00            1125.41 , 1126.00       90.07
   0.07             7.5                  1.01% , 1.18          879.10 , 809.00          198.24 , 184.00            1125.21 , 1126.00       84.34
   0.07           14.07                  1.07% , 0.88          931.33 , 809.00          147.84 , 184.00            1126.81 , 1126.00      158.49
   0.08            7.63                  1.01% , 1.19          879.10 , 809.00          199.92 , 184.00            1126.89 , 1126.00       86.02
   0.08           14.24                  1.07% , 0.87          931.33 , 809.00          146.16 , 184.00            1125.13 , 1126.00      160.17
    0.1            7.84                  1.03% , 1.09          896.51 , 809.00          183.12 , 184.00            1127.09 , 1126.00       88.39
   0.11            7.53                  1.02% , 1.13          887.81 , 809.00          189.84 , 184.00            1124.81 , 1126.00       84.65
   0.11           10.88                  1.05% , 0.99          913.92 , 809.00          166.32 , 184.00            1127.29 , 1126.00       122.6
   0.11           15.76                  1.08% , 0.82          940.03 , 809.00          137.76 , 184.00            1124.73 , 1126.00      177.27
   0.13           12.72                  1.06% , 0.92          922.62 , 809.00          154.56 , 184.00            1124.53 , 1126.00      143.06
   0.15            9.68                  1.04% , 1.02          905.22 , 809.00          171.36 , 184.00            1124.33 , 1126.00      108.86
   0.15            9.36                  1.04% , 1.04          905.22 , 809.00          174.72 , 184.00            1127.69 , 1126.00       105.5
   0.17           12.39                  1.06% , 0.94          922.62 , 809.00          157.92 , 184.00            1127.89 , 1126.00       139.7
   0.18           11.21                  1.05% , 0.97          913.92 , 809.00          162.96 , 184.00            1123.93 , 1126.00      125.96
   0.19             7.8                  1.02% , 1.15          887.81 , 809.00          193.20 , 184.00            1128.17 , 1126.00       88.01
   0.19           15.42                  1.08% , 0.84          940.03 , 809.00          141.12 , 184.00            1128.09 , 1126.00      173.91
    0.2            8.16                  1.03% , 1.07          896.51 , 809.00          179.76 , 184.00            1123.73 , 1126.00       91.75
   0.22            7.36                  1.01% , 1.17          879.10 , 809.00          196.56 , 184.00            1123.53 , 1126.00       82.66
   0.22            13.9                  1.07% , 0.89          931.33 , 809.00          149.52 , 184.00            1128.49 , 1126.00      156.81
   0.23           14.41                  1.07% , 0.86          931.33 , 809.00          144.48 , 184.00            1123.45 , 1126.00      161.85
   0.25            7.82                  1.03% , 1.10          896.51 , 809.00          184.80 , 184.00            1128.77 , 1126.00       88.31
   0.26            7.39                  1.02% , 1.12          887.81 , 809.00          188.16 , 184.00            1123.13 , 1126.00       82.97
   0.26           10.71                  1.05% , 1.00          913.92 , 809.00          168.00 , 184.00            1128.97 , 1126.00      120.92
   0.26           15.93                  1.08% , 0.81          940.03 , 809.00          136.08 , 184.00            1123.05 , 1126.00      178.95
   0.28           12.89                  1.06% , 0.91          922.62 , 809.00          152.88 , 184.00            1122.85 , 1126.00      144.74
    0.3            9.85                  1.04% , 1.01          905.22 , 809.00          169.68 , 184.00            1122.65 , 1126.00      110.54
    0.3            9.19                  1.04% , 1.05          905.22 , 809.00          176.40 , 184.00            1129.37 , 1126.00      103.82
   0.32           12.22                  1.06% , 0.95          922.62 , 809.00          159.60 , 184.00            1129.57 , 1126.00      138.02
   0.33           11.37                  1.05% , 0.96          913.92 , 809.00          161.28 , 184.00            1122.25 , 1126.00      127.64
   0.33           15.24                  1.08% , 0.85          940.03 , 809.00          142.80 , 184.00            1129.77 , 1126.00      172.23
   0.34            7.94                  1.02% , 1.16          887.81 , 809.00          194.88 , 184.00            1129.85 , 1126.00       89.69
   0.35            8.33                  1.03% , 1.06          896.51 , 809.00          178.08 , 184.00            1122.05 , 1126.00       93.43
   0.37            7.22                  1.01% , 1.16          879.10 , 809.00          194.88 , 184.00            1121.85 , 1126.00       80.98
   0.37           13.73                  1.07% , 0.90          931.33 , 809.00          151.20 , 184.00            1130.17 , 1126.00      155.13
   0.38           14.58                  1.07% , 0.85          931.33 , 809.00          142.80 , 184.00            1121.77 , 1126.00      163.53
   0.39           16.75                  1.09% , 0.80          948.74 , 809.00          134.40 , 184.00            1130.37 , 1126.00      189.34
    0.4            7.25                  1.02% , 1.11          887.81 , 809.00          186.48 , 184.00            1121.45 , 1126.00       81.29
    0.4            7.96                  1.03% , 1.11          896.51 , 809.00          186.48 , 184.00            1130.45 , 1126.00       89.99
   0.41           10.55                  1.05% , 1.01          913.92 , 809.00          169.68 , 184.00            1130.65 , 1126.00      119.24
   0.41           16.11                  1.08% , 0.80          940.03 , 809.00          134.40 , 184.00            1121.37 , 1126.00      180.63
   0.43           13.06                  1.06% , 0.90          922.62 , 809.00          151.20 , 184.00            1121.17 , 1126.00      146.42
   0.45           10.01                  1.04% , 1.00          905.22 , 809.00          168.00 , 184.00            1120.97 , 1126.00      112.22
   0.45            9.03                  1.04% , 1.06          905.22 , 809.00          178.08 , 184.00            1131.05 , 1126.00      102.14
   0.47           12.05                  1.06% , 0.96          922.62 , 809.00          161.28 , 184.00            1131.25 , 1126.00      136.34
   0.48           11.54                  1.05% , 0.95          913.92 , 809.00          159.60 , 184.00            1120.57 , 1126.00      129.32
   0.48           15.07                  1.08% , 0.86          940.03 , 809.00          144.48 , 184.00            1131.45 , 1126.00      170.55
   0.49            8.07                  1.02% , 1.17          887.81 , 809.00          196.56 , 184.00            1131.53 , 1126.00       91.37
    0.5            8.49                  1.03% , 1.05          896.51 , 809.00          176.40 , 184.00            1120.37 , 1126.00       95.11
   0.52            7.08                  1.01% , 1.15          879.10 , 809.00          193.20 , 184.00            1120.17 , 1126.00        79.3
   0.52           13.56                  1.07% , 0.91          931.33 , 809.00          152.88 , 184.00            1131.85 , 1126.00      153.45
   0.53           14.75                  1.07% , 0.84          931.33 , 809.00          141.12 , 184.00            1120.09 , 1126.00      165.21
   0.54             8.1                  1.03% , 1.12          896.51 , 809.00          188.16 , 184.00            1132.13 , 1126.00       91.67
   0.54           16.58                  1.09% , 0.81          948.74 , 809.00          136.08 , 184.00            1132.05 , 1126.00      187.66
   0.55            7.11                  1.02% , 1.10          887.81 , 809.00          184.80 , 184.00            1119.77 , 1126.00       79.61
   0.56           10.38                  1.05% , 1.02          913.92 , 809.00          171.36 , 184.00            1132.33 , 1126.00      117.56
