Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.5            6.71                  1.00% , 0.92          870.40 , 821.00          309.12 , 342.00            1227.11 , 1221.00       82.28
   0.51            6.33                  0.99% , 0.91          861.70 , 821.00          305.76 , 342.00            1214.75 , 1221.00       76.94
   0.52            9.49                  1.02% , 0.87          887.81 , 821.00          292.32 , 342.00            1227.31 , 1221.00      116.49
   0.53             7.5                  0.90% , 1.18          783.36 , 821.00          396.48 , 342.00            1227.47 , 1221.00       92.12
   0.53            3.52                  0.97% , 0.96          844.29 , 821.00          322.56 , 342.00            1214.55 , 1221.00       42.73
   0.55            3.66                  0.92% , 1.09          800.77 , 821.00          366.24 , 342.00            1214.23 , 1221.00       44.47
   0.55            4.72                  0.92% , 1.13          800.77 , 821.00          379.68 , 342.00            1227.67 , 1221.00       57.91
   0.57            6.48                  0.90% , 1.14          783.36 , 821.00          383.04 , 342.00            1214.03 , 1221.00       78.68
   0.57            2.39                  0.97% , 1.00          844.29 , 821.00          336.00 , 342.00            1227.99 , 1221.00       29.29
   0.58            10.7                  1.02% , 0.83          887.81 , 821.00          278.88 , 342.00            1213.87 , 1221.00      129.93
   0.59            5.17                  0.99% , 0.95          861.70 , 821.00          319.20 , 342.00            1228.19 , 1221.00        63.5
    0.6            7.89                  1.00% , 0.88          870.40 , 821.00          295.68 , 342.00            1213.67 , 1221.00       95.72
   0.62           12.27                  1.04% , 0.82          905.22 , 821.00          275.52 , 342.00            1228.51 , 1221.00       150.7
   0.63             0.7                  0.95% , 1.01          826.88 , 821.00          339.36 , 342.00            1213.35 , 1221.00        8.52
   0.64            2.12                  0.93% , 1.06          809.47 , 821.00          356.16 , 342.00            1213.15 , 1221.00       25.69
   0.64            1.93                  0.94% , 1.08          818.18 , 821.00          362.88 , 342.00            1228.87 , 1221.00        23.7
   0.66            4.94                  0.91% , 1.11          792.06 , 821.00          372.96 , 342.00            1212.95 , 1221.00        59.9
   0.66            1.52                  0.96% , 1.03          835.58 , 821.00          346.08 , 342.00            1229.07 , 1221.00       18.66
   0.67            9.31                  0.88% , 1.19          765.95 , 821.00          399.84 , 342.00            1212.83 , 1221.00      112.89
   0.67           12.26                  1.03% , 0.80          896.51 , 821.00          268.80 , 342.00            1212.79 , 1221.00      148.71
   0.68            3.64                  0.98% , 0.98          852.99 , 821.00          329.28 , 342.00            1229.27 , 1221.00       44.71
   0.69            9.44                  1.01% , 0.85          879.10 , 821.00          285.60 , 342.00            1212.59 , 1221.00       114.5
   0.69            7.95                  1.01% , 0.90          879.10 , 821.00          302.40 , 342.00            1229.39 , 1221.00        97.7
    0.7            5.07                  0.98% , 0.93          852.99 , 821.00          312.48 , 342.00            1212.47 , 1221.00       61.51
    0.7           10.73                  1.03% , 0.85          896.51 , 821.00          285.60 , 342.00            1229.59 , 1221.00      131.91
   0.71            2.25                  0.96% , 0.98          835.58 , 821.00          329.28 , 342.00            1212.27 , 1221.00        27.3
   0.72            6.24                  0.91% , 1.16          792.06 , 821.00          389.76 , 342.00            1229.75 , 1221.00        76.7
   0.72           13.51                  1.05% , 0.80          913.92 , 821.00          268.80 , 342.00            1229.79 , 1221.00      166.12
   0.73            3.45                  0.93% , 1.11          809.47 , 821.00          372.96 , 342.00            1229.95 , 1221.00       42.49
   0.73            0.57                  0.94% , 1.03          818.18 , 821.00          346.08 , 342.00            1212.07 , 1221.00         6.9
   0.75            1.63                  0.95% , 1.06          826.88 , 821.00          356.16 , 342.00            1230.15 , 1221.00       20.04
   0.76            7.77                  0.89% , 1.16          774.66 , 821.00          389.76 , 342.00            1211.75 , 1221.00        94.1
   0.78            6.41                  1.00% , 0.93          870.40 , 821.00          312.48 , 342.00            1230.47 , 1221.00       78.92
   0.79            6.63                  0.99% , 0.90          861.70 , 821.00          302.40 , 342.00            1211.39 , 1221.00        80.3
   0.79            9.19                  1.02% , 0.88          887.81 , 821.00          295.68 , 342.00            1230.67 , 1221.00      113.13
    0.8            3.81                  0.97% , 0.95          844.29 , 821.00          319.20 , 342.00            1211.19 , 1221.00       46.09
   0.81            7.76                  0.90% , 1.19          783.36 , 821.00          399.84 , 342.00            1230.83 , 1221.00       95.48
   0.82            4.98                  0.92% , 1.14          800.77 , 821.00          383.04 , 342.00            1231.03 , 1221.00       61.27
   0.83             3.4                  0.92% , 1.08          800.77 , 821.00          362.88 , 342.00            1210.87 , 1221.00       41.11
