Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.0           18.14                  1.14% , 0.80          496.13 , 425.00          134.40 , 187.00              682.03 , 682.00      123.73
   0.01           10.37                  1.08% , 0.96          470.02 , 425.00          161.28 , 187.00              681.91 , 682.00       70.74
   0.01           16.76                  1.13% , 0.83          491.78 , 425.00          139.44 , 187.00              682.07 , 682.00      114.34
   0.02             2.8                  1.01% , 1.14          439.55 , 425.00          191.52 , 187.00              682.15 , 682.00       19.07
   0.02           11.75                  1.09% , 0.93          474.37 , 425.00          156.24 , 187.00              681.87 , 682.00       80.13
   0.04            5.36                  1.04% , 1.06          452.61 , 425.00          178.08 , 187.00              681.71 , 682.00       36.53
   0.05            6.48                  1.05% , 1.04          456.96 , 425.00          174.72 , 187.00              682.35 , 682.00       44.24
   0.05            7.86                  1.06% , 1.01          461.31 , 425.00          169.68 , 187.00              682.31 , 682.00       53.63
   0.07            2.75                  0.99% , 1.19          430.85 , 425.00          199.92 , 187.00              681.55 , 682.00       18.77
   0.07            2.65                  1.00% , 1.16          435.20 , 425.00          194.88 , 187.00              681.51 , 682.00       18.08
   0.07           14.25                  1.11% , 0.88          483.07 , 425.00          147.84 , 187.00              682.47 , 682.00       97.23
   0.08           12.87                  1.10% , 0.91          478.72 , 425.00          152.88 , 187.00              682.51 , 682.00       87.84
   0.08           15.65                  1.12% , 0.85          487.42 , 425.00          142.80 , 187.00              681.43 , 682.00      106.62
   0.11            3.97                  1.03% , 1.09          448.26 , 425.00          183.12 , 187.00              682.75 , 682.00       27.14
   0.11            9.25                  1.07% , 0.98          465.66 , 425.00          164.64 , 187.00              681.27 , 682.00       63.02
   0.12            2.94                  1.02% , 1.12          443.90 , 425.00          188.16 , 187.00              682.79 , 682.00       20.06
   0.13            2.85                  1.02% , 1.11          443.90 , 425.00          186.48 , 187.00              681.11 , 682.00       19.42
   0.14            4.23                  1.03% , 1.08          448.26 , 425.00          181.44 , 187.00              681.07 , 682.00       28.82
   0.14            8.98                  1.07% , 0.99          465.66 , 425.00          166.32 , 187.00              682.95 , 682.00       61.34
   0.16           15.36                  1.12% , 0.86          487.42 , 425.00          144.48 , 187.00              683.11 , 682.00      104.94
   0.17           13.15                  1.10% , 0.90          478.72 , 425.00          151.20 , 187.00              680.83 , 682.00       89.52
   0.18            2.89                  1.00% , 1.17          435.20 , 425.00          196.56 , 187.00              683.19 , 682.00       19.76
   0.18           14.53                  1.11% , 0.87          483.07 , 425.00          146.16 , 187.00              680.79 , 682.00       98.91
   0.19            6.75                  1.05% , 1.03          456.96 , 425.00          173.04 , 187.00              680.67 , 682.00       45.92
    0.2             5.1                  1.04% , 1.07          452.61 , 425.00          179.76 , 187.00              683.39 , 682.00       34.85
    0.2            8.13                  1.06% , 1.00          461.31 , 425.00          168.00 , 187.00              680.63 , 682.00       55.31
   0.22            2.56                  1.01% , 1.13          439.55 , 425.00          189.84 , 187.00              680.47 , 682.00       17.39
   0.23            10.1                  1.08% , 0.97          470.02 , 425.00          162.96 , 187.00              683.59 , 682.00       69.06
   0.23           11.48                  1.09% , 0.94          474.37 , 425.00          157.92 , 187.00              683.55 , 682.00       78.45
   0.24           17.05                  1.13% , 0.82          491.78 , 425.00          137.76 , 187.00              680.39 , 682.00      116.02
   0.25           17.85                  1.14% , 0.81          496.13 , 425.00          136.08 , 187.00              683.71 , 682.00      122.05
   0.26           10.65                  1.08% , 0.95          470.02 , 425.00          159.60 , 187.00              680.23 , 682.00       72.42
   0.26           12.03                  1.09% , 0.92          474.37 , 425.00          154.56 , 187.00              680.19 , 682.00       81.81
   0.26           16.48                  1.13% , 0.84          491.78 , 425.00          141.12 , 187.00              683.75 , 682.00      112.66
   0.27            3.03                  1.01% , 1.15          439.55 , 425.00          193.20 , 187.00              683.83 , 682.00       20.75
   0.29            5.62                  1.04% , 1.05          452.61 , 425.00          176.40 , 187.00              680.03 , 682.00       38.21
   0.29             7.6                  1.06% , 1.02          461.31 , 425.00          171.36 , 187.00              683.99 , 682.00       51.95
    0.3            6.22                  1.05% , 1.05          456.96 , 425.00          176.40 , 187.00              684.03 , 682.00       42.56
   0.31            2.51                  0.99% , 1.18          430.85 , 425.00          198.24 , 187.00              679.87 , 682.00       17.09
   0.32            2.41                  1.00% , 1.15          435.20 , 425.00          193.20 , 187.00              679.83 , 682.00        16.4
   0.32           12.59                  1.10% , 0.92          478.72 , 425.00          154.56 , 187.00              684.19 , 682.00       86.16
   0.32           13.97                  1.11% , 0.89          483.07 , 425.00          149.52 , 187.00              684.15 , 682.00       95.55
   0.33           15.93                  1.12% , 0.84          487.42 , 425.00          141.12 , 187.00              679.75 , 682.00       108.3
   0.35            9.52                  1.07% , 0.97          465.66 , 425.00          162.96 , 187.00              679.59 , 682.00        64.7
   0.36            3.18                  1.02% , 1.13          443.90 , 425.00          189.84 , 187.00              684.47 , 682.00       21.74
   0.36            3.72                  1.03% , 1.10          448.26 , 425.00          184.80 , 187.00              684.43 , 682.00       25.46
   0.38            3.11                  1.02% , 1.10          443.90 , 425.00          184.80 , 187.00              679.43 , 682.00        21.1
   0.38            4.49                  1.03% , 1.07          448.26 , 425.00          179.76 , 187.00              679.39 , 682.00        30.5
   0.39            8.71                  1.07% , 1.00          465.66 , 425.00          168.00 , 187.00              684.63 , 682.00       59.66
   0.41           15.08                  1.12% , 0.87          487.42 , 425.00          146.16 , 187.00              684.79 , 682.00      103.26
   0.42            3.13                  1.00% , 1.18          435.20 , 425.00          198.24 , 187.00              684.87 , 682.00       21.44
   0.42           13.43                  1.10% , 0.89          478.72 , 425.00          149.52 , 187.00              679.15 , 682.00        91.2
   0.42           14.81                  1.11% , 0.86          483.07 , 425.00          144.48 , 187.00              679.11 , 682.00      100.59
   0.44            7.01                  1.05% , 1.02          456.96 , 425.00          171.36 , 187.00              678.99 , 682.00        47.6
   0.45            4.84                  1.04% , 1.08          452.61 , 425.00          181.44 , 187.00              685.07 , 682.00       33.17
   0.45            8.39                  1.06% , 0.99          461.31 , 425.00          166.32 , 187.00              678.95 , 682.00       56.99
   0.47            2.31                  1.01% , 1.12          439.55 , 425.00          188.16 , 187.00              678.79 , 682.00       15.71
   0.47            11.2                  1.09% , 0.95          474.37 , 425.00          159.60 , 187.00              685.23 , 682.00       76.77
   0.48            9.83                  1.08% , 0.98          470.02 , 425.00          164.64 , 187.00              685.27 , 682.00       67.38
   0.48           17.34                  1.13% , 0.81          491.78 , 425.00          136.08 , 187.00              678.71 , 682.00       117.7
    0.5           16.19                  1.13% , 0.85          491.78 , 425.00          142.80 , 187.00              685.43 , 682.00      110.98
    0.5           17.56                  1.14% , 0.82          496.13 , 425.00          137.76 , 187.00              685.39 , 682.00      120.37
   0.51           10.92                  1.08% , 0.94          470.02 , 425.00          157.92 , 187.00              678.55 , 682.00        74.1
   0.51            12.3                  1.09% , 0.91          474.37 , 425.00          152.88 , 187.00              678.51 , 682.00       83.49
   0.52            3.27                  1.01% , 1.16          439.55 , 425.00          194.88 , 187.00              685.51 , 682.00       22.43
   0.53            5.88                  1.04% , 1.04          452.61 , 425.00          174.72 , 187.00              678.35 , 682.00       39.89
   0.54            5.96                  1.05% , 1.06          456.96 , 425.00          178.08 , 187.00              685.71 , 682.00       40.88
   0.54            7.33                  1.06% , 1.03          461.31 , 425.00          173.04 , 187.00              685.67 , 682.00       50.27
   0.56            2.27                  0.99% , 1.17          430.85 , 425.00          196.56 , 187.00              678.19 , 682.00       15.41
   0.56            2.17                  1.00% , 1.14          435.20 , 425.00          191.52 , 187.00              678.15 , 682.00       14.72
   0.56           13.69                  1.11% , 0.90          483.07 , 425.00          151.20 , 187.00              685.83 , 682.00       93.87
   0.57           12.32                  1.10% , 0.93          478.72 , 425.00          156.24 , 187.00              685.87 , 682.00       84.48
   0.58           16.22                  1.12% , 0.83          487.42 , 425.00          139.44 , 187.00              678.07 , 682.00      109.98
   0.59           18.67                  1.15% , 0.80          500.48 , 425.00          134.40 , 187.00              686.03 , 682.00      128.08
    0.6            3.47                  1.03% , 1.11          448.26 , 425.00          186.48 , 187.00              686.11 , 682.00       23.78
    0.6            9.79                  1.07% , 0.96          465.66 , 425.00          161.28 , 187.00              677.91 , 682.00       66.38
   0.61            3.41                  1.02% , 1.14          443.90 , 425.00          191.52 , 187.00              686.15 , 682.00       23.42
   0.62            3.36                  1.02% , 1.09          443.90 , 425.00          183.12 , 187.00              677.75 , 682.00       22.78
   0.63            4.75                  1.03% , 1.06          448.26 , 425.00          178.08 , 187.00              677.71 , 682.00       32.18
   0.63            8.45                  1.07% , 1.01          465.66 , 425.00          169.68 , 187.00              686.31 , 682.00       57.98
   0.65            2.13                  0.98% , 1.19          426.50 , 425.00          199.92 , 187.00              677.55 , 682.00       14.42
   0.66           13.71                  1.10% , 0.88          478.72 , 425.00          147.84 , 187.00              677.47 , 682.00       92.88
   0.66            14.8                  1.12% , 0.88          487.42 , 425.00          147.84 , 187.00              686.47 , 682.00      101.58
   0.67            3.37                  1.00% , 1.19          435.20 , 425.00          199.92 , 187.00              686.55 , 682.00       23.12
   0.67            15.1                  1.11% , 0.85          483.07 , 425.00          142.80 , 187.00              677.43 , 682.00      102.27
   0.69            7.28                  1.05% , 1.01          456.96 , 425.00          169.68 , 187.00              677.31 , 682.00       49.28
   0.69            8.66                  1.06% , 0.98          461.31 , 425.00          164.64 , 187.00              677.27 , 682.00       58.67
    0.7            4.59                  1.04% , 1.09          452.61 , 425.00          183.12 , 187.00              686.75 , 682.00       31.49
   0.72            2.23                  1.01% , 1.11          439.55 , 425.00          186.48 , 187.00              677.11 , 682.00       15.07
   0.72           10.93                  1.09% , 0.96          474.37 , 425.00          161.28 , 187.00              686.91 , 682.00       75.09
   0.73            9.56                  1.08% , 0.99          470.02 , 425.00          166.32 , 187.00              686.95 , 682.00        65.7
   0.73           17.63                  1.13% , 0.80          491.78 , 425.00          134.40 , 187.00              677.03 , 682.00      119.38
   0.74           17.27                  1.14% , 0.83          496.13 , 425.00          139.44 , 187.00              687.07 , 682.00      118.69
   0.75           11.19                  1.08% , 0.93          470.02 , 425.00          156.24 , 187.00              676.87 , 682.00       75.78
   0.75           15.91                  1.13% , 0.86          491.78 , 425.00          144.48 , 187.00              687.11 , 682.00       109.3
   0.76            3.51                  1.01% , 1.17          439.55 , 425.00          196.56 , 187.00              687.19 , 682.00       24.11
   0.76           12.58                  1.09% , 0.90          474.37 , 425.00          151.20 , 187.00              676.83 , 682.00       85.17
   0.78            6.14                  1.04% , 1.03          452.61 , 425.00          173.04 , 187.00              676.67 , 682.00       41.57
   0.78            7.07                  1.06% , 1.04          461.31 , 425.00          174.72 , 187.00              687.35 , 682.00       48.59
   0.79             5.7                  1.05% , 1.07          456.96 , 425.00          179.76 , 187.00              687.39 , 682.00        39.2
    0.8            2.03                  0.99% , 1.16          430.85 , 425.00          194.88 , 187.00              676.51 , 682.00       13.73
   0.81            1.93                  1.00% , 1.13          435.20 , 425.00          189.84 , 187.00              676.47 , 682.00       13.04
   0.81           12.04                  1.10% , 0.94          478.72 , 425.00          157.92 , 187.00              687.55 , 682.00        82.8
   0.81           13.41                  1.11% , 0.91          483.07 , 425.00          152.88 , 187.00              687.51 , 682.00       92.19
   0.82           16.51                  1.12% , 0.82          487.42 , 425.00          137.76 , 187.00              676.39 , 682.00      111.66
   0.84           18.38                  1.15% , 0.81          500.48 , 425.00          136.08 , 187.00              687.71 , 682.00       126.4
   0.85            3.55                  1.03% , 1.12          448.26 , 425.00          188.16 , 187.00              687.79 , 682.00       24.42
   0.85           10.07                  1.07% , 0.95          465.66 , 425.00          159.60 , 187.00              676.23 , 682.00       68.06
   0.86            3.65                  1.02% , 1.15          443.90 , 425.00          193.20 , 187.00              687.83 , 682.00        25.1
   0.87            3.62                  1.02% , 1.08          443.90 , 425.00          181.44 , 187.00              676.07 , 682.00       24.46
   0.87            5.01                  1.03% , 1.05          448.26 , 425.00          176.40 , 187.00              676.03 , 682.00       33.86
   0.88            8.18                  1.07% , 1.02          465.66 , 425.00          171.36 , 187.00              687.99 , 682.00        56.3
    0.9            1.88                  0.98% , 1.18          426.50 , 425.00          198.24 , 187.00              675.87 , 682.00       12.74
    0.9           14.52                  1.12% , 0.89          487.42 , 425.00          149.52 , 187.00              688.15 , 682.00        99.9
   0.91           13.99                  1.10% , 0.87          478.72 , 425.00          146.16 , 187.00              675.79 , 682.00       94.56
   0.92           15.38                  1.11% , 0.84          483.07 , 425.00          141.12 , 187.00              675.75 , 682.00      103.95
   0.93            7.54                  1.05% , 1.00          456.96 , 425.00          168.00 , 187.00              675.63 , 682.00       50.96
   0.94            4.33                  1.04% , 1.10          452.61 , 425.00          184.80 , 187.00              688.43 , 682.00       29.81
   0.94            8.93                  1.06% , 0.97          461.31 , 425.00          162.96 , 187.00              675.59 , 682.00       60.35
   0.96            2.48                  1.01% , 1.10          439.55 , 425.00          184.80 , 187.00              675.43 , 682.00       16.75
   0.97             9.3                  1.08% , 1.00          470.02 , 425.00          168.00 , 187.00              688.63 , 682.00       64.02
   0.97           10.66                  1.09% , 0.97          474.37 , 425.00          162.96 , 187.00              688.59 , 682.00       73.41
   0.99           16.99                  1.14% , 0.84          496.13 , 425.00          141.12 , 187.00              688.75 , 682.00      117.01
    1.0           11.47                  1.08% , 0.92          470.02 , 425.00          154.56 , 187.00              675.19 , 682.00       77.46
    1.0           12.86                  1.09% , 0.89          474.37 , 425.00          149.52 , 187.00              675.15 , 682.00       86.85
    1.0           15.62                  1.13% , 0.87          491.78 , 425.00          146.16 , 187.00              688.79 , 682.00      107.62
   1.01            3.74                  1.01% , 1.18          439.55 , 425.00          198.24 , 187.00              688.87 , 682.00       25.79
   1.03            6.41                  1.04% , 1.02          452.61 , 425.00          171.36 , 187.00              674.99 , 682.00       43.25
   1.03            6.81                  1.06% , 1.05          461.31 , 425.00          176.40 , 187.00              689.03 , 682.00       46.91
   1.04            5.44                  1.05% , 1.08          456.96 , 425.00          181.44 , 187.00              689.07 , 682.00       37.52
   1.05            1.79                  0.99% , 1.15          430.85 , 425.00          193.20 , 187.00              674.83 , 682.00       12.05
   1.05           13.13                  1.11% , 0.92          483.07 , 425.00          154.56 , 187.00              689.19 , 682.00       90.51
   1.06            1.68                  1.00% , 1.12          435.20 , 425.00          188.16 , 187.00              674.79 , 682.00       11.36
   1.06           11.77                  1.10% , 0.95          478.72 , 425.00          159.60 , 187.00              689.23 , 682.00       81.12
   1.07            16.8                  1.12% , 0.81          487.42 , 425.00          136.08 , 187.00              674.71 , 682.00      113.34
   1.08           18.09                  1.15% , 0.82          500.48 , 425.00          137.76 , 187.00              689.39 , 682.00      124.72
   1.09           10.34                  1.07% , 0.94          465.66 , 425.00          157.92 , 187.00              674.55 , 682.00       69.74
    1.1            3.88                  1.02% , 1.16          443.90 , 425.00          194.88 , 187.00              689.51 , 682.00       26.78
    1.1            3.78                  1.03% , 1.13          448.26 , 425.00          189.84 , 187.00              689.47 , 682.00        26.1
   1.12            3.88                  1.02% , 1.07          443.90 , 425.00          179.76 , 187.00              674.39 , 682.00       26.14
   1.12            5.27                  1.03% , 1.04          448.26 , 425.00          174.72 , 187.00              674.35 , 682.00       35.54
   1.13            7.92                  1.07% , 1.03          465.66 , 425.00          173.04 , 187.00              689.67 , 682.00       54.62
