Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.0           10.39                  1.06% , 0.88          922.62 , 833.00          591.36 , 664.00            1561.95 , 1562.00      162.26
   0.01            8.55                  0.89% , 1.10          774.66 , 833.00          739.20 , 664.00            1561.79 , 1562.00      133.54
   0.02            1.11                  0.96% , 1.01          835.58 , 833.00          678.72 , 664.00            1562.31 , 1562.00        17.3
   0.04           11.94                  0.86% , 1.14          748.54 , 833.00          766.08 , 664.00            1562.67 , 1562.00      186.54
   0.04            2.62                  0.99% , 0.97          861.70 , 833.00          651.84 , 664.00            1561.43 , 1562.00       40.86
   0.05           16.33                  0.82% , 1.19          713.73 , 833.00          799.68 , 664.00            1561.27 , 1562.00      254.95
   0.05            6.99                  1.03% , 0.92          896.51 , 833.00          618.24 , 664.00            1562.83 , 1562.00      109.27
   0.06           13.79                  1.09% , 0.84          948.74 , 833.00          564.48 , 664.00            1561.07 , 1562.00      215.26
   0.07            5.16                  0.92% , 1.06          800.77 , 833.00          712.32 , 664.00            1560.91 , 1562.00       80.55
   0.08            4.17                  0.93% , 1.05          809.47 , 833.00          705.60 , 664.00            1563.19 , 1562.00       65.13
   0.09            6.01                  1.02% , 0.93          887.81 , 833.00          624.96 , 664.00            1560.55 , 1562.00       93.85
   0.09           14.76                  1.10% , 0.83          957.44 , 833.00          557.76 , 664.00            1563.35 , 1562.00      230.68
    0.1           15.32                  0.83% , 1.18          722.43 , 833.00          792.96 , 664.00            1563.55 , 1562.00      239.53
    0.1           12.94                  0.85% , 1.15          739.84 , 833.00          772.80 , 664.00            1560.39 , 1562.00      201.96
   0.11             3.6                  1.00% , 0.96          870.40 , 833.00          645.12 , 664.00            1563.71 , 1562.00       56.28
   0.12           17.19                  1.12% , 0.80          974.85 , 833.00          537.60 , 664.00            1560.19 , 1562.00      268.25
   0.13            7.55                  0.90% , 1.09          783.36 , 833.00          732.48 , 664.00            1564.07 , 1562.00      118.12
   0.13            1.77                  0.95% , 1.02          826.88 , 833.00          685.44 , 664.00            1560.03 , 1562.00       27.56
   0.14           11.36                  1.07% , 0.87          931.33 , 833.00          584.64 , 664.00            1564.23 , 1562.00      177.69
   0.15            6.15                  0.91% , 1.07          792.06 , 833.00          719.04 , 664.00            1559.63 , 1562.00       95.98
   0.15            9.41                  1.05% , 0.89          913.92 , 833.00          598.08 , 664.00            1559.67 , 1562.00      146.84
   0.16            9.55                  0.88% , 1.11          765.95 , 833.00          745.92 , 664.00            1559.51 , 1562.00      148.97
   0.17            1.23                  0.97% , 1.00          844.29 , 833.00          672.00 , 664.00            1564.59 , 1562.00       19.29
   0.17            5.03                  1.01% , 0.94          879.10 , 833.00          631.68 , 664.00            1559.27 , 1562.00       78.42
   0.18           13.94                  0.84% , 1.16          731.14 , 833.00          779.52 , 664.00            1559.11 , 1562.00      217.38
   0.18            1.63                  0.98% , 0.98          852.99 , 833.00          658.56 , 664.00            1559.15 , 1562.00       25.43
   0.19           10.93                  0.87% , 1.13          757.25 , 833.00          759.36 , 664.00            1564.95 , 1562.00      171.11
    0.2            7.97                  1.04% , 0.91          905.22 , 833.00          611.52 , 664.00            1565.11 , 1562.00       124.7
    0.2           16.22                  1.11% , 0.81          966.14 , 833.00          544.32 , 664.00            1558.91 , 1562.00      252.82
   0.21            2.76                  0.94% , 1.03          818.18 , 833.00          692.16 , 664.00            1558.75 , 1562.00       42.98
   0.21           12.82                  1.08% , 0.85          940.03 , 833.00          571.20 , 664.00            1558.79 , 1562.00      199.83
   0.22            3.18                  0.94% , 1.04          818.18 , 833.00          698.88 , 664.00            1565.47 , 1562.00        49.7
   0.22           12.34                  1.08% , 0.86          940.03 , 833.00          577.92 , 664.00            1565.51 , 1562.00      193.11
   0.23            8.43                  1.04% , 0.90          905.22 , 833.00          604.80 , 664.00            1558.39 , 1562.00      131.42
   0.23           15.72                  1.11% , 0.82          966.14 , 833.00          551.04 , 664.00            1565.63 , 1562.00       246.1
   0.24           10.55                  0.87% , 1.12          757.25 , 833.00          752.64 , 664.00            1558.23 , 1562.00      164.39
   0.25           14.31                  0.84% , 1.17          731.14 , 833.00          786.24 , 664.00            1565.83 , 1562.00       224.1
   0.25            1.36                  0.98% , 0.99          852.99 , 833.00          665.28 , 664.00            1565.87 , 1562.00       21.27
   0.26            0.81                  0.97% , 0.99          844.29 , 833.00          665.28 , 664.00            1557.87 , 1562.00       12.57
   0.26            4.58                  1.01% , 0.95          879.10 , 833.00          638.40 , 664.00            1565.99 , 1562.00        71.7
   0.27            9.94                  0.88% , 1.12          765.95 , 833.00          752.64 , 664.00            1566.23 , 1562.00      155.69
   0.28            6.56                  0.91% , 1.08          792.06 , 833.00          725.76 , 664.00            1566.35 , 1562.00       102.7
   0.28            8.95                  1.05% , 0.90          913.92 , 833.00          604.80 , 664.00            1566.39 , 1562.00      140.12
   0.29           11.84                  1.07% , 0.86          931.33 , 833.00          577.92 , 664.00            1557.51 , 1562.00      184.41
    0.3            7.15                  0.90% , 1.08          783.36 , 833.00          725.76 , 664.00            1557.35 , 1562.00       111.4
    0.3            2.19                  0.95% , 1.03          826.88 , 833.00          692.16 , 664.00            1566.75 , 1562.00       34.28
   0.31           16.69                  1.12% , 0.81          974.85 , 833.00          544.32 , 664.00            1566.91 , 1562.00      261.53
   0.32            4.05                  1.00% , 0.95          870.40 , 833.00          638.40 , 664.00            1556.99 , 1562.00        63.0
   0.33           14.95                  0.83% , 1.17          722.43 , 833.00          786.24 , 664.00            1556.83 , 1562.00      232.81
   0.33           13.32                  0.85% , 1.16          739.84 , 833.00          779.52 , 664.00            1567.11 , 1562.00      208.68
   0.34            5.56                  1.02% , 0.94          887.81 , 833.00          631.68 , 664.00            1567.27 , 1562.00       87.13
   0.34           15.25                  1.10% , 0.82          957.44 , 833.00          551.04 , 664.00            1556.63 , 1562.00       237.4
   0.35            3.75                  0.93% , 1.04          809.47 , 833.00          698.88 , 664.00            1556.47 , 1562.00       58.41
   0.36            5.57                  0.92% , 1.07          800.77 , 833.00          719.04 , 664.00            1567.63 , 1562.00       87.27
   0.37            13.3                  1.09% , 0.85          948.74 , 833.00          571.20 , 664.00            1567.79 , 1562.00      208.54
   0.38            7.45                  1.03% , 0.91          896.51 , 833.00          611.52 , 664.00            1556.11 , 1562.00      115.99
   0.39           11.56                  0.86% , 1.13          748.54 , 833.00          759.36 , 664.00            1555.95 , 1562.00      179.82
   0.39            2.18                  0.99% , 0.98          861.70 , 833.00          658.56 , 664.00            1568.15 , 1562.00       34.14
   0.41            0.68                  0.96% , 1.00          835.58 , 833.00          672.00 , 664.00            1555.59 , 1562.00       10.58
   0.42            8.94                  0.89% , 1.11          774.66 , 833.00          745.92 , 664.00            1568.51 , 1562.00      140.26
   0.43            9.92                  1.06% , 0.89          922.62 , 833.00          598.08 , 664.00            1568.67 , 1562.00      155.54
   0.43           10.87                  1.06% , 0.87          922.62 , 833.00          584.64 , 664.00            1555.23 , 1562.00      168.98
   0.44            8.16                  0.89% , 1.09          774.66 , 833.00          732.48 , 664.00            1555.07 , 1562.00      126.82
   0.45            1.53                  0.96% , 1.02          835.58 , 833.00          685.44 , 664.00            1569.03 , 1562.00       24.02
   0.46           17.65                  1.13% , 0.80          983.55 , 833.00          537.60 , 664.00            1569.19 , 1562.00      276.95
   0.47           12.31                  0.86% , 1.15          748.54 , 833.00          772.80 , 664.00            1569.39 , 1562.00      193.26
   0.47            3.06                  0.99% , 0.96          861.70 , 833.00          645.12 , 664.00            1554.71 , 1562.00       47.58
   0.48           15.97                  0.82% , 1.18          713.73 , 833.00          792.96 , 664.00            1554.55 , 1562.00      248.23
   0.48            6.53                  1.03% , 0.93          896.51 , 833.00          624.96 , 664.00            1569.55 , 1562.00      102.55
   0.49           14.28                  1.09% , 0.83          948.74 , 833.00          557.76 , 664.00            1554.35 , 1562.00      221.98
    0.5            4.75                  0.92% , 1.05          800.77 , 833.00          705.60 , 664.00            1554.19 , 1562.00       73.83
   0.51            4.58                  0.93% , 1.06          809.47 , 833.00          712.32 , 664.00            1569.91 , 1562.00       71.85
   0.52            6.47                  1.02% , 0.92          887.81 , 833.00          618.24 , 664.00            1553.83 , 1562.00      100.57
   0.52           14.26                  1.10% , 0.84          957.44 , 833.00          564.48 , 664.00            1570.07 , 1562.00      223.96
   0.53           15.68                  0.83% , 1.19          722.43 , 833.00          799.68 , 664.00            1570.27 , 1562.00      246.25
   0.53           12.57                  0.85% , 1.14          739.84 , 833.00          766.08 , 664.00            1553.67 , 1562.00      195.24
   0.54            3.16                  1.00% , 0.97          870.40 , 833.00          651.84 , 664.00            1570.43 , 1562.00       49.56
   0.56            7.95                  0.90% , 1.10          783.36 , 833.00          739.20 , 664.00            1570.79 , 1562.00      124.84
   0.56            1.34                  0.95% , 1.01          826.88 , 833.00          678.72 , 664.00            1553.31 , 1562.00       20.84
   0.57           10.88                  1.07% , 0.88          931.33 , 833.00          591.36 , 664.00            1570.95 , 1562.00      170.97
   0.58            5.75                  0.91% , 1.06          792.06 , 833.00          712.32 , 664.00            1552.91 , 1562.00       89.26
   0.58            9.89                  1.05% , 0.88          913.92 , 833.00          591.36 , 664.00            1552.95 , 1562.00      153.56
   0.59            9.16                  0.88% , 1.10          765.95 , 833.00          739.20 , 664.00            1552.79 , 1562.00      142.25
    0.6            1.66                  0.97% , 1.01          844.29 , 833.00          678.72 , 664.00            1571.31 , 1562.00       26.01
    0.6            5.48                  1.01% , 0.93          879.10 , 833.00          624.96 , 664.00            1552.55 , 1562.00       85.14
   0.61            2.07                  0.98% , 0.97          852.99 , 833.00          651.84 , 664.00            1552.43 , 1562.00       32.15
   0.62           16.99                  0.81% , 1.19          705.02 , 833.00          799.68 , 664.00            1552.27 , 1562.00      263.66
   0.62           13.57                  0.84% , 1.15          731.14 , 833.00          772.80 , 664.00            1552.39 , 1562.00      210.66
   0.62           11.31                  0.87% , 1.14          757.25 , 833.00          766.08 , 664.00            1571.67 , 1562.00      177.83
   0.63            7.51                  1.04% , 0.92          905.22 , 833.00          618.24 , 664.00            1571.83 , 1562.00      117.98
   0.63           16.72                  1.11% , 0.80          966.14 , 833.00          537.60 , 664.00            1552.19 , 1562.00      259.54
   0.64            2.34                  0.94% , 1.02          818.18 , 833.00          685.44 , 664.00            1552.03 , 1562.00       36.26
   0.64           13.31                  1.08% , 0.84          940.03 , 833.00          564.48 , 664.00            1552.07 , 1562.00      206.55
   0.65            3.59                  0.94% , 1.05          818.18 , 833.00          705.60 , 664.00            1572.19 , 1562.00       56.42
   0.66             8.9                  1.04% , 0.89          905.22 , 833.00          598.08 , 664.00            1551.67 , 1562.00      138.14
   0.66           11.86                  1.08% , 0.87          940.03 , 833.00          584.64 , 664.00            1572.23 , 1562.00      186.39
   0.66           15.22                  1.11% , 0.83          966.14 , 833.00          557.76 , 664.00            1572.35 , 1562.00      239.38
   0.67           10.16                  0.87% , 1.11          757.25 , 833.00          745.92 , 664.00            1551.51 , 1562.00      157.67
   0.68           14.68                  0.84% , 1.18          731.14 , 833.00          792.96 , 664.00            1572.55 , 1562.00      230.82
   0.68            1.78                  0.98% , 1.00          852.99 , 833.00          672.00 , 664.00            1572.59 , 1562.00       27.99
   0.69            1.08                  0.97% , 0.98          844.29 , 833.00          658.56 , 664.00            1551.15 , 1562.00       16.73
   0.69            4.13                  1.01% , 0.96          879.10 , 833.00          645.12 , 664.00            1572.71 , 1562.00       64.98
    0.7           10.33                  0.88% , 1.13          765.95 , 833.00          759.36 , 664.00            1572.95 , 1562.00      162.41
   0.71            6.96                  0.91% , 1.09          792.06 , 833.00          732.48 , 664.00            1573.07 , 1562.00      109.42
   0.71            8.48                  1.05% , 0.91          913.92 , 833.00          611.52 , 664.00            1573.11 , 1562.00       133.4
   0.72           12.32                  1.07% , 0.85          931.33 , 833.00          571.20 , 664.00            1550.79 , 1562.00      191.13
   0.73            6.75                  0.90% , 1.07          783.36 , 833.00          719.04 , 664.00            1550.63 , 1562.00      104.68
   0.73            2.61                  0.95% , 1.04          826.88 , 833.00          698.88 , 664.00            1573.47 , 1562.00        41.0
   0.74           16.19                  1.12% , 0.82          974.85 , 833.00          551.04 , 664.00            1573.63 , 1562.00      254.81
   0.75             4.5                  1.00% , 0.94          870.40 , 833.00          631.68 , 664.00            1550.27 , 1562.00       69.72
   0.76           14.59                  0.83% , 1.16          722.43 , 833.00          779.52 , 664.00            1550.11 , 1562.00      226.09
   0.76           13.69                  0.85% , 1.17          739.84 , 833.00          786.24 , 664.00            1573.83 , 1562.00       215.4
   0.77            5.11                  1.02% , 0.95          887.81 , 833.00          638.40 , 664.00            1573.99 , 1562.00       80.41
   0.77           15.75                  1.10% , 0.81          957.44 , 833.00          544.32 , 664.00            1549.91 , 1562.00      244.12
   0.78            3.34                  0.93% , 1.03          809.47 , 833.00          692.16 , 664.00            1549.75 , 1562.00       51.69
   0.79            5.97                  0.92% , 1.08          800.77 , 833.00          725.76 , 664.00            1574.35 , 1562.00       93.99
    0.8           12.82                  1.09% , 0.86          948.74 , 833.00          577.92 , 664.00            1574.51 , 1562.00      201.82
   0.81            7.92                  1.03% , 0.90          896.51 , 833.00          604.80 , 664.00            1549.39 , 1562.00      122.71
   0.82           11.17                  0.86% , 1.12          748.54 , 833.00          752.64 , 664.00            1549.23 , 1562.00       173.1
   0.82             1.9                  0.99% , 0.99          861.70 , 833.00          665.28 , 664.00            1574.87 , 1562.00       29.98
   0.84            0.25                  0.96% , 0.99          835.58 , 833.00          665.28 , 664.00            1548.87 , 1562.00        3.86
   0.85            9.33                  0.89% , 1.12          774.66 , 833.00          752.64 , 664.00            1575.23 , 1562.00      146.98
   0.86           11.35                  1.06% , 0.86          922.62 , 833.00          577.92 , 664.00            1548.51 , 1562.00       175.7
   0.86            9.45                  1.06% , 0.90          922.62 , 833.00          604.80 , 664.00            1575.39 , 1562.00      148.82
   0.87            7.76                  0.89% , 1.08          774.66 , 833.00          725.76 , 664.00            1548.35 , 1562.00       120.1
   0.88            1.95                  0.96% , 1.03          835.58 , 833.00          692.16 , 664.00            1575.75 , 1562.00       30.74
   0.89           17.15                  1.13% , 0.81          983.55 , 833.00          544.32 , 664.00            1575.91 , 1562.00      270.23
    0.9           12.69                  0.86% , 1.16          748.54 , 833.00          779.52 , 664.00            1576.11 , 1562.00      199.98
    0.9            3.51                  0.99% , 0.95          861.70 , 833.00          638.40 , 664.00            1547.99 , 1562.00        54.3
   0.91            15.6                  0.82% , 1.17          713.73 , 833.00          786.24 , 664.00            1547.83 , 1562.00      241.51
   0.91            6.08                  1.03% , 0.94          896.51 , 833.00          631.68 , 664.00            1576.27 , 1562.00       95.83
   0.92           14.78                  1.09% , 0.82          948.74 , 833.00          551.04 , 664.00            1547.63 , 1562.00       228.7
   0.93            4.34                  0.92% , 1.04          800.77 , 833.00          698.88 , 664.00            1547.47 , 1562.00       67.11
   0.94            4.98                  0.93% , 1.07          809.47 , 833.00          719.04 , 664.00            1576.63 , 1562.00       78.57
   0.95            6.93                  1.02% , 0.91          887.81 , 833.00          611.52 , 664.00            1547.11 , 1562.00      107.29
