Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.0            1.57                  0.94% , 1.04        1636.35 , 1616.00          349.44 , 338.00            2030.91 , 2031.00       31.79
   0.01            2.12                  0.95% , 0.99        1653.76 , 1616.00          332.64 , 338.00            2031.11 , 2031.00       43.12
   0.06            1.54                  0.93% , 1.09        1618.94 , 1616.00          366.24 , 338.00            2029.71 , 2031.00       31.18
   0.06             3.8                  0.96% , 0.94        1671.17 , 1616.00          315.84 , 338.00            2032.31 , 2031.00       77.33
   0.07            2.93                  0.92% , 1.14        1601.54 , 1616.00          383.04 , 338.00            2029.51 , 2031.00        59.5
   0.07            5.49                  0.97% , 0.89        1688.58 , 1616.00          299.04 , 338.00            2032.51 , 2031.00      111.54
   0.08            4.62                  0.91% , 1.19        1584.13 , 1616.00          399.84 , 338.00            2029.31 , 2031.00       93.71
   0.08            7.17                  0.98% , 0.84        1705.98 , 1616.00          282.24 , 338.00            2032.71 , 2031.00      145.74
   0.08            7.35                  0.98% , 0.83        1705.98 , 1616.00          278.88 , 338.00            2029.35 , 2031.00       149.1
   0.09            3.09                  0.92% , 1.15        1601.54 , 1616.00          386.40 , 338.00            2032.87 , 2031.00       62.86
   0.09            5.66                  0.97% , 0.88        1688.58 , 1616.00          295.68 , 338.00            2029.15 , 2031.00       114.9
    0.1             1.7                  0.93% , 1.10        1618.94 , 1616.00          369.60 , 338.00            2033.07 , 2031.00       34.54
    0.1            3.98                  0.96% , 0.93        1671.17 , 1616.00          312.48 , 338.00            2028.95 , 2031.00       80.69
   0.16            1.73                  0.94% , 1.05        1636.35 , 1616.00          352.80 , 338.00            2034.27 , 2031.00       35.15
   0.16            2.29                  0.95% , 0.98        1653.76 , 1616.00          329.28 , 338.00            2027.75 , 2031.00       46.48
   0.17             1.4                  0.94% , 1.03        1636.35 , 1616.00          346.08 , 338.00            2027.55 , 2031.00       28.43
   0.17            1.95                  0.95% , 1.00        1653.76 , 1616.00          336.00 , 338.00            2034.47 , 2031.00       39.76
   0.23            1.37                  0.93% , 1.08        1618.94 , 1616.00          362.88 , 338.00            2026.35 , 2031.00       27.82
   0.23            3.63                  0.96% , 0.95        1671.17 , 1616.00          319.20 , 338.00            2035.67 , 2031.00       73.97
   0.24            2.77                  0.92% , 1.13        1601.54 , 1616.00          379.68 , 338.00            2026.15 , 2031.00       56.14
   0.24            5.31                  0.97% , 0.90        1688.58 , 1616.00          302.40 , 338.00            2035.87 , 2031.00      108.18
   0.25            4.46                  0.91% , 1.18        1584.13 , 1616.00          396.48 , 338.00            2025.95 , 2031.00       90.35
   0.25            7.53                  0.98% , 0.82        1705.98 , 1616.00          275.52 , 338.00            2025.99 , 2031.00      152.46
   0.25            6.99                  0.98% , 0.85        1705.98 , 1616.00          285.60 , 338.00            2036.07 , 2031.00      142.38
   0.26            3.25                  0.92% , 1.16        1601.54 , 1616.00          389.76 , 338.00            2036.23 , 2031.00       66.22
   0.26            5.84                  0.97% , 0.87        1688.58 , 1616.00          292.32 , 338.00            2025.79 , 2031.00      118.26
   0.27            1.86                  0.93% , 1.11        1618.94 , 1616.00          372.96 , 338.00            2036.43 , 2031.00        37.9
   0.27            4.15                  0.96% , 0.92        1671.17 , 1616.00          309.12 , 338.00            2025.59 , 2031.00       84.05
   0.31            8.67                  0.99% , 0.80        1723.39 , 1616.00          268.80 , 338.00            2037.27 , 2031.00      176.59
   0.33            1.89                  0.94% , 1.06        1636.35 , 1616.00          356.16 , 338.00            2037.63 , 2031.00       38.51
   0.33            2.46                  0.95% , 0.97        1653.76 , 1616.00          325.92 , 338.00            2024.39 , 2031.00       49.84
   0.34            1.24                  0.94% , 1.02        1636.35 , 1616.00          342.72 , 338.00            2024.19 , 2031.00       25.07
   0.34            1.92                  0.95% , 1.01        1653.76 , 1616.00          339.36 , 338.00            2037.83 , 2031.00       39.12
   0.39            1.21                  0.93% , 1.07        1618.94 , 1616.00          359.52 , 338.00            2022.99 , 2031.00       24.46
    0.4            2.61                  0.92% , 1.12        1601.54 , 1616.00          376.32 , 338.00            2022.79 , 2031.00       52.78
    0.4            3.46                  0.96% , 0.96        1671.17 , 1616.00          322.56 , 338.00            2039.03 , 2031.00       70.61
   0.41             4.3                  0.91% , 1.17        1584.13 , 1616.00          393.12 , 338.00            2022.59 , 2031.00       86.99
   0.41            5.14                  0.97% , 0.91        1688.58 , 1616.00          305.76 , 338.00            2039.23 , 2031.00      104.82
   0.41             7.7                  0.98% , 0.81        1705.98 , 1616.00          272.16 , 338.00            2022.63 , 2031.00      155.82
   0.42            3.41                  0.92% , 1.17        1601.54 , 1616.00          393.12 , 338.00            2039.59 , 2031.00       69.58
   0.42            6.01                  0.97% , 0.86        1688.58 , 1616.00          288.96 , 338.00            2022.43 , 2031.00      121.62
   0.42            6.82                  0.98% , 0.86        1705.98 , 1616.00          288.96 , 338.00            2039.43 , 2031.00      139.02
   0.43            2.02                  0.93% , 1.12        1618.94 , 1616.00          376.32 , 338.00            2039.79 , 2031.00       41.26
   0.43            4.32                  0.96% , 0.91        1671.17 , 1616.00          305.76 , 338.00            2022.23 , 2031.00       87.41
   0.47            8.49                  0.99% , 0.81        1723.39 , 1616.00          272.16 , 338.00            2040.63 , 2031.00      173.23
