Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.21              1.39          0.93% , 1.01        1618.94 , 1616.00           339.36 , 338.00            2002.83 , 2031.00        4.3
    0.25              1.55          0.93% , 1.00        1618.94 , 1616.00           336.00 , 338.00            1999.47 , 2031.00       4.94
    0.38              1.22          0.93% , 1.02        1618.94 , 1616.00           342.72 , 338.00            2006.19 , 2031.00       7.66
    0.42              1.72          0.93% , 0.99        1618.94 , 1616.00           332.64 , 338.00            1996.11 , 2031.00        8.3
    0.55              1.06          0.93% , 1.03        1618.94 , 1616.00           346.08 , 338.00            2009.55 , 2031.00      11.02
    0.59              1.88          0.93% , 0.98        1618.94 , 1616.00           329.28 , 338.00            1992.75 , 2031.00      11.66
    0.71              0.89          0.93% , 1.04        1618.94 , 1616.00           349.44 , 338.00            2012.91 , 2031.00      14.38
    0.76              2.05          0.93% , 0.97        1618.94 , 1616.00           325.92 , 338.00            1989.39 , 2031.00      15.02
     0.8              2.22          0.92% , 1.01        1601.54 , 1616.00           339.36 , 338.00            1985.83 , 2031.00      15.82
    0.83              2.39          0.92% , 1.00        1601.54 , 1616.00           336.00 , 338.00            1982.47 , 2031.00      16.46
    0.88              0.73          0.93% , 1.05        1618.94 , 1616.00           352.80 , 338.00            2016.27 , 2031.00      17.74
    0.93              2.21          0.93% , 0.96        1618.94 , 1616.00           322.56 , 338.00            1986.03 , 2031.00      18.38
    0.96              2.06          0.92% , 1.02        1601.54 , 1616.00           342.72 , 338.00            1989.19 , 2031.00      19.18
     1.0              2.55          0.92% , 0.99        1601.54 , 1616.00           332.64 , 338.00            1979.11 , 2031.00      19.82
    1.04              0.56          0.93% , 1.06        1618.94 , 1616.00           356.16 , 338.00            2019.63 , 2031.00       21.1
    1.07               0.5          0.94% , 1.01        1636.35 , 1616.00           339.36 , 338.00            2020.83 , 2031.00      21.71
