Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.29              1.01          0.94% , 1.02          818.18 , 821.00           342.72 , 342.00            1208.71 , 1221.00       3.54
    0.45              1.28          0.94% , 1.01          818.18 , 821.00           339.36 , 342.00            1205.35 , 1221.00       5.46
    0.54              0.35          0.95% , 1.02          826.88 , 821.00           342.72 , 342.00            1216.71 , 1221.00        6.6
    0.57              0.73          0.94% , 1.03          818.18 , 821.00           346.08 , 342.00            1212.07 , 1221.00        6.9
     0.7              0.63          0.95% , 1.01          826.88 , 821.00           339.36 , 342.00            1213.35 , 1221.00       8.52
    0.73              1.56          0.94% , 1.00          818.18 , 821.00           336.00 , 342.00            1201.99 , 1221.00       8.82
    0.82              0.08          0.95% , 1.03          826.88 , 821.00           346.08 , 342.00            1220.07 , 1221.00       9.96
    0.84              0.46          0.94% , 1.04          818.18 , 821.00           349.44 , 342.00            1215.43 , 1221.00      10.26
    0.98               0.9          0.95% , 1.00          826.88 , 821.00           336.00 , 342.00            1209.99 , 1221.00      11.88
    1.02              1.74          0.93% , 1.02          809.47 , 821.00           342.72 , 342.00            1199.71 , 1221.00      12.25
    1.02              1.83          0.94% , 0.99          818.18 , 821.00           332.64 , 342.00            1198.63 , 1221.00      12.18
    1.09               0.2          0.95% , 1.04          826.88 , 821.00           349.44 , 342.00            1223.43 , 1221.00      13.32
    1.12              0.18          0.94% , 1.05          818.18 , 821.00           352.80 , 342.00            1218.79 , 1221.00      13.62
    1.18              2.02          0.93% , 1.01          809.47 , 821.00           339.36 , 342.00            1196.35 , 1221.00      14.17
    1.25              0.39          0.96% , 1.02          835.58 , 821.00           342.72 , 342.00            1225.71 , 1221.00       15.3
    1.26              1.18          0.95% , 0.99          826.88 , 821.00           332.64 , 342.00            1206.63 , 1221.00      15.24
     1.3              1.47          0.93% , 1.03          809.47 , 821.00           346.08 , 342.00            1203.07 , 1221.00      15.61
     1.3              2.11          0.94% , 0.98          818.18 , 821.00           329.28 , 342.00            1195.27 , 1221.00      15.54
    1.36              0.47          0.95% , 1.05          826.88 , 821.00           352.80 , 342.00            1226.79 , 1221.00      16.68
    1.39              0.09          0.94% , 1.06          818.18 , 821.00           356.16 , 342.00            1222.15 , 1221.00      16.98
    1.41              0.11          0.96% , 1.01          835.58 , 821.00           339.36 , 342.00            1222.35 , 1221.00      17.22
    1.47              2.29          0.93% , 1.00          809.47 , 821.00           336.00 , 342.00            1192.99 , 1221.00      17.53
    1.52              0.66          0.96% , 1.03          835.58 , 821.00           346.08 , 342.00            1229.07 , 1221.00      18.66
    1.55              1.45          0.95% , 0.98          826.88 , 821.00           329.28 , 342.00            1203.27 , 1221.00       18.6
    1.57              1.19          0.93% , 1.04          809.47 , 821.00           349.44 , 342.00            1206.43 , 1221.00      18.97
    1.59              2.38          0.94% , 0.97          818.18 , 821.00           325.92 , 342.00            1191.91 , 1221.00       18.9
    1.63              0.75          0.95% , 1.06          826.88 , 821.00           356.16 , 342.00            1230.15 , 1221.00      20.04
    1.66              0.37          0.94% , 1.07          818.18 , 821.00           359.52 , 342.00            1225.51 , 1221.00      20.34
    1.69              0.16          0.96% , 1.00          835.58 , 821.00           336.00 , 342.00            1218.99 , 1221.00      20.58
    1.76              2.48          0.92% , 1.02          800.77 , 821.00           342.72 , 342.00            1190.71 , 1221.00      20.95
    1.76              2.57          0.93% , 0.99          809.47 , 821.00           332.64 , 342.00            1189.63 , 1221.00      20.89
    1.79              0.94          0.96% , 1.04          835.58 , 821.00           349.44 , 342.00            1232.43 , 1221.00      22.02
    1.83              1.73          0.95% , 0.97          826.88 , 821.00           325.92 , 342.00            1199.91 , 1221.00      21.96
    1.85              0.92          0.93% , 1.05          809.47 , 821.00           352.80 , 342.00            1209.79 , 1221.00      22.33
    1.87              2.66          0.94% , 0.96          818.18 , 821.00           322.56 , 342.00            1188.55 , 1221.00      22.26
     1.9              1.02          0.95% , 1.07          826.88 , 821.00           359.52 , 342.00            1233.51 , 1221.00       23.4
    1.93              2.76          0.92% , 1.01          800.77 , 821.00           339.36 , 342.00            1187.35 , 1221.00      22.87
    1.93              0.64          0.94% , 1.08          818.18 , 821.00           362.88 , 342.00            1228.87 , 1221.00       23.7
    1.94              1.12          0.97% , 1.02          844.29 , 821.00           342.72 , 342.00            1234.71 , 1221.00      24.01
    1.97              0.44          0.96% , 0.99          835.58 , 821.00           332.64 , 342.00            1215.63 , 1221.00      23.94
    2.04              2.21          0.92% , 1.03          800.77 , 821.00           346.08 , 342.00            1194.07 , 1221.00      24.31
