Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   24.36             12.45          0.80% , 1.09         1392.64 , 998.00           183.12 , 183.00            1620.59 , 1851.00     394.76
   24.44             12.36          0.80% , 1.10         1392.64 , 998.00           184.80 , 183.00            1622.27 , 1851.00     396.44
   24.47             12.54          0.80% , 1.08         1392.64 , 998.00           181.44 , 183.00            1618.91 , 1851.00      396.2
   24.52             12.27          0.80% , 1.11         1392.64 , 998.00           186.48 , 183.00            1623.95 , 1851.00     398.12
   24.59             12.18          0.80% , 1.12         1392.64 , 998.00           188.16 , 183.00            1625.63 , 1851.00      399.8
    24.6             12.63          0.80% , 1.07         1392.64 , 998.00           179.76 , 183.00            1617.23 , 1851.00     397.88
   24.67             12.08          0.80% , 1.13         1392.64 , 998.00           189.84 , 183.00            1627.31 , 1851.00     401.48
   24.73             12.72          0.80% , 1.06         1392.64 , 998.00           178.08 , 183.00            1615.55 , 1851.00     399.56
   24.75             11.99          0.80% , 1.14         1392.64 , 998.00           191.52 , 183.00            1628.99 , 1851.00     403.16
   24.83              11.9          0.80% , 1.15         1392.64 , 998.00           193.20 , 183.00            1630.67 , 1851.00     404.84
   24.86             12.81          0.80% , 1.05         1392.64 , 998.00           176.40 , 183.00            1613.87 , 1851.00     401.24
    24.9             11.81          0.80% , 1.16         1392.64 , 998.00           194.88 , 183.00            1632.35 , 1851.00     406.52
   24.98             11.72          0.80% , 1.17         1392.64 , 998.00           196.56 , 183.00            1634.03 , 1851.00      408.2
   24.99              12.9          0.80% , 1.04         1392.64 , 998.00           174.72 , 183.00            1612.19 , 1851.00     402.92
   25.06             11.63          0.80% , 1.18         1392.64 , 998.00           198.24 , 183.00            1635.71 , 1851.00     409.88
   25.12             12.99          0.80% , 1.03         1392.64 , 998.00           173.04 , 183.00            1610.51 , 1851.00      404.6
   25.14             11.54          0.80% , 1.19         1392.64 , 998.00           199.92 , 183.00            1637.39 , 1851.00     411.56
   25.17             11.53          0.81% , 1.09         1410.05 , 998.00           183.12 , 183.00            1637.59 , 1851.00     412.17
   25.25             13.08          0.80% , 1.02         1392.64 , 998.00           171.36 , 183.00            1608.83 , 1851.00     406.28
   25.25             11.44          0.81% , 1.10         1410.05 , 998.00           184.80 , 183.00            1639.27 , 1851.00     413.85
   25.28             11.62          0.81% , 1.08         1410.05 , 998.00           181.44 , 183.00            1635.91 , 1851.00     413.61
   25.32             11.35          0.81% , 1.11         1410.05 , 998.00           186.48 , 183.00            1640.95 , 1851.00     415.53
   25.38             13.17          0.80% , 1.01         1392.64 , 998.00           169.68 , 183.00            1607.15 , 1851.00     407.96
    25.4             11.26          0.81% , 1.12         1410.05 , 998.00           188.16 , 183.00            1642.63 , 1851.00     417.21
