Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    1.94              9.27          0.93% , 0.98          809.47 , 809.00           164.64 , 184.00            1021.61 , 1126.00      19.83
    1.94              7.73          0.94% , 1.03          818.18 , 809.00           173.04 , 184.00            1039.01 , 1126.00      20.14
    1.94              6.27          0.95% , 1.08          826.88 , 809.00           181.44 , 184.00            1055.41 , 1126.00      20.44
    1.99              7.24          0.92% , 1.17          800.77 , 809.00           196.56 , 184.00            1044.53 , 1126.00      20.79
    2.05              8.69          0.91% , 1.12          792.06 , 809.00           188.16 , 184.00            1028.13 , 1126.00       21.1
    2.05              9.47          0.92% , 1.02          800.77 , 809.00           171.36 , 184.00            1019.33 , 1126.00      20.87
    2.05              5.64          0.94% , 1.17          818.18 , 809.00           196.56 , 184.00            1062.53 , 1126.00      21.74
    2.08              9.44          0.91% , 1.07          792.06 , 809.00           179.76 , 184.00            1019.73 , 1126.00      21.18
    2.08              5.67          0.95% , 1.12          826.88 , 809.00           188.16 , 184.00            1062.13 , 1126.00      22.04
     2.1              7.87          0.94% , 1.02          818.18 , 809.00           171.36 , 184.00            1037.33 , 1126.00      21.82
     2.1              6.42          0.95% , 1.07          826.88 , 809.00           179.76 , 184.00            1053.73 , 1126.00      22.12
    2.11              9.42          0.93% , 0.97          809.47 , 809.00           162.96 , 184.00            1019.93 , 1126.00      21.51
    2.15              7.09          0.92% , 1.18          800.77 , 809.00           198.24 , 184.00            1046.21 , 1126.00      22.47
     2.2              5.49          0.94% , 1.18          818.18 , 809.00           198.24 , 184.00            1064.21 , 1126.00      23.42
    2.21              8.54          0.91% , 1.13          792.06 , 809.00           189.84 , 184.00            1029.81 , 1126.00      22.78
    2.22              9.62          0.92% , 1.01          800.77 , 809.00           169.68 , 184.00            1017.65 , 1126.00      22.55
    2.23              5.52          0.95% , 1.13          826.88 , 809.00           189.84 , 184.00            1063.81 , 1126.00      23.72
    2.25              9.59          0.91% , 1.06          792.06 , 809.00           178.08 , 184.00            1018.05 , 1126.00      22.86
    2.26              6.57          0.95% , 1.06          826.88 , 809.00           178.08 , 184.00            1052.05 , 1126.00       23.8
    2.27              8.02          0.94% , 1.01          818.18 , 809.00           169.68 , 184.00            1035.65 , 1126.00       23.5
    2.28              9.57          0.93% , 0.96          809.47 , 809.00           161.28 , 184.00            1018.25 , 1126.00      23.19
     2.3              6.94          0.92% , 1.19          800.77 , 809.00           199.92 , 184.00            1047.89 , 1126.00      24.15
    2.35              5.34          0.94% , 1.19          818.18 , 809.00           199.92 , 184.00            1065.89 , 1126.00       25.1
    2.37              8.39          0.91% , 1.14          792.06 , 809.00           191.52 , 184.00            1031.49 , 1126.00      24.46
    2.38              5.37          0.95% , 1.14          826.88 , 809.00           191.52 , 184.00            1065.49 , 1126.00       25.4
    2.39              9.77          0.92% , 1.00          800.77 , 809.00           168.00 , 184.00            1015.97 , 1126.00      24.23
    2.41              9.74          0.91% , 1.05          792.06 , 809.00           176.40 , 184.00            1016.37 , 1126.00      24.54
    2.43              8.17          0.94% , 1.00          818.18 , 809.00           168.00 , 184.00            1033.97 , 1126.00      25.18
    2.43              6.72          0.95% , 1.05          826.88 , 809.00           176.40 , 184.00            1050.37 , 1126.00      25.48
    2.45              9.72          0.93% , 0.95          809.47 , 809.00           159.60 , 184.00            1016.57 , 1126.00      24.87
    2.53              8.24          0.91% , 1.15          792.06 , 809.00           193.20 , 184.00            1033.17 , 1126.00      26.14
    2.54              5.22          0.95% , 1.15          826.88 , 809.00           193.20 , 184.00            1067.17 , 1126.00      27.08
    2.55              9.92          0.92% , 0.99          800.77 , 809.00           166.32 , 184.00            1014.29 , 1126.00      25.91
    2.56              5.17          0.96% , 1.10          835.58 , 809.00           184.80 , 184.00            1067.77 , 1126.00      27.38
    2.58              9.89          0.91% , 1.04          792.06 , 809.00           174.72 , 184.00            1014.69 , 1126.00      26.22
