Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
     0.3              2.62          0.98% , 1.11          426.50 , 425.00           186.48 , 187.00              664.11 , 682.00       2.02
     0.4              2.38          0.98% , 1.12          426.50 , 425.00           188.16 , 187.00              665.79 , 682.00       2.66
    0.51              3.21          0.97% , 1.11          422.14 , 425.00           186.48 , 187.00              660.11 , 682.00       3.38
    0.56              2.87          0.98% , 1.10          426.50 , 425.00           184.80 , 187.00              662.43 , 682.00        3.7
    0.61              2.96          0.97% , 1.12          422.14 , 425.00           188.16 , 187.00              661.79 , 682.00       4.02
    0.65              2.13          0.98% , 1.13          426.50 , 425.00           189.84 , 187.00              667.47 , 682.00       4.34
    0.77              3.46          0.97% , 1.10          422.14 , 425.00           184.80 , 187.00              658.43 , 682.00       5.06
    0.81              3.12          0.98% , 1.09          426.50 , 425.00           183.12 , 187.00              660.75 , 682.00       5.38
    0.86              2.72          0.97% , 1.13          422.14 , 425.00           189.84 , 187.00              663.47 , 682.00        5.7
     0.9              1.88          0.98% , 1.14          426.50 , 425.00           191.52 , 187.00              669.15 , 682.00       6.02
    0.95              2.04          0.99% , 1.11          430.85 , 425.00           186.48 , 187.00              668.11 , 682.00       6.37
    1.03               3.7          0.97% , 1.09          422.14 , 425.00           183.12 , 187.00              656.75 , 682.00       6.74
    1.05              1.79          0.99% , 1.12          430.85 , 425.00           188.16 , 187.00              669.79 , 682.00       7.01
    1.07              3.36          0.98% , 1.08          426.50 , 425.00           181.44 , 187.00              659.07 , 682.00       7.06
    1.11              2.47          0.97% , 1.14          422.14 , 425.00           191.52 , 187.00              665.15 , 682.00       7.38
    1.15              1.64          0.98% , 1.15          426.50 , 425.00           193.20 , 187.00              670.83 , 682.00        7.7
    1.18              3.94          0.96% , 1.11          417.79 , 425.00           186.48 , 187.00              655.11 , 682.00       7.73
    1.21              2.28          0.99% , 1.10          430.85 , 425.00           184.80 , 187.00              666.43 , 682.00       8.05
    1.27               3.7          0.96% , 1.12          417.79 , 425.00           188.16 , 187.00              656.79 , 682.00       8.37
    1.28              3.95          0.97% , 1.08          422.14 , 425.00           181.44 , 187.00              655.07 , 682.00       8.42
    1.29              1.54          0.99% , 1.13          430.85 , 425.00           189.84 , 187.00              671.47 , 682.00       8.69
    1.33              3.61          0.98% , 1.07          426.50 , 425.00           179.76 , 187.00              657.39 , 682.00       8.74
    1.36              2.22          0.97% , 1.15          422.14 , 425.00           193.20 , 187.00              666.83 , 682.00       9.06
    1.39              1.39          0.98% , 1.16          426.50 , 425.00           194.88 , 187.00              672.51 , 682.00       9.38
    1.44              4.19          0.96% , 1.10          417.79 , 425.00           184.80 , 187.00              653.43 , 682.00       9.41
    1.46              2.53          0.99% , 1.09          430.85 , 425.00           183.12 , 187.00              664.75 , 682.00       9.73
    1.53              3.45          0.96% , 1.13          417.79 , 425.00           189.84 , 187.00              658.47 , 682.00      10.05
    1.54               1.3          0.99% , 1.14          430.85 , 425.00           191.52 , 187.00              673.15 , 682.00      10.37
