Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.31              1.42          0.99% , 1.01          430.85 , 432.00           339.36 , 338.00              821.14 , 833.00       2.51
    0.39              1.83          0.99% , 1.00          430.85 , 432.00           336.00 , 338.00              817.78 , 833.00       3.15
    0.55              0.82          1.00% , 1.01          435.20 , 432.00           339.36 , 338.00              826.14 , 833.00       4.56
    0.63              1.23          1.00% , 1.00          435.20 , 432.00           336.00 , 338.00              822.78 , 833.00        5.2
    0.71              1.02          0.99% , 1.02          430.85 , 432.00           342.72 , 338.00              824.50 , 833.00       5.87
     0.8              2.23          0.99% , 0.99          430.85 , 432.00           332.64 , 338.00              814.42 , 833.00       6.51
    0.84               1.9          0.98% , 1.01          426.50 , 432.00           339.36 , 338.00              817.14 , 833.00       6.86
    0.92              2.31          0.98% , 1.00          426.50 , 432.00           336.00 , 338.00              813.78 , 833.00        7.5
    0.95              0.42          1.00% , 1.02          435.20 , 432.00           342.72 , 338.00              829.50 , 833.00       7.92
    1.04              1.63          1.00% , 0.99          435.20 , 432.00           332.64 , 338.00              819.42 , 833.00       8.56
    1.07              0.34          1.01% , 1.01          439.55 , 432.00           339.36 , 338.00              830.14 , 833.00       8.91
    1.12              0.62          0.99% , 1.03          430.85 , 432.00           346.08 , 338.00              827.86 , 833.00       9.23
    1.16              0.75          1.01% , 1.00          439.55 , 432.00           336.00 , 338.00              826.78 , 833.00       9.55
    1.22              2.63          0.99% , 0.98          430.85 , 432.00           329.28 , 338.00              811.06 , 833.00       9.87
    1.25               1.5          0.98% , 1.02          426.50 , 432.00           342.72 , 338.00              820.50 , 833.00      10.22
    1.34              2.71          0.98% , 0.99          426.50 , 432.00           332.64 , 338.00              810.42 , 833.00      10.86
    1.35              0.02          1.00% , 1.03          435.20 , 432.00           346.08 , 338.00              832.86 , 833.00      11.28
    1.38              2.38          0.97% , 1.01          422.14 , 432.00           339.36 , 338.00              813.14 , 833.00      11.22
    1.46              2.79          0.97% , 1.00          422.14 , 432.00           336.00 , 338.00              809.78 , 833.00      11.86
    1.46              2.03          1.00% , 0.98          435.20 , 432.00           329.28 , 338.00              816.06 , 833.00      11.92
    1.47              0.06          1.01% , 1.02          439.55 , 432.00           342.72 , 338.00              833.50 , 833.00      12.27
    1.51              0.21          0.99% , 1.04          430.85 , 432.00           349.44 , 338.00              831.22 , 833.00      12.59
    1.57              1.15          1.01% , 0.99          439.55 , 432.00           332.64 , 338.00              823.42 , 833.00      12.91
    1.59              0.14          1.02% , 1.01          443.90 , 432.00           339.36 , 338.00              834.14 , 833.00      13.26
    1.64              3.04          0.99% , 0.97          430.85 , 432.00           325.92 , 338.00              807.70 , 833.00      13.23
    1.65               1.1          0.98% , 1.03          426.50 , 432.00           346.08 , 338.00              823.86 , 833.00      13.58
    1.67              0.27          1.02% , 1.00          443.90 , 432.00           336.00 , 338.00              830.78 , 833.00       13.9
    1.75              0.39          1.00% , 1.04          435.20 , 432.00           349.44 , 338.00              836.22 , 833.00      14.64
    1.76              3.11          0.98% , 0.98          426.50 , 432.00           329.28 , 338.00              807.06 , 833.00      14.22
    1.79              1.98          0.97% , 1.02          422.14 , 432.00           342.72 , 338.00              816.50 , 833.00      14.58
    1.87              0.46          1.01% , 1.03          439.55 , 432.00           346.08 , 338.00              836.86 , 833.00      15.63
    1.88              2.44          1.00% , 0.97          435.20 , 432.00           325.92 , 338.00              812.70 , 833.00      15.28
    1.89              3.19          0.97% , 0.99          422.14 , 432.00           332.64 , 338.00              806.42 , 833.00      15.22
    1.91              0.19          0.99% , 1.05          430.85 , 432.00           352.80 , 338.00              834.58 , 833.00      15.95
    1.93              2.98          0.96% , 1.01          417.79 , 432.00           339.36 , 338.00              808.14 , 833.00      15.57
    1.98              1.55          1.01% , 0.98          439.55 , 432.00           329.28 , 338.00              820.06 , 833.00      16.27
    1.98              0.54          1.02% , 1.02          443.90 , 432.00           342.72 , 338.00              837.50 , 833.00      16.62
    2.01              3.39          0.96% , 1.00          417.79 , 432.00           336.00 , 338.00              804.78 , 833.00      16.21
    2.05              0.69          0.98% , 1.04          426.50 , 432.00           349.44 , 338.00              827.22 , 833.00      16.94
    2.06              3.44          0.99% , 0.96          430.85 , 432.00           322.56 , 338.00              804.34 , 833.00      16.59
    2.09              0.67          1.02% , 0.99          443.90 , 432.00           332.64 , 338.00              827.42 , 833.00      17.26
     2.1              0.74          1.03% , 1.01          448.26 , 432.00           339.36 , 338.00              839.14 , 833.00      17.62
    2.14              0.79          1.00% , 1.05          435.20 , 432.00           352.80 , 338.00              839.58 , 833.00       18.0
    2.18              0.33          1.03% , 1.00          448.26 , 432.00           336.00 , 338.00              835.78 , 833.00      18.26
    2.19              1.58          0.97% , 1.03          422.14 , 432.00           346.08 , 338.00              819.86 , 833.00      17.94
    2.19              3.52          0.98% , 0.97          426.50 , 432.00           325.92 , 338.00              803.70 , 833.00      17.58
    2.26              0.87          1.01% , 1.04          439.55 , 432.00           349.44 , 338.00              840.22 , 833.00      18.99
     2.3              0.59          0.99% , 1.06          430.85 , 432.00           356.16 , 338.00              837.94 , 833.00      19.31
     2.3              2.84          1.00% , 0.96          435.20 , 432.00           322.56 , 338.00              809.34 , 833.00      18.64
    2.31              3.59          0.97% , 0.98          422.14 , 432.00           329.28 , 338.00              803.06 , 833.00      18.58
    2.33              2.58          0.96% , 1.02          417.79 , 432.00           342.72 , 338.00              811.50 , 833.00      18.93
    2.38              0.94          1.02% , 1.03          443.90 , 432.00           346.08 , 338.00              840.86 , 833.00      19.98
     2.4              1.96          1.01% , 0.97          439.55 , 432.00           325.92 , 338.00              816.70 , 833.00      19.63
    2.44              3.79          0.96% , 0.99          417.79 , 432.00           332.64 , 338.00              801.42 , 833.00      19.57
    2.44              0.29          0.98% , 1.05          426.50 , 432.00           352.80 , 338.00              830.58 , 833.00       20.3
    2.48              3.46          0.95% , 1.01          413.44 , 432.00           339.36 , 338.00              804.14 , 833.00      19.92
    2.49              3.84          0.99% , 0.95          430.85 , 432.00           319.20 , 338.00              800.98 , 833.00      19.95
    2.49              1.14          1.03% , 1.02          448.26 , 432.00           342.72 , 338.00              842.50 , 833.00      20.98
     2.5              1.07          1.02% , 0.98          443.90 , 432.00           329.28 , 338.00              824.06 , 833.00      20.62
    2.53              1.19          1.00% , 1.06          435.20 , 432.00           356.16 , 338.00              842.94 , 833.00      21.36
    2.57              3.87          0.95% , 1.00          413.44 , 432.00           336.00 , 338.00              800.78 , 833.00      20.56
    2.59              1.17          0.97% , 1.04          422.14 , 432.00           349.44 , 338.00              823.22 , 833.00       21.3
     2.6              0.07          1.03% , 0.99          448.26 , 432.00           332.64 , 338.00              832.42 , 833.00      21.62
    2.61              1.22          1.04% , 1.01          452.61 , 432.00           339.36 , 338.00              843.14 , 833.00      21.97
    2.62              3.92          0.98% , 0.96          426.50 , 432.00           322.56 , 338.00              800.34 , 833.00      20.94
    2.65              1.27          1.01% , 1.05          439.55 , 432.00           352.80 , 338.00              843.58 , 833.00      22.35
    2.69               1.0          0.99% , 1.07          430.85 , 432.00           359.52 , 338.00              841.30 , 833.00      22.67
