Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.13              0.74          1.01% , 1.00          439.55 , 438.00           672.00 , 672.00            1163.30 , 1172.00       1.55
    0.24              1.08          1.00% , 1.00          435.20 , 438.00           672.00 , 672.00            1159.30 , 1172.00        2.8
    0.51               0.4          1.02% , 1.00          443.90 , 438.00           672.00 , 672.00            1167.30 , 1172.00        5.9
    0.62              1.51          0.99% , 1.00          430.85 , 438.00           672.00 , 672.00            1154.30 , 1172.00       7.15
    0.71              0.17          1.01% , 1.01          439.55 , 438.00           678.72 , 672.00            1170.02 , 1172.00       8.27
    0.72              1.32          1.01% , 0.99          439.55 , 438.00           665.28 , 672.00            1156.58 , 1172.00       8.27
    0.82              0.51          1.00% , 1.01          435.20 , 438.00           678.72 , 672.00            1166.02 , 1172.00       9.52
    0.83              1.66          1.00% , 0.99          435.20 , 438.00           665.28 , 672.00            1152.58 , 1172.00       9.52
    0.87              0.03          1.03% , 1.00          448.26 , 438.00           672.00 , 672.00            1172.30 , 1172.00      10.26
     1.0              1.85          0.98% , 1.00          426.50 , 438.00           672.00 , 672.00            1150.30 , 1172.00       11.5
    1.08              0.17          1.02% , 1.01          443.90 , 438.00           678.72 , 672.00            1174.02 , 1172.00      12.62
    1.09              0.97          1.02% , 0.99          443.90 , 438.00           665.28 , 672.00            1160.58 , 1172.00      12.62
    1.19              0.94          0.99% , 1.01          430.85 , 438.00           678.72 , 672.00            1161.02 , 1172.00      13.87
    1.21              2.08          0.99% , 0.99          430.85 , 438.00           665.28 , 672.00            1147.58 , 1172.00      13.87
    1.24              0.37          1.04% , 1.00          452.61 , 438.00           672.00 , 672.00            1176.30 , 1172.00      14.61
    1.27               0.4          1.01% , 1.02          439.55 , 438.00           685.44 , 672.00            1176.74 , 1172.00      14.99
     1.3              1.89          1.01% , 0.98          439.55 , 438.00           658.56 , 672.00            1149.86 , 1172.00      14.99
    1.38              2.19          0.97% , 1.00          422.14 , 438.00           672.00 , 672.00            1146.30 , 1172.00      15.86
    1.38              0.06          1.00% , 1.02          435.20 , 438.00           685.44 , 672.00            1172.74 , 1172.00      16.24
    1.42              2.23          1.00% , 0.98          435.20 , 438.00           658.56 , 672.00            1145.86 , 1172.00      16.24
    1.44               0.6          1.03% , 1.01          448.26 , 438.00           678.72 , 672.00            1179.02 , 1172.00      16.98
    1.46              0.55          1.03% , 0.99          448.26 , 438.00           665.28 , 672.00            1165.58 , 1172.00      16.98
    1.58              1.28          0.98% , 1.01          426.50 , 438.00           678.72 , 672.00            1157.02 , 1172.00      18.22
    1.59              2.42          0.98% , 0.99          426.50 , 438.00           665.28 , 672.00            1143.58 , 1172.00      18.22
    1.61              0.71          1.05% , 1.00          456.96 , 438.00           672.00 , 672.00            1180.30 , 1172.00      18.96
    1.64              0.75          1.02% , 1.02          443.90 , 438.00           685.44 , 672.00            1180.74 , 1172.00      19.34
    1.68              1.55          1.02% , 0.98          443.90 , 438.00           658.56 , 672.00            1153.86 , 1172.00      19.34
    1.76              0.36          0.99% , 1.02          430.85 , 438.00           685.44 , 672.00            1167.74 , 1172.00      20.59
    1.77              2.62          0.96% , 1.00          417.79 , 438.00           672.00 , 672.00            1141.30 , 1172.00      20.21
     1.8              2.66          0.99% , 0.98          430.85 , 438.00           658.56 , 672.00            1140.86 , 1172.00      20.59
     1.8              0.94          1.04% , 1.01          452.61 , 438.00           678.72 , 672.00            1183.02 , 1172.00      21.33
    1.82              0.21          1.04% , 0.99          452.61 , 438.00           665.28 , 672.00            1169.58 , 1172.00      21.33
    1.83              0.98          1.01% , 1.03          439.55 , 438.00           692.16 , 672.00            1183.46 , 1172.00      21.71
