Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.14              4.94          0.94% , 0.99        1636.35 , 1638.00           665.28 , 667.00            2347.53 , 2237.00       3.37
    0.28              5.24          0.94% , 1.00        1636.35 , 1638.00           672.00 , 667.00            2354.25 , 2237.00       6.65
    0.43              4.64          0.94% , 0.98        1636.35 , 1638.00           658.56 , 667.00            2340.81 , 2237.00      10.09
    0.57              5.54          0.94% , 1.01        1636.35 , 1638.00           678.72 , 667.00            2360.97 , 2237.00      13.37
    0.72              4.34          0.94% , 0.97        1636.35 , 1638.00           651.84 , 667.00            2334.09 , 2237.00      16.81
    0.74               5.7          0.95% , 0.99        1653.76 , 1638.00           665.28 , 667.00            2364.53 , 2237.00      17.48
    0.85              5.84          0.94% , 1.02        1636.35 , 1638.00           685.44 , 667.00            2367.69 , 2237.00      20.09
    0.88               6.0          0.95% , 1.00        1653.76 , 1638.00           672.00 , 667.00            2371.25 , 2237.00      20.76
    0.89              4.14          0.93% , 0.99        1618.94 , 1638.00           665.28 , 667.00            2329.53 , 2237.00      20.78
    1.01              4.04          0.94% , 0.96        1636.35 , 1638.00           645.12 , 667.00            2327.37 , 2237.00      23.53
    1.03              4.44          0.93% , 1.00        1618.94 , 1638.00           672.00 , 667.00            2336.25 , 2237.00      24.06
    1.03               5.4          0.95% , 0.98        1653.76 , 1638.00           658.56 , 667.00            2357.81 , 2237.00       24.2
    1.13              6.14          0.94% , 1.03        1636.35 , 1638.00           692.16 , 667.00            2374.41 , 2237.00      26.81
    1.16               6.3          0.95% , 1.01        1653.76 , 1638.00           678.72 , 667.00            2377.97 , 2237.00      27.48
    1.18              3.84          0.93% , 0.98        1618.94 , 1638.00           658.56 , 667.00            2322.81 , 2237.00       27.5
     1.3              3.74          0.94% , 0.95        1636.35 , 1638.00           638.40 , 667.00            2320.65 , 2237.00      30.25
    1.31              4.74          0.93% , 1.01        1618.94 , 1638.00           678.72 , 667.00            2342.97 , 2237.00      30.78
    1.32               5.1          0.95% , 0.97        1653.76 , 1638.00           651.84 , 667.00            2351.09 , 2237.00      30.92
    1.41              6.44          0.94% , 1.04        1636.35 , 1638.00           698.88 , 667.00            2381.13 , 2237.00      33.53
    1.43               6.6          0.95% , 1.02        1653.76 , 1638.00           685.44 , 667.00            2384.69 , 2237.00       34.2
    1.46              6.51          0.96% , 0.99        1671.17 , 1638.00           665.28 , 667.00            2382.53 , 2237.00      34.89
    1.48              3.54          0.93% , 0.97        1618.94 , 1638.00           651.84 , 667.00            2316.09 , 2237.00      34.22
     1.6              5.04          0.93% , 1.02        1618.94 , 1638.00           685.44 , 667.00            2349.69 , 2237.00       37.5
     1.6              3.44          0.94% , 0.94        1636.35 , 1638.00           631.68 , 667.00            2313.93 , 2237.00      36.97
     1.6              6.81          0.96% , 1.00        1671.17 , 1638.00           672.00 , 667.00            2389.25 , 2237.00      38.17
    1.61               4.8          0.95% , 0.96        1653.76 , 1638.00           645.12 , 667.00            2344.37 , 2237.00      37.64
    1.65              3.38          0.92% , 0.99        1601.54 , 1638.00           665.28 , 667.00            2312.53 , 2237.00      38.18
    1.69              6.74          0.94% , 1.05        1636.35 , 1638.00           705.60 , 667.00            2387.85 , 2237.00      40.25
    1.71               6.9          0.95% , 1.03        1653.76 , 1638.00           692.16 , 667.00            2391.41 , 2237.00      40.92
    1.75              6.21          0.96% , 0.98        1671.17 , 1638.00           658.56 , 667.00            2375.81 , 2237.00      41.61
    1.77              3.24          0.93% , 0.96        1618.94 , 1638.00           645.12 , 667.00            2309.37 , 2237.00      40.94
    1.79              3.68          0.92% , 1.00        1601.54 , 1638.00           672.00 , 667.00            2319.25 , 2237.00      41.46
    1.87              7.11          0.96% , 1.01        1671.17 , 1638.00           678.72 , 667.00            2395.97 , 2237.00      44.89
    1.88              5.34          0.93% , 1.03        1618.94 , 1638.00           692.16 , 667.00            2356.41 , 2237.00      44.22
    1.89              3.14          0.94% , 0.93        1636.35 , 1638.00           624.96 , 667.00            2307.21 , 2237.00      43.69
     1.9               4.5          0.95% , 0.95        1653.76 , 1638.00           638.40 , 667.00            2337.65 , 2237.00      44.36
    1.95              3.08          0.92% , 0.98        1601.54 , 1638.00           658.56 , 667.00            2305.81 , 2237.00       44.9
    1.96              7.04          0.94% , 1.06        1636.35 , 1638.00           712.32 , 667.00            2394.57 , 2237.00      46.97
    1.99               7.2          0.95% , 1.04        1653.76 , 1638.00           698.88 , 667.00            2398.13 , 2237.00      47.64
    2.04               5.9          0.96% , 0.97        1671.17 , 1638.00           651.84 , 667.00            2369.09 , 2237.00      48.33
    2.07              3.98          0.92% , 1.01        1601.54 , 1638.00           678.72 , 667.00            2325.97 , 2237.00      48.18
    2.07              2.93          0.93% , 0.95        1618.94 , 1638.00           638.40 , 667.00            2302.65 , 2237.00      47.66
    2.15              7.41          0.96% , 1.02        1671.17 , 1638.00           685.44 , 667.00            2402.69 , 2237.00      51.61
    2.16              5.64          0.93% , 1.04        1618.94 , 1638.00           698.88 , 667.00            2363.13 , 2237.00      50.94
    2.18              7.27          0.97% , 0.99        1688.58 , 1638.00           665.28 , 667.00            2399.53 , 2237.00       52.3
    2.19              2.84          0.94% , 0.92        1636.35 , 1638.00           618.24 , 667.00            2300.49 , 2237.00      50.41
    2.19               4.2          0.95% , 0.94        1653.76 , 1638.00           631.68 , 667.00            2330.93 , 2237.00      51.08
    2.24              7.34          0.94% , 1.07        1636.35 , 1638.00           719.04 , 667.00            2401.29 , 2237.00      53.69
    2.25              2.78          0.92% , 0.97        1601.54 , 1638.00           651.84 , 667.00            2299.09 , 2237.00      51.62
