Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.25              0.84          0.96% , 0.99          835.58 , 833.00           665.28 , 664.00            1548.87 , 1562.00       3.86
    0.48              1.42          0.95% , 0.99          826.88 , 833.00           665.28 , 664.00            1539.87 , 1562.00        7.4
    0.52              1.27          0.96% , 0.98          835.58 , 833.00           658.56 , 664.00            1542.15 , 1562.00       8.02
    0.68              0.41          0.96% , 1.00          835.58 , 833.00           672.00 , 664.00            1555.59 , 1562.00      10.58
    0.75              1.85          0.95% , 0.98          826.88 , 833.00           658.56 , 664.00            1533.15 , 1562.00      11.56
    0.81              0.26          0.97% , 0.99          844.29 , 833.00           665.28 , 664.00            1557.87 , 1562.00      12.57
    0.91              0.99          0.95% , 1.00          826.88 , 833.00           672.00 , 664.00            1546.59 , 1562.00      14.12
    0.96               1.7          0.96% , 0.97          835.58 , 833.00           651.84 , 664.00            1535.43 , 1562.00      14.74
    1.05              1.93          0.94% , 0.99          818.18 , 833.00           665.28 , 664.00            1531.87 , 1562.00       16.1
    1.08              0.69          0.97% , 0.98          844.29 , 833.00           658.56 , 664.00            1551.15 , 1562.00      16.73
    1.11              0.02          0.96% , 1.01          835.58 , 833.00           678.72 , 664.00            1562.31 , 1562.00       17.3
     1.2              2.28          0.95% , 0.97          826.88 , 833.00           651.84 , 664.00            1526.43 , 1562.00      18.28
    1.23              0.17          0.97% , 1.00          844.29 , 833.00           672.00 , 664.00            1564.59 , 1562.00      19.29
    1.33              2.36          0.94% , 0.98          818.18 , 833.00           658.56 , 664.00            1525.15 , 1562.00      20.26
    1.34              0.56          0.95% , 1.01          826.88 , 833.00           678.72 , 664.00            1553.31 , 1562.00      20.84
    1.36              0.25          0.98% , 0.99          852.99 , 833.00           665.28 , 664.00            1565.87 , 1562.00      21.27
     1.4              2.13          0.96% , 0.96          835.58 , 833.00           645.12 , 664.00            1528.71 , 1562.00      21.46
    1.48               1.5          0.94% , 1.00          818.18 , 833.00           672.00 , 664.00            1538.59 , 1562.00      22.82
    1.52              1.12          0.97% , 0.97          844.29 , 833.00           651.84 , 664.00            1544.43 , 1562.00      23.45
    1.53              0.45          0.96% , 1.02          835.58 , 833.00           685.44 , 664.00            1569.03 , 1562.00      24.02
    1.63              2.51          0.93% , 0.99          809.47 , 833.00           665.28 , 664.00            1522.87 , 1562.00      24.81
    1.63              0.18          0.98% , 0.98          852.99 , 833.00           658.56 , 664.00            1559.15 , 1562.00      25.43
    1.65              2.71          0.95% , 0.96          826.88 , 833.00           645.12 , 664.00            1519.71 , 1562.00       25.0
    1.66               0.6          0.97% , 1.01          844.29 , 833.00           678.72 , 664.00            1571.31 , 1562.00      26.01
    1.77              0.13          0.95% , 1.02          826.88 , 833.00           685.44 , 664.00            1560.03 , 1562.00      27.56
